,batter,bowler,extras,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,J Charles,DJ Willey,{'wides': 1},CH Gayle,0,1,1,1,0,1,1,wides,0,,,1,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
1,J Charles,DJ Willey,{'wides': 1},CH Gayle,0,1,1,2,0,2,2,wides,0,,,1,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
2,J Charles,DJ Willey,,CH Gayle,0,0,0,2,0,3,3,-,0,,,1,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
3,J Charles,DJ Willey,,CH Gayle,0,0,0,2,0,4,4,-,caught,J Charles,MM Ali,1,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
4,MN Samuels,DJ Willey,,CH Gayle,0,0,0,2,0,1,5,-,0,,,1,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
5,MN Samuels,DJ Willey,,CH Gayle,0,0,0,2,0,2,6,-,0,,,1,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
6,MN Samuels,DJ Willey,,CH Gayle,4,0,4,6,4,3,7,-,0,,,1,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
7,MN Samuels,DJ Willey,,CH Gayle,0,0,0,6,4,4,8,-,0,,,1,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
8,CH Gayle,RJW Topley,,MN Samuels,0,0,0,6,0,1,1,-,0,,,2,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
9,CH Gayle,RJW Topley,,MN Samuels,0,0,0,6,0,2,2,-,0,,,2,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
10,CH Gayle,RJW Topley,,MN Samuels,4,0,4,10,4,3,3,-,0,,,2,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
11,CH Gayle,RJW Topley,,MN Samuels,6,0,6,16,10,4,4,-,0,,,2,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
12,CH Gayle,RJW Topley,,MN Samuels,0,0,0,16,10,5,5,-,0,,,2,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
13,CH Gayle,RJW Topley,,MN Samuels,0,0,0,16,10,6,6,-,0,,,2,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
14,MN Samuels,DJ Willey,,CH Gayle,0,0,0,16,4,5,1,-,0,,,3,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
15,MN Samuels,DJ Willey,,CH Gayle,0,0,0,16,4,6,2,-,0,,,3,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
16,MN Samuels,DJ Willey,,CH Gayle,0,0,0,16,4,7,3,-,0,,,3,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
17,MN Samuels,DJ Willey,,CH Gayle,4,0,4,20,8,8,4,-,0,,,3,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
18,MN Samuels,DJ Willey,,CH Gayle,4,0,4,24,12,9,5,-,0,,,3,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
19,MN Samuels,DJ Willey,,CH Gayle,1,0,1,25,13,10,6,-,0,,,3,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
20,MN Samuels,CJ Jordan,,CH Gayle,0,0,0,25,13,11,1,-,0,,,4,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
21,MN Samuels,CJ Jordan,,CH Gayle,0,0,0,25,13,12,2,-,0,,,4,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
22,MN Samuels,CJ Jordan,,CH Gayle,0,0,0,25,13,13,3,-,0,,,4,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
23,MN Samuels,CJ Jordan,,CH Gayle,4,0,4,29,17,14,4,-,0,,,4,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
24,MN Samuels,CJ Jordan,,CH Gayle,0,0,0,29,17,15,5,-,0,,,4,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
25,MN Samuels,CJ Jordan,,CH Gayle,1,0,1,30,18,16,6,-,0,,,4,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
26,MN Samuels,BA Stokes,,CH Gayle,0,0,0,30,18,17,1,-,0,,,5,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
27,MN Samuels,BA Stokes,,CH Gayle,4,0,4,34,22,18,2,-,0,,,5,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
28,MN Samuels,BA Stokes,,CH Gayle,4,0,4,38,26,19,3,-,0,,,5,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
29,MN Samuels,BA Stokes,,CH Gayle,4,0,4,42,30,20,4,-,0,,,5,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
30,MN Samuels,BA Stokes,,CH Gayle,0,0,0,42,30,21,5,-,0,,,5,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
31,MN Samuels,BA Stokes,{'noballs': 1},CH Gayle,0,1,1,43,30,22,6,noballs,0,,,5,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
32,MN Samuels,BA Stokes,,CH Gayle,1,0,1,44,31,23,7,-,0,,,5,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
33,MN Samuels,CJ Jordan,,CH Gayle,4,0,4,48,35,24,1,-,0,,,6,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
34,MN Samuels,CJ Jordan,,CH Gayle,1,0,1,49,36,25,2,-,0,,,6,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
35,CH Gayle,CJ Jordan,{'wides': 1},MN Samuels,0,1,1,50,10,7,3,wides,0,,,6,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
36,CH Gayle,CJ Jordan,{'wides': 1},MN Samuels,0,1,1,51,10,8,4,wides,0,,,6,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
37,CH Gayle,CJ Jordan,,MN Samuels,0,0,0,51,10,9,5,-,0,,,6,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
38,CH Gayle,CJ Jordan,,MN Samuels,0,0,0,51,10,10,6,-,0,,,6,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
39,CH Gayle,CJ Jordan,,MN Samuels,0,0,0,51,10,11,7,-,0,,,6,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
40,CH Gayle,CJ Jordan,,MN Samuels,4,0,4,55,14,12,8,-,0,,,6,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
41,MN Samuels,AU Rashid,,CH Gayle,1,0,1,56,37,26,1,-,0,,,7,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
42,CH Gayle,AU Rashid,,MN Samuels,0,0,0,56,14,13,2,-,0,,,7,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
43,CH Gayle,AU Rashid,,MN Samuels,1,0,1,57,15,14,3,-,0,,,7,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
44,MN Samuels,AU Rashid,,CH Gayle,0,0,0,57,37,27,4,-,caught,MN Samuels,DJ Willey,7,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
45,D Ramdin,AU Rashid,,CH Gayle,1,0,1,58,1,1,5,-,0,,,7,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
46,CH Gayle,AU Rashid,,D Ramdin,1,0,1,59,16,15,6,-,0,,,7,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
47,CH Gayle,MM Ali,,D Ramdin,4,0,4,63,20,16,1,-,0,,,8,field,West Indies,2,Wankhede Stadium,2016-03-16,West Indies,England
