,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,review,replacements,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Fakhar Zaman,S Badree,Babar Azam,0,0,0,0,,0,1,0,-,1.0,0,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
1,Fakhar Zaman,S Badree,Babar Azam,0,0,0,0,,0,2,0,-,2.0,0,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
2,Fakhar Zaman,S Badree,Babar Azam,4,0,4,4,,4,3,0,-,3.0,0,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
3,Fakhar Zaman,S Badree,Babar Azam,4,0,4,8,,8,4,0,-,4.0,0,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
4,Fakhar Zaman,S Badree,Babar Azam,4,0,4,12,,12,5,0,-,5.0,0,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
5,Fakhar Zaman,S Badree,Babar Azam,1,0,1,13,,13,6,0,-,6.0,0,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
6,Fakhar Zaman,KMA Paul,Babar Azam,0,0,0,13,,13,7,0,-,1.0,1,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
7,Fakhar Zaman,KMA Paul,Babar Azam,4,0,4,17,,17,8,0,-,2.0,1,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
8,Fakhar Zaman,KMA Paul,Babar Azam,0,1,1,18,,17,9,0,noballs,2.0,1,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
9,Fakhar Zaman,KMA Paul,Babar Azam,0,0,0,18,,17,10,0,-,3.0,1,0,,,,,field,West Indies,1,National Stadium,2018,04,Pakistan_West Indies_2018-04-01,Pakistan,Pakistan,West Indies,True,203
