,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,SR Watson,AD Mathews,DA Warner,1,0,1,1,136,1,1,0,1,0,,,1,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
1,DA Warner,AD Mathews,SR Watson,0,0,0,1,136,0,1,0,2,0,,,1,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
2,DA Warner,AD Mathews,SR Watson,0,0,0,1,136,0,2,0,3,0,,,1,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
3,DA Warner,AD Mathews,SR Watson,0,0,0,1,136,0,3,1,4,caught,DA Warner,TM Dilshan,1,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
4,RT Ponting,AD Mathews,SR Watson,0,0,0,1,136,0,1,1,5,0,,,1,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
5,RT Ponting,AD Mathews,SR Watson,0,0,0,1,136,0,2,1,6,0,,,1,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
6,SR Watson,ST Jayasuriya,RT Ponting,1,0,1,2,135,2,2,1,1,0,,,2,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
7,RT Ponting,ST Jayasuriya,SR Watson,0,0,0,2,135,0,3,1,2,0,,,2,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
8,RT Ponting,ST Jayasuriya,SR Watson,1,0,1,3,134,1,4,1,3,0,,,2,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
9,SR Watson,ST Jayasuriya,RT Ponting,1,0,1,4,133,3,3,1,4,0,,,2,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
10,RT Ponting,ST Jayasuriya,SR Watson,4,0,4,8,129,5,5,1,5,0,,,2,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
11,RT Ponting,ST Jayasuriya,SR Watson,0,0,0,8,129,5,6,1,6,0,,,2,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
12,SR Watson,AD Mathews,RT Ponting,0,0,0,8,129,3,4,1,1,0,,,3,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
13,SR Watson,AD Mathews,RT Ponting,1,0,1,9,128,4,5,1,2,0,,,3,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
14,RT Ponting,AD Mathews,SR Watson,4,0,4,13,124,9,7,1,3,0,,,3,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
15,RT Ponting,AD Mathews,SR Watson,3,0,3,16,121,12,8,1,4,0,,,3,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
16,SR Watson,AD Mathews,RT Ponting,0,0,0,16,121,4,6,1,5,0,,,3,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
17,SR Watson,AD Mathews,RT Ponting,0,1,1,17,120,4,7,1,6,0,,,3,wides,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
18,SR Watson,AD Mathews,RT Ponting,0,0,0,17,120,4,8,1,7,0,,,3,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
19,RT Ponting,I Udana,SR Watson,1,0,1,18,119,13,9,1,1,0,,,4,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
20,SR Watson,I Udana,RT Ponting,4,0,4,22,115,8,9,1,2,0,,,4,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
21,SR Watson,I Udana,RT Ponting,4,0,4,26,111,12,10,1,3,0,,,4,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
22,SR Watson,I Udana,RT Ponting,6,0,6,32,105,18,11,1,4,0,,,4,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
23,SR Watson,I Udana,RT Ponting,0,0,0,32,105,18,12,1,5,0,,,4,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
24,SR Watson,I Udana,RT Ponting,0,0,0,32,105,18,13,1,6,0,,,4,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
25,RT Ponting,SL Malinga,SR Watson,4,0,4,36,101,17,10,1,1,0,,,5,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
26,RT Ponting,SL Malinga,SR Watson,4,0,4,40,97,21,11,1,2,0,,,5,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
27,RT Ponting,SL Malinga,SR Watson,4,0,4,44,93,25,12,1,3,0,,,5,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
28,RT Ponting,SL Malinga,SR Watson,0,2,2,46,91,25,13,1,4,0,,,5,wides,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
29,SR Watson,SL Malinga,RT Ponting,0,0,0,46,91,18,14,1,5,0,,,5,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
30,SR Watson,SL Malinga,RT Ponting,0,0,0,46,91,18,15,1,6,0,,,5,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
31,SR Watson,SL Malinga,RT Ponting,1,0,1,47,90,19,16,1,7,0,,,5,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
32,SR Watson,BAW Mendis,RT Ponting,0,0,0,47,90,19,17,1,1,0,,,6,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
33,SR Watson,BAW Mendis,RT Ponting,0,0,0,47,90,19,18,1,2,0,,,6,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
34,SR Watson,BAW Mendis,RT Ponting,1,0,1,48,89,20,19,1,3,0,,,6,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
35,RT Ponting,BAW Mendis,SR Watson,0,0,0,48,89,25,14,1,4,0,,,6,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
36,RT Ponting,BAW Mendis,SR Watson,0,0,0,48,89,25,15,1,5,0,,,6,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
37,RT Ponting,BAW Mendis,SR Watson,0,0,0,48,89,25,16,2,6,bowled,RT Ponting,,6,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
38,SR Watson,ST Jayasuriya,BJ Haddin,1,0,1,49,88,21,20,2,1,0,,,7,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
39,BJ Haddin,ST Jayasuriya,SR Watson,1,0,1,50,87,1,1,2,2,0,,,7,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
40,SR Watson,ST Jayasuriya,BJ Haddin,1,0,1,51,86,22,21,2,3,0,,,7,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
41,BJ Haddin,ST Jayasuriya,SR Watson,0,0,0,51,86,1,2,2,4,0,,,7,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
42,BJ Haddin,ST Jayasuriya,SR Watson,6,0,6,57,80,7,3,2,5,0,,,7,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
43,BJ Haddin,ST Jayasuriya,SR Watson,1,0,1,58,79,8,4,2,6,0,,,7,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
44,BJ Haddin,BAW Mendis,SR Watson,0,0,0,58,79,8,5,2,1,0,,,8,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
45,BJ Haddin,BAW Mendis,SR Watson,1,0,1,59,78,9,6,2,2,0,,,8,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
46,SR Watson,BAW Mendis,BJ Haddin,0,0,0,59,78,22,22,3,3,lbw,SR Watson,,8,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
47,MJ Clarke,BAW Mendis,BJ Haddin,0,0,0,59,78,0,1,3,4,0,,,8,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
48,MJ Clarke,BAW Mendis,BJ Haddin,2,0,2,61,76,2,2,3,5,0,,,8,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
49,MJ Clarke,BAW Mendis,BJ Haddin,0,0,0,61,76,2,3,3,6,0,,,8,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
50,BJ Haddin,I Udana,MJ Clarke,0,0,0,61,76,9,7,3,1,0,,,9,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
51,BJ Haddin,I Udana,MJ Clarke,2,0,2,63,74,11,8,3,2,0,,,9,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
52,BJ Haddin,I Udana,MJ Clarke,1,0,1,64,73,12,9,3,3,0,,,9,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
53,MJ Clarke,I Udana,BJ Haddin,1,0,1,65,72,3,4,3,4,0,,,9,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
54,BJ Haddin,I Udana,MJ Clarke,1,0,1,66,71,13,10,3,5,0,,,9,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
55,MJ Clarke,I Udana,BJ Haddin,0,0,0,66,71,3,5,3,6,0,,,9,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
56,BJ Haddin,M Muralitharan,MJ Clarke,1,0,1,67,70,14,11,3,1,0,,,10,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
57,MJ Clarke,M Muralitharan,BJ Haddin,1,0,1,68,69,4,6,3,2,0,,,10,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
58,BJ Haddin,M Muralitharan,MJ Clarke,1,0,1,69,68,15,12,3,3,0,,,10,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
59,MJ Clarke,M Muralitharan,BJ Haddin,1,0,1,70,67,5,7,3,4,0,,,10,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
60,BJ Haddin,M Muralitharan,MJ Clarke,0,0,0,70,67,15,13,3,5,0,,,10,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
61,BJ Haddin,M Muralitharan,MJ Clarke,0,0,0,70,67,15,14,3,6,0,,,10,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
62,MJ Clarke,SL Malinga,BJ Haddin,0,1,1,71,66,5,8,3,1,0,,,11,wides,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
63,MJ Clarke,SL Malinga,BJ Haddin,0,0,0,71,66,5,9,3,2,0,,,11,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
64,MJ Clarke,SL Malinga,BJ Haddin,1,0,1,72,65,6,10,3,3,0,,,11,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
65,BJ Haddin,SL Malinga,MJ Clarke,0,0,0,72,65,15,15,3,4,0,,,11,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
66,BJ Haddin,SL Malinga,MJ Clarke,1,0,1,73,64,16,16,3,5,0,,,11,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
67,MJ Clarke,SL Malinga,BJ Haddin,1,0,1,74,63,7,11,3,6,0,,,11,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
68,BJ Haddin,SL Malinga,MJ Clarke,0,0,0,74,63,16,17,4,7,bowled,BJ Haddin,,11,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
69,MJ Clarke,M Muralitharan,DJ Hussey,1,0,1,75,62,8,12,4,1,0,,,12,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
70,DJ Hussey,M Muralitharan,MJ Clarke,0,0,0,75,62,0,1,4,2,0,,,12,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
71,DJ Hussey,M Muralitharan,MJ Clarke,0,0,0,75,62,0,2,4,3,0,,,12,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
72,DJ Hussey,M Muralitharan,MJ Clarke,1,0,1,76,61,1,3,4,4,0,,,12,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
73,MJ Clarke,M Muralitharan,DJ Hussey,0,0,0,76,61,8,13,4,5,0,,,12,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
74,MJ Clarke,M Muralitharan,DJ Hussey,1,0,1,77,60,9,14,4,6,0,,,12,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
75,MJ Clarke,I Udana,DJ Hussey,2,0,2,79,58,11,15,4,1,0,,,13,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
76,MJ Clarke,I Udana,DJ Hussey,0,0,0,79,58,11,16,5,2,caught and bowled,MJ Clarke,,13,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
77,MEK Hussey,I Udana,DJ Hussey,0,0,0,79,58,0,1,5,3,0,,,13,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
78,MEK Hussey,I Udana,DJ Hussey,0,1,1,80,57,0,2,5,4,0,,,13,wides,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
79,MEK Hussey,I Udana,DJ Hussey,1,0,1,81,56,1,3,5,5,0,,,13,-,field,Sri Lanka,1,Trent Bridge,2009,06,Australia_Sri Lanka_2009-06-08,Sri Lanka,Australia,Sri Lanka,159
