,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
107,R Ravindra,C Karunaratne,AF Milne,6,0,6,170,26,16,8,6,5,0,,,18,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
108,R Ravindra,C Karunaratne,AF Milne,4,0,4,174,22,20,9,6,6,0,,,18,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
109,AF Milne,PM Liyanagamage,R Ravindra,0,1,1,175,21,1,2,6,1,0,,,19,wides,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
110,AF Milne,PM Liyanagamage,R Ravindra,1,0,1,176,20,2,3,6,2,0,,,19,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
111,R Ravindra,PM Liyanagamage,AF Milne,1,0,1,177,19,21,10,6,3,0,,,19,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
112,AF Milne,PM Liyanagamage,R Ravindra,0,1,1,178,18,2,4,6,4,0,,,19,wides,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
113,AF Milne,PM Liyanagamage,R Ravindra,1,0,1,179,17,3,5,6,5,0,,,19,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
114,R Ravindra,PM Liyanagamage,AF Milne,4,0,4,183,13,25,11,6,6,0,,,19,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
115,R Ravindra,PM Liyanagamage,AF Milne,1,0,1,184,12,26,12,6,7,0,,,19,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
116,AF Milne,PM Liyanagamage,R Ravindra,0,0,0,184,12,3,6,7,8,caught,AF Milne,KIC Asalanka,19,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
117,R Ravindra,MD Shanaka,HB Shipley,0,0,0,184,12,26,13,8,1,caught,R Ravindra,PWH de Silva,20,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
118,IS Sodhi,MD Shanaka,HB Shipley,2,0,2,186,10,2,1,8,2,0,,,20,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
119,IS Sodhi,MD Shanaka,HB Shipley,2,0,2,188,8,4,2,8,3,0,,,20,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
120,IS Sodhi,MD Shanaka,HB Shipley,0,1,1,189,7,4,3,8,4,0,,,20,byes,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
121,HB Shipley,MD Shanaka,IS Sodhi,1,0,1,190,6,1,1,8,5,0,,,20,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
122,IS Sodhi,MD Shanaka,HB Shipley,6,0,6,196,0,10,4,8,6,0,,,20,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
