,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
10,DJ Mitchell,D Madushanka,TWM Latham,1,0,1,12,184,9,4,2,5,0,,,2,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
11,TWM Latham,D Madushanka,DJ Mitchell,0,0,0,12,184,1,2,2,6,0,,,2,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
12,DJ Mitchell,M Theekshana,TWM Latham,1,0,1,13,183,10,5,2,1,0,,,3,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
13,TWM Latham,M Theekshana,DJ Mitchell,4,0,4,17,179,5,3,2,2,0,,,3,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
14,TWM Latham,M Theekshana,DJ Mitchell,0,0,0,17,179,5,4,2,3,0,,,3,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
15,TWM Latham,M Theekshana,DJ Mitchell,1,0,1,18,178,6,5,2,4,0,,,3,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
16,DJ Mitchell,M Theekshana,TWM Latham,1,0,1,19,177,11,6,2,5,0,,,3,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
17,TWM Latham,M Theekshana,DJ Mitchell,4,0,4,23,173,10,6,2,6,0,,,3,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
18,DJ Mitchell,D Madushanka,TWM Latham,4,0,4,27,169,15,7,2,1,0,,,4,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
19,DJ Mitchell,D Madushanka,TWM Latham,0,0,0,27,169,15,8,2,2,0,,,4,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
20,DJ Mitchell,D Madushanka,TWM Latham,0,0,0,27,169,15,9,2,3,0,,,4,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
21,DJ Mitchell,D Madushanka,TWM Latham,1,0,1,28,168,16,10,2,4,0,,,4,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
22,TWM Latham,D Madushanka,DJ Mitchell,1,0,1,29,167,11,7,2,5,0,,,4,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
23,DJ Mitchell,D Madushanka,TWM Latham,6,0,6,35,161,22,11,2,6,0,,,4,-,,field,New Zealand,2,"Eden Park, Auckland",2023,04,Sri Lanka_New Zealand_2023-04-02,tie,New Zealand,Sri Lanka,196
