,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,1,0,1,1,1,1,1,1,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
1,Rahmanullah Gurbaz,Nasum Ahmed,Hazratullah,1,0,1,2,1,1,2,1,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
2,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,0,0,0,2,1,2,3,1,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
3,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,0,0,0,2,1,3,4,1,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
4,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,0,0,0,2,1,4,5,1,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
5,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,0,0,0,2,1,5,6,1,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
6,Rahmanullah Gurbaz,Taskin Ahmed,Hazratullah,0,0,0,2,1,2,1,2,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
7,Rahmanullah Gurbaz,Taskin Ahmed,Hazratullah,1,0,1,3,2,3,2,2,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
8,Hazratullah,Taskin Ahmed,Rahmanullah Gurbaz,0,0,0,3,1,6,3,2,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
9,Hazratullah,Taskin Ahmed,Rahmanullah Gurbaz,0,0,0,3,1,7,4,2,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
10,Hazratullah,Taskin Ahmed,Rahmanullah Gurbaz,1,0,1,4,2,8,5,2,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
11,Rahmanullah Gurbaz,Taskin Ahmed,Hazratullah,6,0,6,10,8,4,6,2,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
12,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,6,0,6,16,8,9,1,3,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
13,Hazratullah,Nasum Ahmed,Rahmanullah Gurbaz,0,0,0,16,8,10,2,3,caught,Hazratullah,Towhid Hridoy,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
14,Ibrahim Zadran,Nasum Ahmed,Rahmanullah Gurbaz,1,0,1,17,1,1,3,3,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
15,Rahmanullah Gurbaz,Nasum Ahmed,Ibrahim Zadran,0,0,0,17,8,5,4,3,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
16,Rahmanullah Gurbaz,Nasum Ahmed,Ibrahim Zadran,0,0,0,17,8,6,5,3,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
17,Rahmanullah Gurbaz,Nasum Ahmed,Ibrahim Zadran,4,0,4,21,12,7,6,3,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
18,Ibrahim Zadran,Taskin Ahmed,Rahmanullah Gurbaz,1,0,1,22,2,2,1,4,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
19,Rahmanullah Gurbaz,Taskin Ahmed,Ibrahim Zadran,0,0,0,22,12,8,2,4,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
20,Rahmanullah Gurbaz,Taskin Ahmed,Ibrahim Zadran,4,0,4,26,16,9,3,4,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
21,Rahmanullah Gurbaz,Taskin Ahmed,Ibrahim Zadran,0,0,0,26,16,10,4,4,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
22,Rahmanullah Gurbaz,Taskin Ahmed,Ibrahim Zadran,0,0,0,26,16,11,5,4,caught,Rahmanullah Gurbaz,Mehedi Hasan Miraz,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
23,Karim Janat,Taskin Ahmed,Ibrahim Zadran,0,0,0,26,0,1,6,4,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
24,Ibrahim Zadran,Shoriful Islam,Karim Janat,0,0,0,26,2,3,1,5,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
25,Ibrahim Zadran,Shoriful Islam,Karim Janat,0,0,0,26,2,4,2,5,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
26,Ibrahim Zadran,Shoriful Islam,Karim Janat,6,0,6,32,8,5,3,5,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
27,Ibrahim Zadran,Shoriful Islam,Karim Janat,0,0,0,32,8,6,4,5,caught,Ibrahim Zadran,Liton Das,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
28,Mohammad Nabi,Shoriful Islam,Karim Janat,4,0,4,36,4,1,5,5,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
29,Mohammad Nabi,Shoriful Islam,Karim Janat,1,0,1,37,5,2,6,5,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
30,Mohammad Nabi,Taskin Ahmed,Karim Janat,0,0,0,37,5,3,1,6,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
31,Mohammad Nabi,Taskin Ahmed,Karim Janat,1,0,1,38,6,4,2,6,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
32,Karim Janat,Taskin Ahmed,Mohammad Nabi,1,0,1,39,1,2,3,6,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
33,Mohammad Nabi,Taskin Ahmed,Karim Janat,1,0,1,40,7,5,4,6,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
34,Karim Janat,Taskin Ahmed,Mohammad Nabi,0,0,0,40,1,3,5,6,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
35,Karim Janat,Taskin Ahmed,Mohammad Nabi,0,0,0,40,1,4,6,6,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
36,Mohammad Nabi,Shoriful Islam,Karim Janat,4,0,4,44,11,6,1,7,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
37,Mohammad Nabi,Shoriful Islam,Karim Janat,4,0,4,48,15,7,2,7,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
38,Mohammad Nabi,Shoriful Islam,Karim Janat,1,0,1,49,16,8,3,7,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
39,Karim Janat,Shoriful Islam,Mohammad Nabi,0,0,0,49,1,5,4,7,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
40,Karim Janat,Shoriful Islam,Mohammad Nabi,0,0,0,49,1,6,5,7,0,,,-,,field,Bangladesh,1,Sylhet International Cricket Stadium,2023-07-14,Bangladesh,Afghanistan,Bangladesh
