,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,LMP Simmons,DL Chahar,E Lewis,0,0,0,0,170,0,1,0,1,1,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
1,LMP Simmons,DL Chahar,E Lewis,0,0,0,0,170,0,2,0,2,1,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
2,LMP Simmons,DL Chahar,E Lewis,1,0,1,1,169,1,3,0,3,1,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
3,E Lewis,DL Chahar,LMP Simmons,0,0,0,1,169,0,1,0,4,1,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
4,E Lewis,DL Chahar,LMP Simmons,0,0,0,1,169,0,2,0,5,1,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
5,E Lewis,DL Chahar,LMP Simmons,4,0,4,5,165,4,3,0,6,1,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
6,LMP Simmons,B Kumar,E Lewis,0,0,0,5,165,1,4,0,1,2,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
7,LMP Simmons,B Kumar,E Lewis,2,0,2,7,163,3,5,0,2,2,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
8,LMP Simmons,B Kumar,E Lewis,1,0,1,8,162,4,6,0,3,2,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
9,E Lewis,B Kumar,LMP Simmons,0,0,0,8,162,4,4,0,4,2,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
10,E Lewis,B Kumar,LMP Simmons,1,0,1,9,161,5,5,0,5,2,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
11,LMP Simmons,B Kumar,E Lewis,0,0,0,9,161,4,7,0,6,2,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
12,E Lewis,DL Chahar,LMP Simmons,4,0,4,13,157,9,6,0,1,3,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
13,E Lewis,DL Chahar,LMP Simmons,4,0,4,17,153,13,7,0,2,3,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
14,E Lewis,DL Chahar,LMP Simmons,0,0,0,17,153,13,8,0,3,3,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
15,E Lewis,DL Chahar,LMP Simmons,1,0,1,18,152,14,9,0,4,3,-,,0,,,field,West Indies,2,Greenfield International Stadium,2019,12,India_West Indies_2019-12-08,West Indies,West Indies,India
