,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,CH Gayle,JM Anderson,ADS Fletcher,0,1,1,1,0,1,1,wides,0,,,1,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
1,CH Gayle,JM Anderson,ADS Fletcher,0,0,0,1,0,2,2,-,0,,,1,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
2,CH Gayle,JM Anderson,ADS Fletcher,4,0,4,5,4,3,3,-,0,,,1,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
3,CH Gayle,JM Anderson,ADS Fletcher,1,0,1,6,5,4,4,-,0,,,1,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
4,ADS Fletcher,JM Anderson,CH Gayle,0,0,0,6,0,1,5,-,0,,,1,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
5,ADS Fletcher,JM Anderson,CH Gayle,0,0,0,6,0,2,6,-,0,,,1,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
6,ADS Fletcher,JM Anderson,CH Gayle,0,0,0,6,0,3,7,-,caught,ADS Fletcher,JS Foster,1,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
7,CH Gayle,RJ Sidebottom,LMP Simmons,4,0,4,10,9,5,1,-,0,,,2,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
8,CH Gayle,RJ Sidebottom,LMP Simmons,0,0,0,10,9,6,2,-,0,,,2,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
9,CH Gayle,RJ Sidebottom,LMP Simmons,4,0,4,14,13,7,3,-,0,,,2,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
10,CH Gayle,RJ Sidebottom,LMP Simmons,2,0,2,16,15,8,4,-,0,,,2,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
11,CH Gayle,RJ Sidebottom,LMP Simmons,0,0,0,16,15,9,5,-,bowled,CH Gayle,,2,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
12,DJ Bravo,RJ Sidebottom,LMP Simmons,0,0,0,16,0,1,6,-,0,,,2,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
13,LMP Simmons,SCJ Broad,DJ Bravo,0,0,0,16,0,1,1,-,caught,LMP Simmons,RJ Sidebottom,3,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
14,DJ Bravo,SCJ Broad,KA Pollard,4,0,4,20,4,2,2,-,0,,,3,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
15,DJ Bravo,SCJ Broad,KA Pollard,1,0,1,21,5,3,3,-,0,,,3,bat,England,2,Kennington Oval,2009-06-15,West Indies,West Indies,England
