,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,BKG Mendis,TG Southee,MDKJ Perera,0,0,0,0,174,0,1,0,1,1,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
1,BKG Mendis,TG Southee,MDKJ Perera,4,0,4,4,170,4,2,0,2,1,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
2,BKG Mendis,TG Southee,MDKJ Perera,0,0,0,4,170,4,3,0,3,1,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
3,BKG Mendis,TG Southee,MDKJ Perera,0,0,0,4,170,4,4,0,4,1,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
4,BKG Mendis,TG Southee,MDKJ Perera,0,0,0,4,170,4,5,0,5,1,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
5,BKG Mendis,TG Southee,MDKJ Perera,0,0,0,4,170,4,6,0,6,1,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
6,MDKJ Perera,SHA Rance,BKG Mendis,1,0,1,5,169,1,1,0,1,2,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
7,BKG Mendis,SHA Rance,MDKJ Perera,0,0,0,5,169,4,7,0,2,2,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
8,BKG Mendis,SHA Rance,MDKJ Perera,6,0,6,11,163,10,8,0,3,2,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
9,BKG Mendis,SHA Rance,MDKJ Perera,0,0,0,11,163,10,9,0,4,2,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
10,BKG Mendis,SHA Rance,MDKJ Perera,2,0,2,13,161,12,10,0,5,2,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
11,BKG Mendis,SHA Rance,MDKJ Perera,1,0,1,14,160,13,11,0,6,2,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
12,BKG Mendis,TG Southee,MDKJ Perera,0,0,0,14,160,13,12,0,1,3,-,0,,,,bat,Sri Lanka,1,Pallekele International Cricket Stadium,2019,09,Sri Lanka_New Zealand_2019-09-03,New Zealand,Sri Lanka,New Zealand,161
