,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,T Bavuma,B Kumar,RR Hendricks,0,0,0,0,0,1,1,0,,,1,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
1,T Bavuma,B Kumar,RR Hendricks,0,0,0,0,0,2,2,0,,,1,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
2,T Bavuma,B Kumar,RR Hendricks,1,0,1,1,1,3,3,0,,,1,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
3,RR Hendricks,B Kumar,T Bavuma,4,0,4,5,4,1,4,0,,,1,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
4,RR Hendricks,B Kumar,T Bavuma,0,0,0,5,4,2,5,0,,,1,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
5,RR Hendricks,B Kumar,T Bavuma,0,0,0,5,4,3,6,bowled,RR Hendricks,,1,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
6,T Bavuma,Avesh Khan,D Pretorius,0,0,0,5,1,4,1,0,,,2,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
7,T Bavuma,Avesh Khan,D Pretorius,0,0,0,5,1,5,2,0,,,2,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
8,T Bavuma,Avesh Khan,D Pretorius,0,0,0,5,1,6,3,0,,,2,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
9,T Bavuma,Avesh Khan,D Pretorius,4,0,4,9,5,7,4,0,,,2,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
10,T Bavuma,Avesh Khan,D Pretorius,0,0,0,9,5,8,5,0,,,2,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
11,T Bavuma,Avesh Khan,D Pretorius,0,0,0,9,5,9,6,0,,,2,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
12,D Pretorius,B Kumar,T Bavuma,4,0,4,13,4,1,1,0,,,3,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
13,D Pretorius,B Kumar,T Bavuma,0,0,0,13,4,2,2,0,,,3,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
14,D Pretorius,B Kumar,T Bavuma,0,0,0,13,4,3,3,0,,,3,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
15,D Pretorius,B Kumar,T Bavuma,0,0,0,13,4,4,4,0,,,3,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
16,D Pretorius,B Kumar,T Bavuma,0,0,0,13,4,5,5,caught,D Pretorius,Avesh Khan,3,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
17,T Bavuma,B Kumar,HE van der Dussen,0,0,0,13,5,10,6,0,,,3,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
18,HE van der Dussen,HH Pandya,T Bavuma,0,0,0,13,0,1,1,0,,,4,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
19,HE van der Dussen,HH Pandya,T Bavuma,0,0,0,13,0,2,2,0,,,4,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
20,HE van der Dussen,HH Pandya,T Bavuma,1,0,1,14,1,3,3,0,,,4,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
21,T Bavuma,HH Pandya,HE van der Dussen,6,0,6,20,11,11,4,0,,,4,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
22,T Bavuma,HH Pandya,HE van der Dussen,1,0,1,21,12,12,5,0,,,4,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
23,HE van der Dussen,HH Pandya,T Bavuma,0,0,0,21,1,4,6,0,,,4,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
24,T Bavuma,Avesh Khan,HE van der Dussen,0,0,0,21,12,13,1,0,,,5,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
25,T Bavuma,Avesh Khan,HE van der Dussen,4,0,4,25,16,14,2,0,,,5,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
26,T Bavuma,Avesh Khan,HE van der Dussen,0,0,0,25,16,15,3,0,,,5,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
27,T Bavuma,Avesh Khan,HE van der Dussen,2,0,2,27,18,16,4,0,,,5,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
28,T Bavuma,Avesh Khan,HE van der Dussen,1,0,1,28,19,17,5,0,,,5,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
29,HE van der Dussen,Avesh Khan,T Bavuma,0,0,0,28,1,5,6,0,,,5,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
30,T Bavuma,B Kumar,HE van der Dussen,1,0,1,29,20,18,1,0,,,6,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
31,HE van der Dussen,B Kumar,T Bavuma,0,0,0,29,1,6,2,0,,,6,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
32,HE van der Dussen,B Kumar,T Bavuma,0,0,0,29,1,7,3,bowled,HE van der Dussen,,6,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
33,H Klaasen,B Kumar,T Bavuma,0,0,0,29,0,1,4,0,,,6,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
34,H Klaasen,B Kumar,T Bavuma,0,0,0,29,0,2,5,0,,,6,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
35,H Klaasen,B Kumar,T Bavuma,0,0,0,29,0,3,6,0,,,6,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
36,T Bavuma,YS Chahal,H Klaasen,1,0,1,30,21,19,1,0,,,7,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
37,H Klaasen,YS Chahal,T Bavuma,1,0,1,31,1,4,2,0,,,7,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
38,T Bavuma,YS Chahal,H Klaasen,0,0,0,31,21,20,3,0,,,7,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
39,T Bavuma,YS Chahal,H Klaasen,1,0,1,32,22,21,4,0,,,7,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
40,H Klaasen,YS Chahal,T Bavuma,0,0,0,32,1,5,5,0,,,7,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
41,H Klaasen,YS Chahal,T Bavuma,1,0,1,33,2,6,6,0,,,7,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
42,H Klaasen,HV Patel,T Bavuma,0,0,0,33,2,7,1,0,,,8,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
43,H Klaasen,HV Patel,T Bavuma,0,0,0,33,2,8,2,0,,,8,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
44,H Klaasen,HV Patel,T Bavuma,1,0,1,34,3,9,3,0,,,8,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
45,T Bavuma,HV Patel,H Klaasen,1,0,1,35,23,22,4,0,,,8,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
46,H Klaasen,HV Patel,T Bavuma,0,0,0,35,3,10,5,0,,,8,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
47,H Klaasen,HV Patel,T Bavuma,1,0,1,36,4,11,6,0,,,8,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
48,H Klaasen,YS Chahal,T Bavuma,0,0,0,36,4,12,1,0,,,9,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
49,H Klaasen,YS Chahal,T Bavuma,4,0,4,40,8,13,2,0,,,9,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
50,H Klaasen,YS Chahal,T Bavuma,2,0,2,42,10,14,3,0,,,9,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
51,H Klaasen,YS Chahal,T Bavuma,6,0,6,48,16,15,4,0,,,9,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
52,H Klaasen,YS Chahal,T Bavuma,1,0,1,49,17,16,5,0,,,9,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
53,T Bavuma,YS Chahal,H Klaasen,0,0,0,49,23,23,6,0,,,9,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
54,H Klaasen,HV Patel,T Bavuma,4,0,4,53,21,17,1,0,,,10,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
55,H Klaasen,HV Patel,T Bavuma,0,0,0,53,21,18,2,0,,,10,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
56,H Klaasen,HV Patel,T Bavuma,1,0,1,54,22,19,3,0,,,10,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
57,T Bavuma,HV Patel,H Klaasen,1,0,1,55,24,24,4,0,,,10,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
58,H Klaasen,HV Patel,T Bavuma,1,0,1,56,23,20,5,0,,,10,-,field,South Africa,2,"Barabati Stadium, Cuttack",2022-06-12,South Africa,India
