,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,N Dickwella,JD Unadkat,WU Tharanga,1,0,1,1,259,1,1,0,1,1,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
1,WU Tharanga,JD Unadkat,N Dickwella,0,0,0,1,259,0,1,0,2,1,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
2,WU Tharanga,JD Unadkat,N Dickwella,1,0,1,2,258,1,2,0,3,1,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
3,N Dickwella,JD Unadkat,WU Tharanga,1,0,1,3,257,2,2,0,4,1,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
4,WU Tharanga,JD Unadkat,N Dickwella,1,0,1,4,256,2,3,0,5,1,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
5,N Dickwella,JD Unadkat,WU Tharanga,1,0,1,5,255,3,3,0,6,1,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
6,N Dickwella,JJ Bumrah,WU Tharanga,0,0,0,5,255,3,4,0,1,2,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
7,N Dickwella,JJ Bumrah,WU Tharanga,2,0,2,7,253,5,5,0,2,2,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
8,N Dickwella,JJ Bumrah,WU Tharanga,6,0,6,13,247,11,6,0,3,2,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
9,N Dickwella,JJ Bumrah,WU Tharanga,1,0,1,14,246,12,7,0,4,2,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
10,WU Tharanga,JJ Bumrah,N Dickwella,1,0,1,15,245,3,4,0,5,2,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
11,N Dickwella,JJ Bumrah,WU Tharanga,1,0,1,16,244,13,8,0,6,2,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
12,N Dickwella,JD Unadkat,WU Tharanga,0,0,0,16,244,13,9,0,1,3,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
13,N Dickwella,JD Unadkat,WU Tharanga,4,0,4,20,240,17,10,0,2,3,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
14,N Dickwella,JD Unadkat,WU Tharanga,4,0,4,24,236,21,11,0,3,3,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
15,N Dickwella,JD Unadkat,WU Tharanga,1,0,1,25,235,22,12,0,4,3,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
16,WU Tharanga,JD Unadkat,N Dickwella,1,0,1,26,234,4,5,0,5,3,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
17,N Dickwella,JD Unadkat,WU Tharanga,1,0,1,27,233,23,13,0,6,3,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
18,N Dickwella,JJ Bumrah,WU Tharanga,1,0,1,28,232,24,14,0,1,4,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
19,WU Tharanga,JJ Bumrah,N Dickwella,2,0,2,30,230,6,6,0,2,4,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
20,WU Tharanga,JJ Bumrah,N Dickwella,0,1,1,31,229,6,7,0,3,4,wides,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
21,WU Tharanga,JJ Bumrah,N Dickwella,1,0,1,32,228,7,8,0,4,4,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
22,N Dickwella,JJ Bumrah,WU Tharanga,0,1,1,33,227,24,15,0,5,4,wides,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
23,N Dickwella,JJ Bumrah,WU Tharanga,0,0,0,33,227,24,16,0,6,4,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
24,N Dickwella,JJ Bumrah,WU Tharanga,1,0,1,34,226,25,17,0,7,4,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
25,WU Tharanga,JJ Bumrah,N Dickwella,2,0,2,36,224,9,9,0,8,4,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
26,N Dickwella,JD Unadkat,WU Tharanga,0,0,0,36,224,25,18,0,1,5,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
27,N Dickwella,JD Unadkat,WU Tharanga,0,0,0,36,224,25,19,0,2,5,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
28,N Dickwella,JD Unadkat,WU Tharanga,0,0,0,36,224,25,20,1,3,5,-,caught,N Dickwella,HH Pandya,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
29,WU Tharanga,JD Unadkat,MDKJ Perera,4,0,4,40,220,13,10,1,4,5,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
30,WU Tharanga,JD Unadkat,MDKJ Perera,1,0,1,41,219,14,11,1,5,5,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
31,MDKJ Perera,JD Unadkat,WU Tharanga,1,0,1,42,218,1,1,1,6,5,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
32,MDKJ Perera,Kuldeep Yadav,WU Tharanga,1,0,1,43,217,2,2,1,1,6,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
33,WU Tharanga,Kuldeep Yadav,MDKJ Perera,4,0,4,47,213,18,12,1,2,6,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
34,WU Tharanga,Kuldeep Yadav,MDKJ Perera,1,0,1,48,212,19,13,1,3,6,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
35,MDKJ Perera,Kuldeep Yadav,WU Tharanga,6,0,6,54,206,8,3,1,4,6,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
36,MDKJ Perera,Kuldeep Yadav,WU Tharanga,6,0,6,60,200,14,4,1,5,6,-,0,,,field,Sri Lanka,2,Holkar Cricket Stadium,2017,12,India_Sri Lanka_2017-12-22,India,Sri Lanka,India,172
