,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,P Nissanka,Mohammed Siraj,MD Gunathilaka,0,0,0,0,183,0,1,0,1,0,,,1,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
1,P Nissanka,Mohammed Siraj,MD Gunathilaka,0,0,0,0,183,0,2,0,2,0,,,1,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
2,P Nissanka,Mohammed Siraj,MD Gunathilaka,0,0,0,0,183,0,3,0,3,0,,,1,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
3,P Nissanka,Mohammed Siraj,MD Gunathilaka,0,0,0,0,183,0,4,0,4,0,,,1,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
4,P Nissanka,Mohammed Siraj,MD Gunathilaka,1,0,1,1,182,1,5,0,5,0,,,1,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
5,MD Gunathilaka,Mohammed Siraj,P Nissanka,0,0,0,1,182,0,1,1,6,bowled,MD Gunathilaka,,1,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
6,P Nissanka,Avesh Khan,KIC Asalanka,0,0,0,1,182,1,6,1,1,0,,,2,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
7,P Nissanka,Avesh Khan,KIC Asalanka,0,0,0,1,182,1,7,1,2,0,,,2,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
8,P Nissanka,Avesh Khan,KIC Asalanka,0,4,4,5,178,1,8,1,3,0,,,2,legbyes,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
9,P Nissanka,Avesh Khan,KIC Asalanka,0,0,0,5,178,1,9,1,4,0,,,2,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
10,P Nissanka,Avesh Khan,KIC Asalanka,0,0,0,5,178,1,10,2,5,caught,P Nissanka,VR Iyer,2,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
11,KIC Asalanka,Avesh Khan,J Liyanage,0,0,0,5,178,0,1,2,6,0,,,2,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
12,J Liyanage,Mohammed Siraj,KIC Asalanka,0,0,0,5,178,0,1,2,1,0,,,3,-,"{'by': 'India', 'umpire': 'KN Ananthapadmanabhan', 'batter': 'J Liyanage', 'decision': 'struck down'}",bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
13,J Liyanage,Mohammed Siraj,KIC Asalanka,1,0,1,6,177,1,2,2,2,0,,,3,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
14,KIC Asalanka,Mohammed Siraj,J Liyanage,4,0,4,10,173,4,2,2,3,0,,,3,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
15,KIC Asalanka,Mohammed Siraj,J Liyanage,0,0,0,10,173,4,3,2,4,0,,,3,-,,bat,Sri Lanka,1,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2022,02,Sri Lanka_India_2022-02-27,India,Sri Lanka,India,146
