,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,PR Stirling,Taskin Ahmed,GR Adair,0,0,0,0,202,0,1,1,-,1.0,caught,PR Stirling,Liton Das,0,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,Right hand Bat,Right hand Bat,Right arm Fast
1,L Tucker,Taskin Ahmed,GR Adair,4,0,4,4,198,4,1,1,-,2.0,0,,,0,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,,Right hand Bat,Right arm Fast
2,L Tucker,Taskin Ahmed,GR Adair,0,0,0,4,198,4,2,1,-,3.0,0,,,0,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,,Right hand Bat,Right arm Fast
3,L Tucker,Taskin Ahmed,GR Adair,1,0,1,5,197,5,3,1,-,4.0,0,,,0,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,,Right hand Bat,Right arm Fast
4,GR Adair,Taskin Ahmed,L Tucker,1,0,1,6,196,1,1,1,-,5.0,0,,,0,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,Right hand Bat,,Right arm Fast
5,L Tucker,Taskin Ahmed,GR Adair,0,1,1,7,195,5,4,1,legbyes,6.0,0,,,0,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,,Right hand Bat,Right arm Fast
6,L Tucker,Shakib Al Hasan,GR Adair,0,0,0,7,195,5,5,2,-,1.0,caught,L Tucker,Rony Talukdar,1,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,,Right hand Bat,Left arm Orthodox
7,HT Tector,Shakib Al Hasan,GR Adair,0,0,0,7,195,0,1,2,-,2.0,0,,,1,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,Right hand Bat,Right hand Bat,Left arm Orthodox
8,HT Tector,Shakib Al Hasan,GR Adair,0,0,0,7,195,0,2,2,-,3.0,0,,,1,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,Right hand Bat,Right hand Bat,Left arm Orthodox
9,HT Tector,Shakib Al Hasan,GR Adair,1,0,1,8,194,1,3,2,-,4.0,0,,,1,,field,Ireland,2,"Zahur Ahmed Chowdhury Stadium, Chattogram",2023,03,Bangladesh_Ireland_2023-03-29,Bangladesh,Ireland,Bangladesh,False,125,Right hand Bat,Right hand Bat,Left arm Orthodox
