,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,KL Rahul,SM Curran,Ishan Kishan,0,0,0,0,164,0,1,0,1,0,,,1,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
1,KL Rahul,SM Curran,Ishan Kishan,0,0,0,0,164,0,2,0,2,0,,,1,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
2,KL Rahul,SM Curran,Ishan Kishan,0,0,0,0,164,0,3,0,3,0,,,1,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
3,KL Rahul,SM Curran,Ishan Kishan,0,0,0,0,164,0,4,0,4,0,,,1,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
4,KL Rahul,SM Curran,Ishan Kishan,0,0,0,0,164,0,5,0,5,0,,,1,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
5,KL Rahul,SM Curran,Ishan Kishan,0,0,0,0,164,0,6,1,6,caught,KL Rahul,JC Buttler,1,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
6,Ishan Kishan,JC Archer,V Kohli,4,0,4,4,160,4,1,1,1,0,,,2,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
7,Ishan Kishan,JC Archer,V Kohli,1,0,1,5,159,5,2,1,2,0,,,2,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
8,V Kohli,JC Archer,Ishan Kishan,1,0,1,6,158,1,1,1,3,0,,,2,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
9,Ishan Kishan,JC Archer,V Kohli,0,0,0,6,158,5,3,1,4,0,,,2,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
10,Ishan Kishan,JC Archer,V Kohli,0,0,0,6,158,5,4,1,5,0,,,2,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
11,Ishan Kishan,JC Archer,V Kohli,0,0,0,6,158,5,5,1,6,0,,,2,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
12,V Kohli,SM Curran,Ishan Kishan,1,0,1,7,157,2,2,1,1,0,,,3,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
13,Ishan Kishan,SM Curran,V Kohli,4,0,4,11,153,9,6,1,2,0,,,3,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
14,Ishan Kishan,SM Curran,V Kohli,1,0,1,12,152,10,7,1,3,0,,,3,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
15,V Kohli,SM Curran,Ishan Kishan,1,0,1,13,151,3,3,1,4,0,,,3,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
16,Ishan Kishan,SM Curran,V Kohli,1,0,1,14,150,11,8,1,5,0,,,3,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
17,V Kohli,SM Curran,Ishan Kishan,1,0,1,15,149,4,4,1,6,0,,,3,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
18,V Kohli,JC Archer,Ishan Kishan,4,0,4,19,145,8,5,1,1,0,,,4,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
19,V Kohli,JC Archer,Ishan Kishan,1,0,1,20,144,9,6,1,2,0,,,4,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
20,Ishan Kishan,JC Archer,V Kohli,0,1,1,21,143,11,9,1,3,0,,,4,legbyes,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
21,V Kohli,JC Archer,Ishan Kishan,0,0,0,21,143,9,7,1,4,0,,,4,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
22,V Kohli,JC Archer,Ishan Kishan,0,0,0,21,143,9,8,1,5,0,,,4,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
23,V Kohli,JC Archer,Ishan Kishan,1,0,1,22,142,10,9,1,6,0,,,4,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
24,V Kohli,CJ Jordan,Ishan Kishan,4,0,4,26,138,14,10,1,1,0,,,5,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
25,V Kohli,CJ Jordan,Ishan Kishan,1,0,1,27,137,15,11,1,2,0,,,5,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
26,Ishan Kishan,CJ Jordan,V Kohli,1,0,1,28,136,12,10,1,3,0,,,5,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
27,V Kohli,CJ Jordan,Ishan Kishan,0,0,0,28,136,15,12,1,4,0,,,5,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
28,V Kohli,CJ Jordan,Ishan Kishan,4,0,4,32,132,19,13,1,5,0,,,5,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
29,V Kohli,CJ Jordan,Ishan Kishan,2,0,2,34,130,21,14,1,6,0,,,5,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
30,Ishan Kishan,TK Curran,V Kohli,6,0,6,40,124,18,11,1,1,0,,,6,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
31,Ishan Kishan,TK Curran,V Kohli,0,0,0,40,124,18,12,1,2,0,,,6,-,,field,India,2,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,India,England,166
