,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Tamim Iqbal,K Santokie,Anamul Haque,0,0,0,0,,0,1,0,-,1.0,0,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Left hand Bat,Right hand Bat,Left arm Medium
1,Tamim Iqbal,K Santokie,Anamul Haque,2,0,2,2,,2,2,0,-,2.0,0,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Left hand Bat,Right hand Bat,Left arm Medium
2,Tamim Iqbal,K Santokie,Anamul Haque,1,0,1,3,,3,3,0,-,3.0,0,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Left hand Bat,Right hand Bat,Left arm Medium
3,Anamul Haque,K Santokie,Tamim Iqbal,2,0,2,5,,2,1,0,-,4.0,0,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Medium
4,Anamul Haque,K Santokie,Tamim Iqbal,0,0,0,5,,2,2,0,-,5.0,0,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Medium
5,Anamul Haque,K Santokie,Tamim Iqbal,1,0,1,6,,3,3,0,-,6.0,0,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Medium
6,Anamul Haque,SS Cottrell,Tamim Iqbal,0,0,0,6,,3,4,0,-,1.0,1,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
7,Anamul Haque,SS Cottrell,Tamim Iqbal,0,0,0,6,,3,5,0,-,2.0,1,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
8,Anamul Haque,SS Cottrell,Tamim Iqbal,0,0,0,6,,3,6,0,-,3.0,1,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
9,Anamul Haque,SS Cottrell,Tamim Iqbal,0,0,0,6,,3,7,0,-,4.0,1,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
10,Anamul Haque,SS Cottrell,Tamim Iqbal,0,0,0,6,,3,8,0,-,5.0,1,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
11,Anamul Haque,SS Cottrell,Tamim Iqbal,0,0,0,6,,3,9,0,-,6.0,1,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
12,Tamim Iqbal,K Santokie,Anamul Haque,4,0,4,10,,7,4,0,-,1.0,2,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Left hand Bat,Right hand Bat,Left arm Medium
13,Tamim Iqbal,K Santokie,Anamul Haque,1,0,1,11,,8,5,0,-,2.0,2,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Left hand Bat,Right hand Bat,Left arm Medium
14,Anamul Haque,K Santokie,Tamim Iqbal,0,0,0,11,,3,10,0,-,3.0,2,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Medium
15,Anamul Haque,K Santokie,Tamim Iqbal,4,0,4,15,,7,11,0,-,4.0,2,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Medium
16,Anamul Haque,K Santokie,Tamim Iqbal,2,0,2,17,,9,12,0,-,5.0,2,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Medium
17,Anamul Haque,K Santokie,Tamim Iqbal,1,0,1,18,,10,13,0,-,6.0,2,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Medium
18,Anamul Haque,SS Cottrell,Tamim Iqbal,0,0,0,18,,10,14,0,-,1.0,3,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
19,Anamul Haque,SS Cottrell,Tamim Iqbal,0,0,0,18,,10,15,0,-,2.0,3,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
20,Anamul Haque,SS Cottrell,Tamim Iqbal,0,1,1,19,,10,15,0,wides,2.0,3,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
21,Anamul Haque,SS Cottrell,Tamim Iqbal,1,0,1,20,,11,16,0,-,3.0,3,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
22,Tamim Iqbal,SS Cottrell,Anamul Haque,1,0,1,21,,9,6,0,-,4.0,3,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Left hand Bat,Right hand Bat,Left arm Fast
23,Anamul Haque,SS Cottrell,Tamim Iqbal,1,0,1,22,,12,17,0,-,5.0,3,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Left arm Fast
24,Tamim Iqbal,SS Cottrell,Anamul Haque,1,0,1,23,,10,7,0,-,6.0,3,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Left hand Bat,Right hand Bat,Left arm Fast
25,Tamim Iqbal,DJ Bravo,Anamul Haque,1,0,1,24,,11,8,0,-,1.0,4,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Left hand Bat,Right hand Bat,Right arm Medium
26,Anamul Haque,DJ Bravo,Tamim Iqbal,6,0,6,30,,18,18,0,-,2.0,4,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Right arm Medium
27,Anamul Haque,DJ Bravo,Tamim Iqbal,1,0,1,31,,19,19,0,-,3.0,4,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Right hand Bat,Left hand Bat,Right arm Medium
28,Tamim Iqbal,DJ Bravo,Anamul Haque,0,0,0,31,,11,9,0,-,4.0,4,0,bat,Bangladesh,1,"Warner Park, Basseterre",2014,08,West Indies_Bangladesh_2014-08-27,no result,Bangladesh,West Indies,,31,Left hand Bat,Right hand Bat,Right arm Medium
