,batter,bowler,non_striker,extras,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,RG Sharma,PVD Chameera,S Dhawan,,0,0,0,0,0,1,1,-,0,,,1,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
1,RG Sharma,PVD Chameera,S Dhawan,,0,0,0,0,0,2,2,-,0,,,1,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
2,RG Sharma,PVD Chameera,S Dhawan,,0,0,0,0,0,3,3,-,0,,,1,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
3,RG Sharma,PVD Chameera,S Dhawan,{'wides': 1},0,1,1,1,0,4,4,wides,0,,,1,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
4,RG Sharma,PVD Chameera,S Dhawan,,0,0,0,1,0,5,5,-,caught,RG Sharma,BMAJ Mendis,1,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
5,S Dhawan,PVD Chameera,SK Raina,,1,0,1,2,1,1,6,-,0,,,1,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
6,SK Raina,PVD Chameera,S Dhawan,,0,0,0,2,0,1,7,-,0,,,1,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
7,S Dhawan,N Pradeep,SK Raina,,1,0,1,3,2,2,1,-,0,,,2,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
8,SK Raina,N Pradeep,S Dhawan,,1,0,1,4,1,2,2,-,0,,,2,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
9,S Dhawan,N Pradeep,SK Raina,,4,0,4,8,6,3,3,-,0,,,2,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
10,S Dhawan,N Pradeep,SK Raina,,0,0,0,8,6,4,4,-,0,,,2,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
11,S Dhawan,N Pradeep,SK Raina,,1,0,1,9,7,5,5,-,0,,,2,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
12,SK Raina,N Pradeep,S Dhawan,,0,0,0,9,1,3,6,-,bowled,SK Raina,,2,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
13,S Dhawan,PVD Chameera,MK Pandey,,1,0,1,10,8,6,1,-,0,,,3,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
14,MK Pandey,PVD Chameera,S Dhawan,,0,0,0,10,0,1,2,-,0,,,3,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
15,MK Pandey,PVD Chameera,S Dhawan,,0,0,0,10,0,2,3,-,0,,,3,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
16,MK Pandey,PVD Chameera,S Dhawan,,0,0,0,10,0,3,4,-,0,,,3,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
17,MK Pandey,PVD Chameera,S Dhawan,,0,0,0,10,0,4,5,-,0,,,3,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
18,MK Pandey,PVD Chameera,S Dhawan,,0,0,0,10,0,5,6,-,0,,,3,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
19,S Dhawan,A Dananjaya,MK Pandey,,0,0,0,10,8,7,1,-,0,,,4,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
20,S Dhawan,A Dananjaya,MK Pandey,,0,0,0,10,8,8,2,-,0,,,4,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
21,S Dhawan,A Dananjaya,MK Pandey,,4,0,4,14,12,9,3,-,0,,,4,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
22,S Dhawan,A Dananjaya,MK Pandey,,0,0,0,14,12,10,4,-,0,,,4,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
23,S Dhawan,A Dananjaya,MK Pandey,{'wides': 1},0,1,1,15,12,11,5,wides,0,,,4,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
24,S Dhawan,A Dananjaya,MK Pandey,,2,0,2,17,14,12,6,-,0,,,4,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
25,S Dhawan,A Dananjaya,MK Pandey,,1,0,1,18,15,13,7,-,0,,,4,,field,Sri Lanka,1,"R.Premadasa Stadium, Khettarama",2018-03-06,India,Sri Lanka
