,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,MJ Guptill,SS Cottrell,C Munro,0,0,0,0,187,0,1,0,1,-,0,,,1,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
1,MJ Guptill,SS Cottrell,C Munro,2,0,2,2,185,2,2,0,2,-,0,,,1,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
2,MJ Guptill,SS Cottrell,C Munro,0,0,0,2,185,2,3,0,3,-,0,,,1,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
3,MJ Guptill,SS Cottrell,C Munro,0,1,1,3,184,2,4,0,4,wides,0,,,1,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
4,MJ Guptill,SS Cottrell,C Munro,0,0,0,3,184,2,5,1,5,-,caught,MJ Guptill,CAK Walton,1,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
5,KS Williamson,SS Cottrell,C Munro,0,0,0,3,184,0,1,1,6,-,0,,,1,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
6,KS Williamson,SS Cottrell,C Munro,1,0,1,4,183,1,2,1,7,-,0,,,1,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
7,KS Williamson,S Badree,C Munro,2,0,2,6,181,3,3,1,1,-,0,,,2,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
8,KS Williamson,S Badree,C Munro,1,0,1,7,180,4,4,1,2,-,0,,,2,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
9,C Munro,S Badree,KS Williamson,0,0,0,7,180,0,1,1,3,-,0,,,2,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
10,C Munro,S Badree,KS Williamson,4,0,4,11,176,4,2,1,4,-,0,,,2,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
11,C Munro,S Badree,KS Williamson,0,0,0,11,176,4,3,1,5,-,0,,,2,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
12,C Munro,S Badree,KS Williamson,4,0,4,15,172,8,4,1,6,-,0,,,2,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
13,KS Williamson,SS Cottrell,C Munro,1,0,1,16,171,5,5,1,1,-,0,,,3,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
14,C Munro,SS Cottrell,KS Williamson,6,0,6,22,165,14,5,1,2,-,0,,,3,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
15,C Munro,SS Cottrell,KS Williamson,2,0,2,24,163,16,6,1,3,-,0,,,3,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
16,C Munro,SS Cottrell,KS Williamson,6,0,6,30,157,22,7,1,4,-,0,,,3,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
17,C Munro,SS Cottrell,KS Williamson,1,0,1,31,156,23,8,1,5,-,0,,,3,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
18,KS Williamson,SS Cottrell,C Munro,1,0,1,32,155,6,6,1,6,-,0,,,3,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
19,KS Williamson,S Badree,C Munro,1,0,1,33,154,7,7,1,1,-,0,,,4,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
20,C Munro,S Badree,KS Williamson,4,0,4,37,150,27,9,1,2,-,0,,,4,field,West Indies,1,Bay Oval,2018,01,New Zealand_West Indies_2018-01-01,no result,New Zealand,,102
