,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,SR Watson,JM Anderson,DA Warner,0,0,0,0,203,0,1,0,1,-,1,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
1,SR Watson,JM Anderson,DA Warner,1,0,1,1,202,1,2,0,2,-,1,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
2,DA Warner,JM Anderson,SR Watson,2,0,2,3,200,2,1,0,3,-,1,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
3,DA Warner,JM Anderson,SR Watson,0,0,0,3,200,2,2,0,4,-,1,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
4,DA Warner,JM Anderson,SR Watson,0,1,1,4,199,2,3,0,5,wides,1,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
5,DA Warner,JM Anderson,SR Watson,1,0,1,5,198,3,4,0,6,-,1,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
6,SR Watson,JM Anderson,DA Warner,1,0,1,6,197,2,3,0,7,-,1,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
7,SR Watson,RJ Sidebottom,DA Warner,0,0,0,6,197,2,4,0,1,-,2,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
8,SR Watson,RJ Sidebottom,DA Warner,1,0,1,7,196,3,5,0,2,-,2,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
9,DA Warner,RJ Sidebottom,SR Watson,0,1,1,8,195,3,5,0,3,legbyes,2,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
10,SR Watson,RJ Sidebottom,DA Warner,1,0,1,9,194,4,6,0,4,-,2,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
11,DA Warner,RJ Sidebottom,SR Watson,0,1,1,10,193,3,6,0,5,wides,2,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
12,DA Warner,RJ Sidebottom,SR Watson,2,0,2,12,191,5,7,0,6,-,2,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
13,DA Warner,RJ Sidebottom,SR Watson,0,0,0,12,191,5,8,0,7,-,2,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
14,SR Watson,JM Anderson,DA Warner,1,0,1,13,190,5,7,0,1,-,3,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
15,DA Warner,JM Anderson,SR Watson,4,0,4,17,186,9,9,0,2,-,3,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
16,DA Warner,JM Anderson,SR Watson,2,0,2,19,184,11,10,0,3,-,3,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
17,DA Warner,JM Anderson,SR Watson,1,0,1,20,183,12,11,0,4,-,3,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
18,SR Watson,JM Anderson,DA Warner,1,0,1,21,182,6,8,0,5,-,3,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
19,DA Warner,JM Anderson,SR Watson,2,0,2,23,180,14,12,0,6,-,3,0,,,field,England,1,Old Trafford,2009,08,England_Australia_2009-08-30,no result,Australia,England,145
