,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,Fakhar Zaman,BE Hendricks,Babar Azam,4,0,4,4,4,1,1,0,,,1,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
1,Fakhar Zaman,BE Hendricks,Babar Azam,0,0,0,4,4,2,2,0,,,1,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
2,Fakhar Zaman,BE Hendricks,Babar Azam,0,0,0,4,4,3,3,caught,Fakhar Zaman,RR Hendricks,1,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
3,Hussain Talat,BE Hendricks,Babar Azam,1,0,1,5,1,1,4,0,,,1,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
4,Babar Azam,BE Hendricks,Hussain Talat,4,0,4,9,4,1,5,0,,,1,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
5,Babar Azam,BE Hendricks,Hussain Talat,1,0,1,10,5,2,6,0,,,1,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
6,Babar Azam,CJ Dala,Hussain Talat,4,0,4,14,9,3,1,0,,,2,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
7,Babar Azam,CJ Dala,Hussain Talat,0,0,0,14,9,4,2,0,,,2,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
8,Babar Azam,CJ Dala,Hussain Talat,1,0,1,15,10,5,3,0,,,2,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
9,Hussain Talat,CJ Dala,Babar Azam,1,0,1,16,2,2,4,0,,,2,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
10,Babar Azam,CJ Dala,Hussain Talat,0,0,0,16,10,6,5,0,,,2,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
11,Babar Azam,CJ Dala,Hussain Talat,0,0,0,16,10,7,6,0,,,2,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
12,Hussain Talat,BE Hendricks,Babar Azam,0,0,0,16,2,3,1,0,,,3,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
13,Hussain Talat,BE Hendricks,Babar Azam,4,0,4,20,6,4,2,0,,,3,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
14,Hussain Talat,BE Hendricks,Babar Azam,1,0,1,21,7,5,3,0,,,3,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
15,Babar Azam,BE Hendricks,Hussain Talat,0,0,0,21,10,8,4,0,,,3,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
16,Babar Azam,BE Hendricks,Hussain Talat,6,0,6,27,16,9,5,0,,,3,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
17,Babar Azam,BE Hendricks,Hussain Talat,0,0,0,27,16,10,6,0,,,3,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
18,Hussain Talat,CJ Dala,Babar Azam,4,0,4,31,11,6,1,0,,,4,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
19,Hussain Talat,CJ Dala,Babar Azam,1,0,1,32,12,7,2,0,,,4,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
20,Babar Azam,CJ Dala,Hussain Talat,1,0,1,33,17,11,3,0,,,4,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
21,Hussain Talat,CJ Dala,Babar Azam,0,0,0,33,12,8,4,0,,,4,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
22,Hussain Talat,CJ Dala,Babar Azam,1,0,1,34,13,9,5,0,,,4,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
23,Babar Azam,CJ Dala,Hussain Talat,0,1,1,35,17,12,6,0,,,4,wides,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
24,Babar Azam,CJ Dala,Hussain Talat,4,0,4,39,21,13,7,0,,,4,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
25,Hussain Talat,CH Morris,Babar Azam,4,0,4,43,17,10,1,0,,,5,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
26,Hussain Talat,CH Morris,Babar Azam,2,0,2,45,19,11,2,0,,,5,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
27,Hussain Talat,CH Morris,Babar Azam,1,0,1,46,20,12,3,0,,,5,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
28,Babar Azam,CH Morris,Hussain Talat,2,0,2,48,23,14,4,0,,,5,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
29,Babar Azam,CH Morris,Hussain Talat,1,0,1,49,24,15,5,0,,,5,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
30,Hussain Talat,CH Morris,Babar Azam,1,0,1,50,21,13,6,0,,,5,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
31,Hussain Talat,BE Hendricks,Babar Azam,1,0,1,51,22,14,1,0,,,6,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
32,Babar Azam,BE Hendricks,Hussain Talat,0,1,1,52,24,16,2,0,,,6,wides,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
33,Babar Azam,BE Hendricks,Hussain Talat,2,0,2,54,26,17,3,0,,,6,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
34,Babar Azam,BE Hendricks,Hussain Talat,0,0,0,54,26,18,4,0,,,6,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
35,Babar Azam,BE Hendricks,Hussain Talat,0,1,1,55,26,19,5,0,,,6,wides,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
36,Babar Azam,BE Hendricks,Hussain Talat,1,0,1,56,27,20,6,0,,,6,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
37,Hussain Talat,BE Hendricks,Babar Azam,0,0,0,56,22,15,7,0,,,6,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
38,Hussain Talat,BE Hendricks,Babar Azam,0,1,1,57,22,16,8,0,,,6,wides,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
39,Hussain Talat,BE Hendricks,Babar Azam,0,1,1,58,22,17,9,0,,,6,legbyes,"{'by': 'South Africa', 'umpire': 'BP Jele', 'batter': 'Hussain Talat', 'decision': 'struck down', 'umpires_call': True}",field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
40,Hussain Talat,AL Phehlukwayo,Babar Azam,1,0,1,59,23,18,1,0,,,7,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
41,Babar Azam,AL Phehlukwayo,Hussain Talat,1,0,1,60,28,21,2,0,,,7,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
42,Hussain Talat,AL Phehlukwayo,Babar Azam,1,0,1,61,24,19,3,0,,,7,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
43,Babar Azam,AL Phehlukwayo,Hussain Talat,1,0,1,62,29,22,4,0,,,7,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
44,Hussain Talat,AL Phehlukwayo,Babar Azam,1,0,1,63,25,20,5,0,,,7,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
45,Babar Azam,AL Phehlukwayo,Hussain Talat,2,0,2,65,31,23,6,0,,,7,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
46,Hussain Talat,T Shamsi,Babar Azam,0,0,0,65,25,21,1,0,,,8,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
47,Hussain Talat,T Shamsi,Babar Azam,0,0,0,65,25,22,2,0,,,8,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
48,Hussain Talat,T Shamsi,Babar Azam,1,0,1,66,26,23,3,0,,,8,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
49,Babar Azam,T Shamsi,Hussain Talat,1,0,1,67,32,24,4,0,,,8,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
50,Hussain Talat,T Shamsi,Babar Azam,4,0,4,71,30,24,5,0,,,8,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
51,Hussain Talat,T Shamsi,Babar Azam,2,0,2,73,32,25,6,0,,,8,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
52,Babar Azam,AL Phehlukwayo,Hussain Talat,1,0,1,74,33,25,1,0,,,9,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
53,Hussain Talat,AL Phehlukwayo,Babar Azam,0,0,0,74,32,26,2,0,,,9,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
54,Hussain Talat,AL Phehlukwayo,Babar Azam,1,0,1,75,33,27,3,0,,,9,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
55,Babar Azam,AL Phehlukwayo,Hussain Talat,1,0,1,76,34,26,4,0,,,9,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
56,Hussain Talat,AL Phehlukwayo,Babar Azam,0,0,0,76,33,28,5,0,,,9,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
57,Hussain Talat,AL Phehlukwayo,Babar Azam,1,0,1,77,34,29,6,0,,,9,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
58,Hussain Talat,T Shamsi,Babar Azam,1,0,1,78,35,30,1,0,,,10,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
59,Babar Azam,T Shamsi,Hussain Talat,1,0,1,79,35,27,2,0,,,10,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
60,Hussain Talat,T Shamsi,Babar Azam,1,0,1,80,36,31,3,0,,,10,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
61,Babar Azam,T Shamsi,Hussain Talat,1,0,1,81,36,28,4,0,,,10,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
62,Hussain Talat,T Shamsi,Babar Azam,4,0,4,85,40,32,5,0,,,10,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
63,Hussain Talat,T Shamsi,Babar Azam,0,0,0,85,40,33,6,caught,Hussain Talat,BE Hendricks,10,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
64,Shoaib Malik,AL Phehlukwayo,Babar Azam,1,0,1,86,1,1,1,0,,,11,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
65,Babar Azam,AL Phehlukwayo,Shoaib Malik,1,0,1,87,37,29,2,0,,,11,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
66,Shoaib Malik,AL Phehlukwayo,Babar Azam,4,0,4,91,5,2,3,0,,,11,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
67,Shoaib Malik,AL Phehlukwayo,Babar Azam,1,0,1,92,6,3,4,0,,,11,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
68,Babar Azam,AL Phehlukwayo,Shoaib Malik,1,0,1,93,38,30,5,0,,,11,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
69,Shoaib Malik,AL Phehlukwayo,Babar Azam,0,0,0,93,6,4,6,run out,Babar Azam,,11,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
70,Asif Ali,CJ Dala,Shoaib Malik,0,0,0,93,0,1,1,0,,,12,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
71,Asif Ali,CJ Dala,Shoaib Malik,4,0,4,97,4,2,2,0,,,12,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
72,Asif Ali,CJ Dala,Shoaib Malik,1,0,1,98,5,3,3,0,,,12,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
73,Shoaib Malik,CJ Dala,Asif Ali,1,0,1,99,7,5,4,0,,,12,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
74,Asif Ali,CJ Dala,Shoaib Malik,6,0,6,105,11,4,5,0,,,12,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
75,Asif Ali,CJ Dala,Shoaib Malik,0,1,1,106,11,5,6,0,,,12,wides,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
76,Asif Ali,CJ Dala,Shoaib Malik,1,0,1,107,12,6,7,0,,,12,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
77,Asif Ali,CH Morris,Shoaib Malik,1,0,1,108,13,7,1,0,,,13,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
78,Shoaib Malik,CH Morris,Asif Ali,0,0,0,108,7,6,2,0,,,13,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
79,Shoaib Malik,CH Morris,Asif Ali,4,0,4,112,11,7,3,0,,,13,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
80,Shoaib Malik,CH Morris,Asif Ali,0,0,0,112,11,8,4,0,,,13,-,,field,Pakistan,2,Newlands,2019-02-01,Pakistan,South Africa
