,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,DA Warner,Mohammad Irfan,AJ Finch,0,0,0,0,107,0,1,0,-,1.0,0,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
1,DA Warner,Mohammad Irfan,AJ Finch,1,0,1,1,106,1,2,0,-,2.0,0,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
2,AJ Finch,Mohammad Irfan,DA Warner,0,0,0,1,106,0,1,0,-,3.0,0,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
3,AJ Finch,Mohammad Irfan,DA Warner,0,0,0,1,106,0,2,0,-,4.0,0,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
4,AJ Finch,Mohammad Irfan,DA Warner,4,0,4,5,102,4,3,0,-,5.0,0,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
5,AJ Finch,Mohammad Irfan,DA Warner,0,0,0,5,102,4,4,0,-,6.0,0,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
6,DA Warner,Mohammad Amir,AJ Finch,1,0,1,6,101,2,3,0,-,1.0,1,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
7,AJ Finch,Mohammad Amir,DA Warner,4,0,4,10,97,8,5,0,-,2.0,1,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
8,AJ Finch,Mohammad Amir,DA Warner,1,0,1,11,96,9,6,0,-,3.0,1,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
9,DA Warner,Mohammad Amir,AJ Finch,0,1,1,12,95,2,4,0,legbyes,4.0,1,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
10,AJ Finch,Mohammad Amir,DA Warner,0,0,0,12,95,9,7,0,-,5.0,1,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
11,AJ Finch,Mohammad Amir,DA Warner,1,0,1,13,94,10,8,0,-,6.0,1,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
12,AJ Finch,Mohammad Irfan,DA Warner,6,0,6,19,88,16,9,0,-,1.0,2,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
13,AJ Finch,Mohammad Irfan,DA Warner,4,0,4,23,84,20,10,0,-,2.0,2,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
14,AJ Finch,Mohammad Irfan,DA Warner,4,1,5,28,79,24,11,0,noballs,2.0,2,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
15,AJ Finch,Mohammad Irfan,DA Warner,6,0,6,34,73,30,12,0,-,3.0,2,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
16,AJ Finch,Mohammad Irfan,DA Warner,0,0,0,34,73,30,13,0,-,4.0,2,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
17,AJ Finch,Mohammad Irfan,DA Warner,4,0,4,38,69,34,14,0,-,5.0,2,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
18,AJ Finch,Mohammad Irfan,DA Warner,1,0,1,39,68,35,15,0,-,6.0,2,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
19,AJ Finch,Mohammad Amir,DA Warner,2,0,2,41,66,37,16,0,-,1.0,3,0,field,Australia,2,Sydney Cricket Ground,2019,11,Australia_Pakistan_2019-11-03,no result,Australia,Pakistan,,41
