,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,G Gambhir,JE Taylor,RG Sharma,0,0,0,0,0,1,1,1,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
1,G Gambhir,JE Taylor,RG Sharma,4,0,4,4,4,2,2,1,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
2,G Gambhir,JE Taylor,RG Sharma,0,0,0,4,4,3,3,1,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
3,G Gambhir,JE Taylor,RG Sharma,1,0,1,5,5,4,4,1,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
4,RG Sharma,JE Taylor,G Gambhir,1,0,1,6,1,1,5,1,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
5,G Gambhir,JE Taylor,RG Sharma,2,0,2,8,7,5,6,1,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
6,RG Sharma,FH Edwards,G Gambhir,4,0,4,12,5,2,1,2,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
7,RG Sharma,FH Edwards,G Gambhir,0,0,0,12,5,3,2,2,caught,RG Sharma,LMP Simmons,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
8,G Gambhir,FH Edwards,SK Raina,0,0,0,12,7,6,3,2,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
9,G Gambhir,FH Edwards,SK Raina,0,0,0,12,7,7,4,2,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
10,G Gambhir,FH Edwards,SK Raina,1,0,1,13,8,8,5,2,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
11,SK Raina,FH Edwards,G Gambhir,1,0,1,14,1,1,6,2,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
12,SK Raina,JE Taylor,G Gambhir,1,0,1,15,2,2,1,3,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
13,G Gambhir,JE Taylor,SK Raina,0,1,1,16,8,9,2,3,0,,,{'wides': 1},wides,bat,India,1,Lord's,2009-06-12,India,West Indies
14,G Gambhir,JE Taylor,SK Raina,0,1,1,17,8,10,3,3,0,,,{'legbyes': 1},legbyes,bat,India,1,Lord's,2009-06-12,India,West Indies
15,SK Raina,JE Taylor,G Gambhir,3,0,3,20,5,3,4,3,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
16,G Gambhir,JE Taylor,SK Raina,4,0,4,24,12,11,5,3,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
17,G Gambhir,JE Taylor,SK Raina,1,0,1,25,13,12,6,3,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
18,SK Raina,JE Taylor,G Gambhir,0,0,0,25,5,4,7,3,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
19,G Gambhir,FH Edwards,SK Raina,1,0,1,26,14,13,1,4,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
20,SK Raina,FH Edwards,G Gambhir,0,0,0,26,5,5,2,4,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
21,SK Raina,FH Edwards,G Gambhir,0,0,0,26,5,6,3,4,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
22,SK Raina,FH Edwards,G Gambhir,0,0,0,26,5,7,4,4,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
23,SK Raina,FH Edwards,G Gambhir,0,1,1,27,5,8,5,4,0,,,{'wides': 1},wides,bat,India,1,Lord's,2009-06-12,India,West Indies
24,SK Raina,FH Edwards,G Gambhir,0,0,0,27,5,9,6,4,caught,SK Raina,D Ramdin,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
25,Yuvraj Singh,FH Edwards,G Gambhir,1,0,1,28,1,1,7,4,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
26,Yuvraj Singh,DJ Bravo,G Gambhir,1,0,1,29,2,2,1,5,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
27,G Gambhir,DJ Bravo,Yuvraj Singh,0,0,0,29,14,14,2,5,caught,G Gambhir,LMP Simmons,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
28,Yuvraj Singh,DJ Bravo,MS Dhoni,0,0,0,29,2,3,3,5,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
29,Yuvraj Singh,DJ Bravo,MS Dhoni,0,0,0,29,2,4,4,5,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
30,Yuvraj Singh,DJ Bravo,MS Dhoni,1,0,1,30,3,5,5,5,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
31,MS Dhoni,DJ Bravo,Yuvraj Singh,0,0,0,30,0,1,6,5,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
32,Yuvraj Singh,FH Edwards,MS Dhoni,2,0,2,32,5,6,1,6,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
33,Yuvraj Singh,FH Edwards,MS Dhoni,0,0,0,32,5,7,2,6,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
34,Yuvraj Singh,FH Edwards,MS Dhoni,1,0,1,33,6,8,3,6,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
35,MS Dhoni,FH Edwards,Yuvraj Singh,1,0,1,34,1,2,4,6,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
36,Yuvraj Singh,FH Edwards,MS Dhoni,2,0,2,36,8,9,5,6,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
37,Yuvraj Singh,FH Edwards,MS Dhoni,4,0,4,40,12,10,6,6,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
38,MS Dhoni,CH Gayle,Yuvraj Singh,0,0,0,40,1,3,1,7,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
39,MS Dhoni,CH Gayle,Yuvraj Singh,0,0,0,40,1,4,2,7,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
40,MS Dhoni,CH Gayle,Yuvraj Singh,1,0,1,41,2,5,3,7,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
41,Yuvraj Singh,CH Gayle,MS Dhoni,0,0,0,41,12,11,4,7,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
42,Yuvraj Singh,CH Gayle,MS Dhoni,2,0,2,43,14,12,5,7,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
43,Yuvraj Singh,CH Gayle,MS Dhoni,1,0,1,44,15,13,6,7,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
44,Yuvraj Singh,KA Pollard,MS Dhoni,1,0,1,45,16,14,1,8,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
45,MS Dhoni,KA Pollard,Yuvraj Singh,1,0,1,46,3,6,2,8,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
46,Yuvraj Singh,KA Pollard,MS Dhoni,1,0,1,47,17,15,3,8,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
47,MS Dhoni,KA Pollard,Yuvraj Singh,0,0,0,47,3,7,4,8,0,,,,-,bat,India,1,Lord's,2009-06-12,India,West Indies
