,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,TWM Latham,Shaheen Shah Afridi,CJ Bowes,4,0,4,4,159,4,1,0,1,-,1,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
1,TWM Latham,Shaheen Shah Afridi,CJ Bowes,0,0,0,4,159,4,2,0,2,-,1,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
2,TWM Latham,Shaheen Shah Afridi,CJ Bowes,0,1,1,5,158,4,3,0,3,wides,1,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
3,TWM Latham,Shaheen Shah Afridi,CJ Bowes,4,0,4,9,154,8,4,0,4,-,1,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
4,TWM Latham,Shaheen Shah Afridi,CJ Bowes,0,0,0,9,154,8,5,0,5,-,1,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
5,TWM Latham,Shaheen Shah Afridi,CJ Bowes,4,0,4,13,150,12,6,0,6,-,1,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
6,TWM Latham,Shaheen Shah Afridi,CJ Bowes,0,0,0,13,150,12,7,0,7,-,1,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
7,CJ Bowes,Zaman Khan,TWM Latham,2,0,2,15,148,2,1,0,1,-,2,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
8,CJ Bowes,Zaman Khan,TWM Latham,4,0,4,19,144,6,2,0,2,-,2,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
9,CJ Bowes,Zaman Khan,TWM Latham,0,0,0,19,144,6,3,0,3,-,2,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
10,CJ Bowes,Zaman Khan,TWM Latham,0,0,0,19,144,6,4,0,4,-,2,0,,,,field,Pakistan,1,Rawalpindi Cricket Stadium,2023,04,New Zealand_Pakistan_2023-04-20,no result,New Zealand,,164
