,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,BRM Taylor,Mohammad Saifuddin,H Masakadza,0,0,0,0,175,0,1,0,1,0,,,1,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
1,BRM Taylor,Mohammad Saifuddin,H Masakadza,0,0,0,0,175,0,2,0,2,0,,,1,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
2,BRM Taylor,Mohammad Saifuddin,H Masakadza,0,0,0,0,175,0,3,0,3,0,,,1,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
3,BRM Taylor,Mohammad Saifuddin,H Masakadza,0,0,0,0,175,0,4,0,4,0,,,1,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
4,BRM Taylor,Mohammad Saifuddin,H Masakadza,0,0,0,0,175,0,5,1,5,caught,BRM Taylor,Shakib Al Hasan,1,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
5,H Masakadza,Mohammad Saifuddin,RW Chakabva,1,0,1,1,174,1,1,1,6,0,,,1,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
6,H Masakadza,Shakib Al Hasan,RW Chakabva,1,0,1,2,173,2,2,1,1,0,,,2,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
7,RW Chakabva,Shakib Al Hasan,H Masakadza,0,0,0,2,173,0,1,1,2,0,,,2,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
8,RW Chakabva,Shakib Al Hasan,H Masakadza,0,0,0,2,173,0,2,2,3,bowled,RW Chakabva,,2,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
9,SC Williams,Shakib Al Hasan,H Masakadza,0,0,0,2,173,0,1,2,4,0,,,2,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
10,SC Williams,Shakib Al Hasan,H Masakadza,1,0,1,3,172,1,2,2,5,0,,,2,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
11,H Masakadza,Shakib Al Hasan,SC Williams,0,0,0,3,172,2,3,2,6,0,,,2,-,field,Zimbabwe,2,Zahur Ahmed Chowdhury Stadium,2019,09,Bangladesh_Zimbabwe_2019-09-18,Bangladesh,Zimbabwe,Bangladesh,136
