,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Q de Kock,SM Curran,RR Hendricks,0,0,0,0,,0,1,0,1,0,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
1,Q de Kock,SM Curran,RR Hendricks,1,0,1,1,,1,2,0,2,0,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
2,RR Hendricks,SM Curran,Q de Kock,1,0,1,2,,1,1,0,3,0,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
3,Q de Kock,SM Curran,RR Hendricks,1,0,1,3,,2,3,0,4,0,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
4,RR Hendricks,SM Curran,Q de Kock,2,0,2,5,,3,2,0,5,0,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
5,RR Hendricks,SM Curran,Q de Kock,0,0,0,5,,3,3,0,6,0,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
6,Q de Kock,RJW Topley,RR Hendricks,1,0,1,6,,3,4,0,1,1,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
7,RR Hendricks,RJW Topley,Q de Kock,1,0,1,7,,4,4,0,2,1,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
8,Q de Kock,RJW Topley,RR Hendricks,0,0,0,7,,3,5,0,3,1,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
9,Q de Kock,RJW Topley,RR Hendricks,0,1,1,8,,3,6,0,4,1,wides,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
10,Q de Kock,RJW Topley,RR Hendricks,2,0,2,10,,5,7,0,5,1,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
11,Q de Kock,RJW Topley,RR Hendricks,0,1,1,11,,5,8,0,6,1,wides,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
12,Q de Kock,RJW Topley,RR Hendricks,4,0,4,15,,9,9,0,7,1,-,0,,,,field,England,1,"Sophia Gardens, Cardiff",2022,07,South Africa_England_2022-07-28,South Africa,South Africa,England,True,207
