,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,FH Allen,MA Starc,DP Conway,0,0,0,0,146,0,1,0,1,1,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
1,FH Allen,MA Starc,DP Conway,4,0,4,4,142,4,2,0,2,1,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
2,FH Allen,MA Starc,DP Conway,6,0,6,10,136,10,3,0,3,1,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
3,FH Allen,MA Starc,DP Conway,0,0,0,10,136,10,4,0,4,1,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
4,FH Allen,MA Starc,DP Conway,4,0,4,14,132,14,5,0,5,1,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
5,FH Allen,MA Starc,DP Conway,0,0,0,14,132,14,6,0,6,1,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
6,DP Conway,JR Hazlewood,FH Allen,4,0,4,18,128,4,1,0,1,2,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
7,DP Conway,JR Hazlewood,FH Allen,1,0,1,19,127,5,2,0,2,2,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
8,FH Allen,JR Hazlewood,DP Conway,1,0,1,20,126,15,7,0,3,2,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
9,DP Conway,JR Hazlewood,FH Allen,4,0,4,24,122,9,3,0,4,2,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
10,DP Conway,JR Hazlewood,FH Allen,1,0,1,25,121,10,4,0,5,2,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
11,FH Allen,JR Hazlewood,DP Conway,4,0,4,29,117,19,8,0,6,2,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
12,DP Conway,PJ Cummins,FH Allen,1,0,1,30,116,11,5,0,1,3,0,,,-,,field,Australia,1,Sydney Cricket Ground,2022,10,New Zealand_Australia_2022-10-22,New Zealand,New Zealand,Australia,200
