,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,Mohammad Rizwan,MJ Henry,Babar Azam,,0,0,0,0,,0,1,0,-,1.0,0,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
1,Mohammad Rizwan,MJ Henry,Babar Azam,,0,0,0,0,,0,2,0,-,2.0,0,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
2,Mohammad Rizwan,MJ Henry,Babar Azam,,0,0,0,0,,0,3,0,-,3.0,0,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
3,Mohammad Rizwan,MJ Henry,Babar Azam,"{'by': 'New Zealand', 'umpire': 'Ahsan Raza', 'batter': 'Mohammad Rizwan', 'decision': 'struck down', 'type': 'wicket', 'umpires_call': True}",0,1,1,1,,0,4,0,legbyes,4.0,0,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
4,Babar Azam,MJ Henry,Mohammad Rizwan,,0,0,0,1,,0,1,0,-,5.0,0,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
5,Babar Azam,MJ Henry,Mohammad Rizwan,,4,0,4,5,,4,2,0,-,6.0,0,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
6,Mohammad Rizwan,AF Milne,Babar Azam,,0,0,0,5,,0,5,0,-,1.0,1,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
7,Mohammad Rizwan,AF Milne,Babar Azam,,4,0,4,9,,4,6,0,-,2.0,1,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
8,Mohammad Rizwan,AF Milne,Babar Azam,,4,0,4,13,,8,7,0,-,3.0,1,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
9,Mohammad Rizwan,AF Milne,Babar Azam,,0,0,0,13,,8,8,0,-,4.0,1,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
10,Mohammad Rizwan,AF Milne,Babar Azam,,0,1,1,14,,8,8,0,wides,4.0,1,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
11,Mohammad Rizwan,AF Milne,Babar Azam,,0,0,0,14,,8,9,0,-,5.0,1,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
12,Mohammad Rizwan,AF Milne,Babar Azam,"{'by': 'Pakistan', 'umpire': 'Faisal Afridi', 'batter': 'Mohammad Rizwan', 'decision': 'struck down', 'type': 'wicket'}",0,0,0,14,,8,10,1,-,6.0,1,lbw,Mohammad Rizwan,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Right hand Bat,Right arm Fast
13,Babar Azam,BG Lister,Fakhar Zaman,,1,0,1,15,,5,3,1,-,1.0,2,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Left hand Bat,Left arm Fast
14,Fakhar Zaman,BG Lister,Babar Azam,,0,0,0,15,,0,1,1,-,2.0,2,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Right hand Bat,Left arm Fast
15,Fakhar Zaman,BG Lister,Babar Azam,,1,0,1,16,,1,2,1,-,3.0,2,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Right hand Bat,Left arm Fast
16,Babar Azam,BG Lister,Fakhar Zaman,,4,0,4,20,,9,4,1,-,4.0,2,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Left hand Bat,Left arm Fast
17,Babar Azam,BG Lister,Fakhar Zaman,,0,0,0,20,,9,5,1,-,5.0,2,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Left hand Bat,Left arm Fast
18,Babar Azam,BG Lister,Fakhar Zaman,,0,0,0,20,,9,6,1,-,6.0,2,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Left hand Bat,Left arm Fast
19,Fakhar Zaman,MJ Henry,Babar Azam,,0,0,0,20,,1,3,1,-,1.0,3,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Right hand Bat,Right arm Fast
20,Fakhar Zaman,MJ Henry,Babar Azam,,0,0,0,20,,1,4,1,-,2.0,3,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Right hand Bat,Right arm Fast
21,Fakhar Zaman,MJ Henry,Babar Azam,,0,0,0,20,,1,5,1,-,3.0,3,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Right hand Bat,Right arm Fast
22,Fakhar Zaman,MJ Henry,Babar Azam,,4,0,4,24,,5,6,1,-,4.0,3,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Right hand Bat,Right arm Fast
23,Fakhar Zaman,MJ Henry,Babar Azam,,4,0,4,28,,9,7,1,-,5.0,3,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Right hand Bat,Right arm Fast
24,Fakhar Zaman,MJ Henry,Babar Azam,,1,0,1,29,,10,8,1,-,6.0,3,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Right hand Bat,Right arm Fast
25,Fakhar Zaman,AF Milne,Babar Azam,,1,0,1,30,,11,9,1,-,1.0,4,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Right hand Bat,Right arm Fast
26,Babar Azam,AF Milne,Fakhar Zaman,,0,0,0,30,,9,7,2,-,2.0,4,bowled,Babar Azam,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Right hand Bat,Left hand Bat,Right arm Fast
27,Saim Ayub,AF Milne,Fakhar Zaman,,0,0,0,30,,0,1,2,-,3.0,4,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Left hand Bat,Right arm Fast
28,Saim Ayub,AF Milne,Fakhar Zaman,,0,0,0,30,,0,2,2,-,4.0,4,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Left hand Bat,Right arm Fast
29,Saim Ayub,AF Milne,Fakhar Zaman,,2,1,3,33,,2,2,2,noballs,4.0,4,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Left hand Bat,Right arm Fast
30,Saim Ayub,AF Milne,Fakhar Zaman,,4,0,4,37,,6,3,2,-,5.0,4,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Left hand Bat,Right arm Fast
31,Saim Ayub,AF Milne,Fakhar Zaman,,4,0,4,41,,10,4,2,-,6.0,4,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Left hand Bat,Right arm Fast
32,Fakhar Zaman,BG Lister,Saim Ayub,,1,0,1,42,,12,10,2,-,1.0,5,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Left hand Bat,Left arm Fast
33,Saim Ayub,BG Lister,Fakhar Zaman,,1,0,1,43,,11,5,2,-,2.0,5,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Left hand Bat,Left arm Fast
34,Fakhar Zaman,BG Lister,Saim Ayub,,1,0,1,44,,13,11,2,-,3.0,5,0,,,bat,Pakistan,1,"Gaddafi Stadium, Lahore",2023,04,Pakistan_New Zealand_2023-04-14,Pakistan,Pakistan,New Zealand,True,182,Left hand Bat,Left hand Bat,Left arm Fast
