,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,TS Kamunhukamwe,Fazalhaq Farooqi,TK Musakanda,0,0,0,0,0,1,1,0,,,1,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
1,TS Kamunhukamwe,Fazalhaq Farooqi,TK Musakanda,1,0,1,1,1,2,2,0,,,1,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
2,TK Musakanda,Fazalhaq Farooqi,TS Kamunhukamwe,1,0,1,2,1,1,3,0,,,1,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
3,TS Kamunhukamwe,Fazalhaq Farooqi,TK Musakanda,0,0,0,2,1,3,4,0,,,1,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
4,TS Kamunhukamwe,Fazalhaq Farooqi,TK Musakanda,0,0,0,2,1,4,5,bowled,TS Kamunhukamwe,,1,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
5,SC Williams,Fazalhaq Farooqi,TK Musakanda,1,0,1,3,1,1,6,0,,,1,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
6,SC Williams,Mohammad Nabi,TK Musakanda,1,0,1,4,2,2,1,0,,,2,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
7,TK Musakanda,Mohammad Nabi,SC Williams,1,0,1,5,2,2,2,0,,,2,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
8,SC Williams,Mohammad Nabi,TK Musakanda,1,0,1,6,3,3,3,0,,,2,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
9,TK Musakanda,Mohammad Nabi,SC Williams,0,0,0,6,2,3,4,0,,,2,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
10,TK Musakanda,Mohammad Nabi,SC Williams,0,0,0,6,2,4,5,0,,,2,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
11,TK Musakanda,Mohammad Nabi,SC Williams,1,0,1,7,3,5,6,0,,,2,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
12,TK Musakanda,Fazalhaq Farooqi,SC Williams,4,0,4,11,7,6,1,0,,,3,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
13,TK Musakanda,Fazalhaq Farooqi,SC Williams,0,0,0,11,7,7,2,0,,,3,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
14,TK Musakanda,Fazalhaq Farooqi,SC Williams,0,0,0,11,7,8,3,0,,,3,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
15,TK Musakanda,Fazalhaq Farooqi,SC Williams,0,0,0,11,7,9,4,0,,,3,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
16,TK Musakanda,Fazalhaq Farooqi,SC Williams,0,0,0,11,7,10,5,0,,,3,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
17,TK Musakanda,Fazalhaq Farooqi,SC Williams,1,0,1,12,8,11,6,0,,,3,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
18,TK Musakanda,Mohammad Nabi,SC Williams,1,0,1,13,9,12,1,0,,,4,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
19,SC Williams,Mohammad Nabi,TK Musakanda,1,0,1,14,4,4,2,0,,,4,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
20,TK Musakanda,Mohammad Nabi,SC Williams,0,0,0,14,9,13,3,0,,,4,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
21,TK Musakanda,Mohammad Nabi,SC Williams,6,0,6,20,15,14,4,0,,,4,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
22,TK Musakanda,Mohammad Nabi,SC Williams,1,0,1,21,16,15,5,0,,,4,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
23,SC Williams,Mohammad Nabi,TK Musakanda,1,0,1,22,5,5,6,0,,,4,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
24,SC Williams,Fazalhaq Farooqi,TK Musakanda,1,0,1,23,6,6,1,0,,,5,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
25,TK Musakanda,Fazalhaq Farooqi,SC Williams,0,0,0,23,16,16,2,0,,,5,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
26,TK Musakanda,Fazalhaq Farooqi,SC Williams,4,0,4,27,20,17,3,0,,,5,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
27,TK Musakanda,Fazalhaq Farooqi,SC Williams,4,0,4,31,24,18,4,0,,,5,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
28,TK Musakanda,Fazalhaq Farooqi,SC Williams,0,0,0,31,24,19,5,0,,,5,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
29,TK Musakanda,Fazalhaq Farooqi,SC Williams,0,0,0,31,24,20,6,0,,,5,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
30,SC Williams,Mohammad Nabi,TK Musakanda,0,0,0,31,6,7,1,0,,,6,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
31,SC Williams,Mohammad Nabi,TK Musakanda,4,0,4,35,10,8,2,0,,,6,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
32,SC Williams,Mohammad Nabi,TK Musakanda,4,0,4,39,14,9,3,0,,,6,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
33,SC Williams,Mohammad Nabi,TK Musakanda,0,0,0,39,14,10,4,0,,,6,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
34,SC Williams,Mohammad Nabi,TK Musakanda,0,0,0,39,14,11,5,bowled,SC Williams,,6,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
35,M Shumba,Mohammad Nabi,TK Musakanda,1,0,1,40,1,1,6,0,,,6,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
36,M Shumba,Naveen-ul-Haq,TK Musakanda,0,0,0,40,1,2,1,0,,,7,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
37,M Shumba,Naveen-ul-Haq,TK Musakanda,0,1,1,41,1,3,2,0,,,7,wides,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
38,M Shumba,Naveen-ul-Haq,TK Musakanda,1,0,1,42,2,4,3,0,,,7,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
39,TK Musakanda,Naveen-ul-Haq,M Shumba,1,0,1,43,25,21,4,0,,,7,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
40,M Shumba,Naveen-ul-Haq,TK Musakanda,1,0,1,44,3,5,5,0,,,7,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
41,TK Musakanda,Naveen-ul-Haq,M Shumba,0,0,0,44,25,22,6,0,,,7,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
42,TK Musakanda,Naveen-ul-Haq,M Shumba,0,0,0,44,25,23,7,0,,,7,-,bat,Afghanistan,2,Sheikh Zayed Stadium,2021-03-20,Afghanistan,Zimbabwe,Afghanistan
