,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,Q de Kock,B Kumar,T Bavuma,0,0,0,0,0,1,1,-,1,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
1,Q de Kock,B Kumar,T Bavuma,1,0,1,1,1,2,2,-,1,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
2,T Bavuma,B Kumar,Q de Kock,0,4,4,5,0,1,3,legbyes,1,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
3,T Bavuma,B Kumar,Q de Kock,0,0,0,5,0,2,4,-,1,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
4,T Bavuma,B Kumar,Q de Kock,1,0,1,6,1,3,5,-,1,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
5,Q de Kock,B Kumar,T Bavuma,1,0,1,7,2,3,6,-,1,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
6,Q de Kock,Avesh Khan,T Bavuma,0,0,0,7,2,4,1,-,2,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
7,Q de Kock,Avesh Khan,T Bavuma,0,0,0,7,2,5,2,-,2,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
8,Q de Kock,Avesh Khan,T Bavuma,0,2,2,9,2,6,3,wides,2,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
9,T Bavuma,Avesh Khan,Q de Kock,4,0,4,13,5,4,4,-,2,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
10,T Bavuma,Avesh Khan,Q de Kock,4,0,4,17,9,5,5,-,2,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
11,T Bavuma,Avesh Khan,Q de Kock,1,0,1,18,10,6,6,-,2,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
12,Q de Kock,Avesh Khan,T Bavuma,4,0,4,22,6,7,7,-,2,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
13,T Bavuma,B Kumar,Q de Kock,0,0,0,22,10,7,1,-,3,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
14,T Bavuma,B Kumar,Q de Kock,0,0,0,22,10,8,2,-,3,caught,T Bavuma,RR Pant,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
15,D Pretorius,B Kumar,Q de Kock,0,0,0,22,0,1,3,-,3,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
16,D Pretorius,B Kumar,Q de Kock,4,0,4,26,4,2,4,-,3,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
17,D Pretorius,B Kumar,Q de Kock,0,0,0,26,4,3,5,-,3,0,,,,field,South Africa,2,"Arun Jaitley Stadium, Delhi",2022-06-09,South Africa,South Africa,India
