,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,wicket_type,player_out,fielder,over,extras,extra_type,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,DA Warner,Zulfiqar Babar,AJ Finch,4,0,4,4,4,1,1,0,,,1,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
1,DA Warner,Zulfiqar Babar,AJ Finch,0,0,0,4,4,2,2,bowled,DA Warner,,1,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
2,SR Watson,Zulfiqar Babar,AJ Finch,0,0,0,4,0,1,3,0,,,1,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
3,SR Watson,Zulfiqar Babar,AJ Finch,0,0,0,4,0,2,4,0,,,1,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
4,SR Watson,Zulfiqar Babar,AJ Finch,4,0,4,8,4,3,5,0,,,1,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
5,SR Watson,Zulfiqar Babar,AJ Finch,0,0,0,8,4,4,6,caught,SR Watson,Kamran Akmal,1,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
6,AJ Finch,Mohammad Hafeez,GJ Maxwell,0,0,0,8,0,1,1,0,,,2,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
7,AJ Finch,Mohammad Hafeez,GJ Maxwell,0,0,0,8,0,2,2,0,,,2,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
8,AJ Finch,Mohammad Hafeez,GJ Maxwell,1,0,1,9,1,3,3,0,,,2,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
9,GJ Maxwell,Mohammad Hafeez,AJ Finch,0,0,0,9,0,1,4,0,,,2,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
10,GJ Maxwell,Mohammad Hafeez,AJ Finch,1,0,1,10,1,2,5,0,,,2,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
11,AJ Finch,Mohammad Hafeez,GJ Maxwell,1,0,1,11,2,4,6,0,,,2,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
12,AJ Finch,Zulfiqar Babar,GJ Maxwell,1,0,1,12,3,5,1,0,,,3,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
13,GJ Maxwell,Zulfiqar Babar,AJ Finch,0,0,0,12,1,3,2,0,,,3,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
14,GJ Maxwell,Zulfiqar Babar,AJ Finch,4,0,4,16,5,4,3,0,,,3,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
15,GJ Maxwell,Zulfiqar Babar,AJ Finch,4,0,4,20,9,5,4,0,,,3,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
16,GJ Maxwell,Zulfiqar Babar,AJ Finch,0,0,0,20,9,6,5,0,,,3,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
17,GJ Maxwell,Zulfiqar Babar,AJ Finch,0,0,0,20,9,7,6,0,,,3,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
18,AJ Finch,Mohammad Hafeez,GJ Maxwell,0,0,0,20,3,6,1,0,,,4,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
19,AJ Finch,Mohammad Hafeez,GJ Maxwell,1,0,1,21,4,7,2,0,,,4,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
20,GJ Maxwell,Mohammad Hafeez,AJ Finch,6,0,6,27,15,8,3,0,,,4,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
21,GJ Maxwell,Mohammad Hafeez,AJ Finch,1,0,1,28,16,9,4,0,,,4,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
22,AJ Finch,Mohammad Hafeez,GJ Maxwell,1,0,1,29,5,8,5,0,,,4,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
23,GJ Maxwell,Mohammad Hafeez,AJ Finch,6,0,6,35,22,10,6,0,,,4,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
24,AJ Finch,Umar Gul,GJ Maxwell,0,0,0,35,5,9,1,0,,,5,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
25,AJ Finch,Umar Gul,GJ Maxwell,0,0,0,35,5,10,2,0,,,5,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
26,AJ Finch,Umar Gul,GJ Maxwell,0,0,0,35,5,11,3,0,,,5,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
27,AJ Finch,Umar Gul,GJ Maxwell,1,0,1,36,6,12,4,0,,,5,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
28,GJ Maxwell,Umar Gul,AJ Finch,4,0,4,40,26,11,5,0,,,5,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
29,GJ Maxwell,Umar Gul,AJ Finch,4,0,4,44,30,12,6,0,,,5,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
30,AJ Finch,Saeed Ajmal,GJ Maxwell,0,0,0,44,6,13,1,0,,,6,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
31,AJ Finch,Saeed Ajmal,GJ Maxwell,1,0,1,45,7,14,2,0,,,6,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
32,GJ Maxwell,Saeed Ajmal,AJ Finch,1,0,1,46,31,13,3,0,,,6,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
33,AJ Finch,Saeed Ajmal,GJ Maxwell,6,0,6,52,13,15,4,0,,,6,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
34,AJ Finch,Saeed Ajmal,GJ Maxwell,4,0,4,56,17,16,5,0,,,6,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
35,AJ Finch,Saeed Ajmal,GJ Maxwell,1,0,1,57,18,17,6,0,,,6,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
36,AJ Finch,Shahid Afridi,GJ Maxwell,1,0,1,58,19,18,1,0,,,7,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
37,GJ Maxwell,Shahid Afridi,AJ Finch,1,0,1,59,32,14,2,0,,,7,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
38,AJ Finch,Shahid Afridi,GJ Maxwell,0,0,0,59,19,19,3,0,,,7,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
39,AJ Finch,Shahid Afridi,GJ Maxwell,6,0,6,65,25,20,4,0,,,7,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
40,AJ Finch,Shahid Afridi,GJ Maxwell,1,0,1,66,26,21,5,0,,,7,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
41,GJ Maxwell,Shahid Afridi,AJ Finch,6,0,6,72,38,15,6,0,,,7,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
42,AJ Finch,Bilawal Bhatti,GJ Maxwell,4,0,4,76,30,22,1,0,,,8,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
43,AJ Finch,Bilawal Bhatti,GJ Maxwell,1,0,1,77,31,23,2,0,,,8,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
44,GJ Maxwell,Bilawal Bhatti,AJ Finch,4,0,4,81,42,16,3,0,,,8,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
45,GJ Maxwell,Bilawal Bhatti,AJ Finch,6,0,6,87,48,17,4,0,,,8,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
46,GJ Maxwell,Bilawal Bhatti,AJ Finch,6,0,6,93,54,18,5,0,,,8,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
47,GJ Maxwell,Bilawal Bhatti,AJ Finch,0,5,5,98,54,19,6,0,,,8,{'noballs': 5},noballs,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
48,GJ Maxwell,Bilawal Bhatti,AJ Finch,4,0,4,102,58,20,7,0,,,8,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
49,AJ Finch,Zulfiqar Babar,GJ Maxwell,0,0,0,102,31,24,1,0,,,9,,-,field,Australia,2,Shere Bangla National Stadium,2014-03-23,Australia,Pakistan
