,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,MJ Guptill,Anwar Ali,KS Williamson,0,0,0,0,0,1,1,-,0,,,1,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
1,MJ Guptill,Anwar Ali,KS Williamson,1,0,1,1,1,2,2,-,0,,,1,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
2,KS Williamson,Anwar Ali,MJ Guptill,0,0,0,1,0,1,3,-,lbw,KS Williamson,,1,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
3,AP Devcich,Anwar Ali,MJ Guptill,0,0,0,1,0,1,4,-,0,,,1,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
4,AP Devcich,Anwar Ali,MJ Guptill,0,1,1,2,0,2,5,legbyes,0,,,1,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
5,MJ Guptill,Anwar Ali,AP Devcich,0,0,0,2,1,3,6,-,0,,,1,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
6,AP Devcich,Sohail Tanvir,MJ Guptill,1,0,1,3,1,3,1,-,0,,,2,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
7,MJ Guptill,Sohail Tanvir,AP Devcich,6,0,6,9,7,4,2,-,0,,,2,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
8,MJ Guptill,Sohail Tanvir,AP Devcich,0,0,0,9,7,5,3,-,0,,,2,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
9,MJ Guptill,Sohail Tanvir,AP Devcich,1,0,1,10,8,6,4,-,0,,,2,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
10,AP Devcich,Sohail Tanvir,MJ Guptill,0,0,0,10,1,4,5,-,0,,,2,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
11,AP Devcich,Sohail Tanvir,MJ Guptill,0,0,0,10,1,5,6,-,lbw,AP Devcich,,2,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
12,MJ Guptill,Mohammad Irfan,LRPL Taylor,1,0,1,11,9,7,1,-,0,,,3,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
13,LRPL Taylor,Mohammad Irfan,MJ Guptill,0,0,0,11,0,1,2,-,0,,,3,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
14,LRPL Taylor,Mohammad Irfan,MJ Guptill,4,0,4,15,4,2,3,-,0,,,3,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
15,LRPL Taylor,Mohammad Irfan,MJ Guptill,0,0,0,15,4,3,4,-,0,,,3,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
16,LRPL Taylor,Mohammad Irfan,MJ Guptill,0,0,0,15,4,4,5,-,0,,,3,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
17,LRPL Taylor,Mohammad Irfan,MJ Guptill,0,0,0,15,4,5,6,-,caught,LRPL Taylor,Umar Akmal,3,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
18,MJ Guptill,Sohail Tanvir,CJ Anderson,0,0,0,15,9,8,1,-,0,,,4,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
19,MJ Guptill,Sohail Tanvir,CJ Anderson,1,0,1,16,10,9,2,-,0,,,4,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
20,CJ Anderson,Sohail Tanvir,MJ Guptill,0,1,1,17,0,1,3,wides,0,,,4,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
21,CJ Anderson,Sohail Tanvir,MJ Guptill,1,0,1,18,1,2,4,-,0,,,4,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
22,MJ Guptill,Sohail Tanvir,CJ Anderson,0,0,0,18,10,10,5,-,0,,,4,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
23,MJ Guptill,Sohail Tanvir,CJ Anderson,2,0,2,20,12,11,6,-,0,,,4,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
24,MJ Guptill,Sohail Tanvir,CJ Anderson,0,0,0,20,12,12,7,-,0,,,4,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
25,CJ Anderson,Mohammad Irfan,MJ Guptill,0,0,0,20,1,3,1,-,0,,,5,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
26,CJ Anderson,Mohammad Irfan,MJ Guptill,0,0,0,20,1,4,2,-,0,,,5,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
27,CJ Anderson,Mohammad Irfan,MJ Guptill,1,0,1,21,2,5,3,-,0,,,5,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
28,MJ Guptill,Mohammad Irfan,CJ Anderson,0,0,0,21,12,13,4,-,0,,,5,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
29,MJ Guptill,Mohammad Irfan,CJ Anderson,0,0,0,21,12,14,5,-,0,,,5,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
30,MJ Guptill,Mohammad Irfan,CJ Anderson,2,1,3,24,14,15,6,noballs,0,,,5,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
31,MJ Guptill,Mohammad Irfan,CJ Anderson,4,0,4,28,18,16,7,-,0,,,5,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
32,CJ Anderson,Raza Hasan,MJ Guptill,1,0,1,29,3,6,1,-,0,,,6,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
33,MJ Guptill,Raza Hasan,CJ Anderson,0,0,0,29,18,17,2,-,0,,,6,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
34,MJ Guptill,Raza Hasan,CJ Anderson,1,0,1,30,19,18,3,-,0,,,6,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
35,CJ Anderson,Raza Hasan,MJ Guptill,4,0,4,34,7,7,4,-,0,,,6,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
36,CJ Anderson,Raza Hasan,MJ Guptill,0,0,0,34,7,8,5,-,0,,,6,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
37,CJ Anderson,Raza Hasan,MJ Guptill,0,0,0,34,7,9,6,-,0,,,6,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
38,MJ Guptill,Mohammad Hafeez,CJ Anderson,1,0,1,35,20,19,1,-,0,,,7,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
39,CJ Anderson,Mohammad Hafeez,MJ Guptill,1,0,1,36,8,10,2,-,0,,,7,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
40,MJ Guptill,Mohammad Hafeez,CJ Anderson,0,0,0,36,20,20,3,-,0,,,7,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
41,MJ Guptill,Mohammad Hafeez,CJ Anderson,1,0,1,37,21,21,4,-,0,,,7,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
42,CJ Anderson,Mohammad Hafeez,MJ Guptill,1,0,1,38,9,11,5,-,0,,,7,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
43,MJ Guptill,Mohammad Hafeez,CJ Anderson,1,0,1,39,22,22,6,-,0,,,7,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
44,MJ Guptill,Shahid Afridi,CJ Anderson,4,0,4,43,26,23,1,-,0,,,8,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
45,MJ Guptill,Shahid Afridi,CJ Anderson,1,0,1,44,27,24,2,-,0,,,8,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
46,CJ Anderson,Shahid Afridi,MJ Guptill,0,0,0,44,9,12,3,-,0,,,8,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
47,CJ Anderson,Shahid Afridi,MJ Guptill,0,0,0,44,9,13,4,-,0,,,8,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
48,CJ Anderson,Shahid Afridi,MJ Guptill,2,0,2,46,11,14,5,-,0,,,8,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
49,CJ Anderson,Shahid Afridi,MJ Guptill,1,0,1,47,12,15,6,-,0,,,8,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
50,CJ Anderson,Mohammad Hafeez,MJ Guptill,0,0,0,47,12,16,1,-,0,,,9,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
51,CJ Anderson,Mohammad Hafeez,MJ Guptill,6,0,6,53,18,17,2,-,0,,,9,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
52,CJ Anderson,Mohammad Hafeez,MJ Guptill,1,0,1,54,19,18,3,-,0,,,9,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
53,MJ Guptill,Mohammad Hafeez,CJ Anderson,1,0,1,55,28,25,4,-,0,,,9,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
54,CJ Anderson,Mohammad Hafeez,MJ Guptill,1,0,1,56,20,19,5,-,0,,,9,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
55,MJ Guptill,Mohammad Hafeez,CJ Anderson,1,0,1,57,29,26,6,-,0,,,9,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
56,MJ Guptill,Shahid Afridi,CJ Anderson,2,0,2,59,31,27,1,-,0,,,10,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
57,MJ Guptill,Shahid Afridi,CJ Anderson,1,0,1,60,32,28,2,-,0,,,10,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
58,CJ Anderson,Shahid Afridi,MJ Guptill,1,0,1,61,21,20,3,-,0,,,10,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
59,MJ Guptill,Shahid Afridi,CJ Anderson,0,0,0,61,32,29,4,-,0,,,10,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
60,MJ Guptill,Shahid Afridi,CJ Anderson,0,0,0,61,32,30,5,-,bowled,MJ Guptill,,10,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
61,L Ronchi,Shahid Afridi,CJ Anderson,0,0,0,61,0,1,6,-,0,,,10,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
62,CJ Anderson,Raza Hasan,L Ronchi,6,0,6,67,27,21,1,-,0,,,11,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
63,CJ Anderson,Raza Hasan,L Ronchi,0,0,0,67,27,22,2,-,0,,,11,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
64,CJ Anderson,Raza Hasan,L Ronchi,1,0,1,68,28,23,3,-,0,,,11,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
65,L Ronchi,Raza Hasan,CJ Anderson,0,1,1,69,0,2,4,wides,0,,,11,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
66,L Ronchi,Raza Hasan,CJ Anderson,0,0,0,69,0,3,5,-,0,,,11,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
67,L Ronchi,Raza Hasan,CJ Anderson,0,0,0,69,0,4,6,-,0,,,11,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
68,L Ronchi,Raza Hasan,CJ Anderson,2,0,2,71,2,5,7,-,0,,,11,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
69,CJ Anderson,Shahid Afridi,L Ronchi,2,0,2,73,30,24,1,-,0,,,12,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
70,CJ Anderson,Shahid Afridi,L Ronchi,0,0,0,73,30,25,2,-,0,,,12,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
71,CJ Anderson,Shahid Afridi,L Ronchi,1,0,1,74,31,26,3,-,0,,,12,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
72,L Ronchi,Shahid Afridi,CJ Anderson,4,0,4,78,6,6,4,-,0,,,12,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
73,L Ronchi,Shahid Afridi,CJ Anderson,0,0,0,78,6,7,5,-,0,,,12,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
74,L Ronchi,Shahid Afridi,CJ Anderson,1,0,1,79,7,8,6,-,0,,,12,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
75,L Ronchi,Anwar Ali,CJ Anderson,1,0,1,80,8,9,1,-,0,,,13,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
76,CJ Anderson,Anwar Ali,L Ronchi,0,0,0,80,31,27,2,-,0,,,13,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
77,CJ Anderson,Anwar Ali,L Ronchi,6,0,6,86,37,28,3,-,0,,,13,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
78,CJ Anderson,Anwar Ali,L Ronchi,0,0,0,86,37,29,4,-,0,,,13,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
79,CJ Anderson,Anwar Ali,L Ronchi,6,0,6,92,43,30,5,-,0,,,13,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
80,CJ Anderson,Anwar Ali,L Ronchi,1,0,1,93,44,31,6,-,0,,,13,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
81,CJ Anderson,Shahid Afridi,L Ronchi,0,0,0,93,44,32,1,-,0,,,14,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
82,CJ Anderson,Shahid Afridi,L Ronchi,1,0,1,94,45,33,2,-,0,,,14,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
83,L Ronchi,Shahid Afridi,CJ Anderson,1,0,1,95,9,10,3,-,0,,,14,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
84,CJ Anderson,Shahid Afridi,L Ronchi,0,0,0,95,45,34,4,-,0,,,14,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
85,CJ Anderson,Shahid Afridi,L Ronchi,1,0,1,96,46,35,5,-,0,,,14,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
86,L Ronchi,Shahid Afridi,CJ Anderson,4,0,4,100,13,11,6,-,0,,,14,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
87,CJ Anderson,Mohammad Irfan,L Ronchi,0,1,1,101,46,36,1,wides,0,,,15,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
88,CJ Anderson,Mohammad Irfan,L Ronchi,1,0,1,102,47,37,2,-,0,,,15,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
89,L Ronchi,Mohammad Irfan,CJ Anderson,2,0,2,104,15,12,3,-,0,,,15,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
90,L Ronchi,Mohammad Irfan,CJ Anderson,2,0,2,106,17,13,4,-,0,,,15,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
91,L Ronchi,Mohammad Irfan,CJ Anderson,0,0,0,106,17,14,5,-,0,,,15,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
92,L Ronchi,Mohammad Irfan,CJ Anderson,4,0,4,110,21,15,6,-,0,,,15,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
93,L Ronchi,Mohammad Irfan,CJ Anderson,0,0,0,110,21,16,7,-,0,,,15,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
94,CJ Anderson,Raza Hasan,L Ronchi,1,0,1,111,48,38,1,-,0,,,16,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
95,L Ronchi,Raza Hasan,CJ Anderson,0,0,0,111,21,17,2,-,0,,,16,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
96,L Ronchi,Raza Hasan,CJ Anderson,1,0,1,112,22,18,3,-,0,,,16,field,Pakistan,1,Dubai International Cricket Stadium,2014-12-04,New Zealand,Pakistan
