,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,BR McDermott,Mahedi Hasan,MS Wade,1,0,1,1,103,1,1,0,1,0,,,1,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
1,MS Wade,Mahedi Hasan,BR McDermott,2,0,2,3,101,2,1,0,2,0,,,1,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
2,MS Wade,Mahedi Hasan,BR McDermott,0,0,0,3,101,2,2,0,3,0,,,1,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
3,MS Wade,Mahedi Hasan,BR McDermott,0,0,0,3,101,2,3,1,4,bowled,MS Wade,,1,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
4,DT Christian,Mahedi Hasan,BR McDermott,2,0,2,5,99,2,1,1,5,0,,,1,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
5,DT Christian,Mahedi Hasan,BR McDermott,4,0,4,9,95,6,2,1,6,0,,,1,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
6,BR McDermott,Shakib Al Hasan,DT Christian,1,0,1,10,94,2,2,1,1,0,,,2,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
7,DT Christian,Shakib Al Hasan,BR McDermott,1,0,1,11,93,7,3,1,2,0,,,2,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
8,BR McDermott,Shakib Al Hasan,DT Christian,0,0,0,11,93,2,3,1,3,0,,,2,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
9,BR McDermott,Shakib Al Hasan,DT Christian,2,0,2,13,91,4,4,1,4,0,,,2,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
10,BR McDermott,Shakib Al Hasan,DT Christian,0,1,1,14,90,4,5,1,5,0,,,2,wides,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
11,BR McDermott,Shakib Al Hasan,DT Christian,0,0,0,14,90,4,6,1,6,0,,,2,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
12,BR McDermott,Shakib Al Hasan,DT Christian,0,0,0,14,90,4,7,1,7,0,,,2,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
13,DT Christian,Nasum Ahmed,BR McDermott,0,0,0,14,90,7,4,1,1,0,,,3,-,,bat,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2021,08,Bangladesh_Australia_2021-08-07,Australia,Australia,Bangladesh,105
