,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,KL Rahul,JR Hazlewood,RG Sharma,1,0,1,1,169,1,1,0,1,1,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
1,RG Sharma,JR Hazlewood,KL Rahul,0,0,0,1,169,0,1,0,2,1,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
2,RG Sharma,JR Hazlewood,KL Rahul,1,0,1,2,168,1,2,0,3,1,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
3,KL Rahul,JR Hazlewood,RG Sharma,0,0,0,2,168,1,2,0,4,1,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
4,KL Rahul,JR Hazlewood,RG Sharma,2,0,2,4,166,3,3,0,5,1,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
5,KL Rahul,JR Hazlewood,RG Sharma,0,0,0,4,166,3,4,0,6,1,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
6,RG Sharma,PJ Cummins,KL Rahul,0,0,0,4,166,1,3,0,1,2,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
7,RG Sharma,PJ Cummins,KL Rahul,0,0,0,4,166,1,4,0,2,2,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
8,RG Sharma,PJ Cummins,KL Rahul,0,0,0,4,166,1,5,0,3,2,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
9,RG Sharma,PJ Cummins,KL Rahul,6,0,6,10,160,7,6,0,4,2,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
10,RG Sharma,PJ Cummins,KL Rahul,0,0,0,10,160,7,7,0,5,2,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
11,RG Sharma,PJ Cummins,KL Rahul,4,0,4,14,156,11,8,0,6,2,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
12,KL Rahul,JR Hazlewood,RG Sharma,6,0,6,20,150,9,5,0,1,3,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
13,KL Rahul,JR Hazlewood,RG Sharma,0,0,0,20,150,9,6,0,2,3,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
14,KL Rahul,JR Hazlewood,RG Sharma,1,0,1,21,149,10,7,0,3,3,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
15,RG Sharma,JR Hazlewood,KL Rahul,0,0,0,21,149,11,9,1,4,3,caught,RG Sharma,NT Ellis,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
16,KL Rahul,JR Hazlewood,V Kohli,4,0,4,25,145,14,8,1,5,3,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
17,KL Rahul,JR Hazlewood,V Kohli,0,0,0,25,145,14,9,1,6,3,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
18,V Kohli,A Zampa,KL Rahul,0,0,0,25,145,0,1,1,1,4,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
19,V Kohli,A Zampa,KL Rahul,0,0,0,25,145,0,2,1,2,4,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
20,V Kohli,A Zampa,KL Rahul,0,0,0,25,145,0,3,1,3,4,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
21,V Kohli,A Zampa,KL Rahul,1,0,1,26,144,1,4,1,4,4,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
22,KL Rahul,A Zampa,V Kohli,0,0,0,26,144,14,10,1,5,4,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
23,KL Rahul,A Zampa,V Kohli,4,0,4,30,140,18,11,1,6,4,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
24,V Kohli,NT Ellis,KL Rahul,0,0,0,30,140,1,5,1,1,5,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
25,V Kohli,NT Ellis,KL Rahul,0,1,1,31,139,1,6,1,2,5,0,,,wides,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
26,V Kohli,NT Ellis,KL Rahul,1,0,1,32,138,2,7,1,3,5,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
27,KL Rahul,NT Ellis,V Kohli,2,0,2,34,136,20,12,1,4,5,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
28,KL Rahul,NT Ellis,V Kohli,1,0,1,35,135,21,13,1,5,5,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
29,V Kohli,NT Ellis,KL Rahul,0,0,0,35,135,2,8,2,6,5,caught,V Kohli,C Green,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
30,SA Yadav,NT Ellis,KL Rahul,0,0,0,35,135,0,1,2,7,5,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
31,KL Rahul,PJ Cummins,SA Yadav,1,0,1,36,134,22,14,2,1,6,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
32,SA Yadav,PJ Cummins,KL Rahul,0,0,0,36,134,0,2,2,2,6,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
33,SA Yadav,PJ Cummins,KL Rahul,4,0,4,40,130,4,3,2,3,6,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
34,SA Yadav,PJ Cummins,KL Rahul,0,0,0,40,130,4,4,2,4,6,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
35,SA Yadav,PJ Cummins,KL Rahul,6,0,6,46,124,10,5,2,5,6,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
36,SA Yadav,PJ Cummins,KL Rahul,0,0,0,46,124,10,6,2,6,6,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
37,KL Rahul,A Zampa,SA Yadav,1,0,1,47,123,23,15,2,1,7,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
38,SA Yadav,A Zampa,KL Rahul,1,0,1,48,122,11,7,2,2,7,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
39,KL Rahul,A Zampa,SA Yadav,0,1,1,49,121,23,16,2,3,7,0,,,wides,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
40,KL Rahul,A Zampa,SA Yadav,1,0,1,50,120,24,17,2,4,7,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
41,SA Yadav,A Zampa,KL Rahul,4,0,4,54,116,15,8,2,5,7,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
42,SA Yadav,A Zampa,KL Rahul,1,0,1,55,115,16,9,2,6,7,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
43,KL Rahul,A Zampa,SA Yadav,1,0,1,56,114,25,18,2,7,7,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
44,KL Rahul,C Green,SA Yadav,1,0,1,57,113,26,19,2,1,8,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
45,SA Yadav,C Green,KL Rahul,1,0,1,58,112,17,10,2,2,8,0,,,-,,field,Australia,1,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2022,09,India_Australia_2022-09-20,Australia,India,Australia,208
