,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
61,N Pooran,Mukesh Kumar,BA King,1,0,1,92,73,34,26,1,6,10,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
62,BA King,Mukesh Kumar,N Pooran,4,0,4,96,69,45,32,1,7,10,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
63,N Pooran,YS Chahal,BA King,6,0,6,102,63,40,27,1,1,11,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
64,N Pooran,YS Chahal,BA King,2,0,2,104,61,42,28,1,2,11,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
65,N Pooran,YS Chahal,BA King,1,0,1,105,60,43,29,1,3,11,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
66,BA King,YS Chahal,N Pooran,1,0,1,106,59,46,33,1,4,11,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
67,N Pooran,YS Chahal,BA King,0,0,0,106,59,43,30,1,5,11,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
68,N Pooran,YS Chahal,BA King,1,0,1,107,58,44,31,1,6,11,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
69,N Pooran,Kuldeep Yadav,BA King,1,0,1,108,57,45,32,1,1,12,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
70,BA King,Kuldeep Yadav,N Pooran,0,0,0,108,57,46,34,1,2,12,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
71,BA King,Kuldeep Yadav,N Pooran,0,0,0,108,57,46,35,1,3,12,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
72,BA King,Kuldeep Yadav,N Pooran,1,0,1,109,56,47,36,1,4,12,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
73,N Pooran,Kuldeep Yadav,BA King,0,0,0,109,56,45,33,1,5,12,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
74,N Pooran,Kuldeep Yadav,BA King,0,0,0,109,56,45,34,1,6,12,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
75,BA King,YS Chahal,N Pooran,1,0,1,110,55,48,37,1,1,13,0,,,-,,bat,India,2,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2023,08,India_West Indies_2023-08-13,West Indies,West Indies,India,171
