,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,date,winning_team,batting_team,bowling_team
0,RG Sharma,Taskin Ahmed,S Dhawan,0,0,0,0,0,1,1,1,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
1,RG Sharma,Taskin Ahmed,S Dhawan,1,0,1,1,1,2,2,1,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
2,S Dhawan,Taskin Ahmed,RG Sharma,0,0,0,1,0,1,3,1,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
3,S Dhawan,Taskin Ahmed,RG Sharma,4,0,4,5,4,2,4,1,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
4,S Dhawan,Taskin Ahmed,RG Sharma,0,0,0,5,4,3,5,1,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
5,S Dhawan,Taskin Ahmed,RG Sharma,0,0,0,5,4,4,6,1,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
6,RG Sharma,Al-Amin Hossain,S Dhawan,0,0,0,5,1,3,1,2,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
7,RG Sharma,Al-Amin Hossain,S Dhawan,0,0,0,5,1,4,2,2,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
8,RG Sharma,Al-Amin Hossain,S Dhawan,0,0,0,5,1,5,3,2,caught,RG Sharma,Soumya Sarkar,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
9,V Kohli,Al-Amin Hossain,S Dhawan,2,0,2,7,2,1,4,2,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
10,V Kohli,Al-Amin Hossain,S Dhawan,1,0,1,8,3,2,5,2,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
11,S Dhawan,Al-Amin Hossain,V Kohli,0,0,0,8,4,5,6,2,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
12,V Kohli,Taskin Ahmed,S Dhawan,0,0,0,8,3,3,1,3,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
13,V Kohli,Taskin Ahmed,S Dhawan,2,0,2,10,5,4,2,3,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
14,V Kohli,Taskin Ahmed,S Dhawan,0,0,0,10,5,5,3,3,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
15,V Kohli,Taskin Ahmed,S Dhawan,0,0,0,10,5,6,4,3,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
16,V Kohli,Taskin Ahmed,S Dhawan,1,0,1,11,6,7,5,3,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
17,S Dhawan,Taskin Ahmed,V Kohli,1,0,1,12,5,6,6,3,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
18,S Dhawan,Al-Amin Hossain,V Kohli,0,0,0,12,5,7,1,4,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
19,S Dhawan,Al-Amin Hossain,V Kohli,0,0,0,12,5,8,2,4,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
20,S Dhawan,Al-Amin Hossain,V Kohli,4,0,4,16,9,9,3,4,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
21,S Dhawan,Al-Amin Hossain,V Kohli,1,0,1,17,10,10,4,4,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
22,V Kohli,Al-Amin Hossain,S Dhawan,1,0,1,18,7,8,5,4,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
23,S Dhawan,Al-Amin Hossain,V Kohli,1,0,1,19,11,11,6,4,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
24,S Dhawan,Abu Hider,V Kohli,4,0,4,23,15,12,1,5,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
25,S Dhawan,Abu Hider,V Kohli,0,0,0,23,15,13,2,5,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
26,S Dhawan,Abu Hider,V Kohli,1,0,1,24,16,14,3,5,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
27,V Kohli,Abu Hider,S Dhawan,4,0,4,28,11,9,4,5,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
28,V Kohli,Abu Hider,S Dhawan,1,0,1,29,12,10,5,5,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
29,S Dhawan,Abu Hider,V Kohli,4,0,4,33,20,15,6,5,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
30,V Kohli,Shakib Al Hasan,S Dhawan,4,0,4,37,16,11,1,6,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
31,V Kohli,Shakib Al Hasan,S Dhawan,1,0,1,38,17,12,2,6,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
32,S Dhawan,Shakib Al Hasan,V Kohli,4,0,4,42,24,16,3,6,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
33,S Dhawan,Shakib Al Hasan,V Kohli,0,0,0,42,24,17,4,6,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
34,S Dhawan,Shakib Al Hasan,V Kohli,2,0,2,44,26,18,5,6,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
35,S Dhawan,Shakib Al Hasan,V Kohli,4,0,4,48,30,19,6,6,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
36,V Kohli,Mashrafe Mortaza,S Dhawan,1,0,1,49,18,13,1,7,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
37,S Dhawan,Mashrafe Mortaza,V Kohli,0,0,0,49,30,20,2,7,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
38,S Dhawan,Mashrafe Mortaza,V Kohli,1,0,1,50,31,21,3,7,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
39,V Kohli,Mashrafe Mortaza,S Dhawan,4,0,4,54,22,14,4,7,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
40,V Kohli,Mashrafe Mortaza,S Dhawan,1,0,1,55,23,15,5,7,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
41,S Dhawan,Mashrafe Mortaza,V Kohli,0,0,0,55,31,22,6,7,0,,,0,field,India,2,Shere Bangla National Stadium,2016-03-06,India,India,Bangladesh
