,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,review,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,FH Allen,Taskin Ahmed,R Ravindra,0,0,0,0,93,0,1,0,1,1,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
1,FH Allen,Taskin Ahmed,R Ravindra,1,0,1,1,92,1,2,0,2,1,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
2,R Ravindra,Taskin Ahmed,FH Allen,1,0,1,2,91,1,1,0,3,1,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
3,FH Allen,Taskin Ahmed,R Ravindra,0,0,0,2,91,1,3,0,4,1,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
4,FH Allen,Taskin Ahmed,R Ravindra,0,0,0,2,91,1,4,0,5,1,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
5,FH Allen,Taskin Ahmed,R Ravindra,0,0,0,2,91,1,5,0,6,1,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
6,R Ravindra,Nasum Ahmed,FH Allen,1,0,1,3,90,2,2,0,1,2,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
7,FH Allen,Nasum Ahmed,R Ravindra,4,0,4,7,86,5,6,0,2,2,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
8,FH Allen,Nasum Ahmed,R Ravindra,6,0,6,13,80,11,7,0,3,2,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
9,FH Allen,Nasum Ahmed,R Ravindra,0,0,0,13,80,11,8,0,4,2,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
10,FH Allen,Nasum Ahmed,R Ravindra,0,0,0,13,80,11,9,0,5,2,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
11,FH Allen,Nasum Ahmed,R Ravindra,1,0,1,14,79,12,10,0,6,2,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
12,FH Allen,Taskin Ahmed,R Ravindra,0,0,0,14,79,12,11,0,1,3,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
13,FH Allen,Taskin Ahmed,R Ravindra,1,0,1,15,78,13,12,0,2,3,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
14,R Ravindra,Taskin Ahmed,FH Allen,0,0,0,15,78,2,3,0,3,3,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
15,R Ravindra,Taskin Ahmed,FH Allen,0,0,0,15,78,2,4,0,4,3,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
16,R Ravindra,Taskin Ahmed,FH Allen,4,0,4,19,74,6,5,0,5,3,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
17,R Ravindra,Taskin Ahmed,FH Allen,0,0,0,19,74,6,6,0,6,3,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
18,FH Allen,Shoriful Islam,R Ravindra,0,0,0,19,74,13,13,0,1,4,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
19,FH Allen,Shoriful Islam,R Ravindra,4,0,4,23,70,17,14,0,2,4,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
20,FH Allen,Shoriful Islam,R Ravindra,6,0,6,29,64,23,15,0,3,4,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
21,FH Allen,Shoriful Islam,R Ravindra,4,0,4,33,60,27,16,0,4,4,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
22,FH Allen,Shoriful Islam,R Ravindra,1,0,1,34,59,28,17,0,5,4,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
23,R Ravindra,Shoriful Islam,FH Allen,4,0,4,38,55,10,7,0,6,4,,0,,,-,bat,New Zealand,1,"Shere Bangla National Stadium, Mirpur",2021,09,New Zealand_Bangladesh_2021-09-10,New Zealand,New Zealand,Bangladesh
