,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
0,FH Allen,SM Curran,DP Conway,0,0,0,0,0,1,1,-,1,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
1,FH Allen,SM Curran,DP Conway,0,0,0,0,0,2,2,-,1,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
2,FH Allen,SM Curran,DP Conway,1,0,1,1,1,3,3,-,1,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
3,DP Conway,SM Curran,FH Allen,0,1,1,2,0,1,4,legbyes,1,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
4,FH Allen,SM Curran,DP Conway,1,0,1,3,2,4,5,-,1,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
5,DP Conway,SM Curran,FH Allen,0,0,0,3,0,2,6,-,1,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
6,FH Allen,AAP Atkinson,DP Conway,1,0,1,4,3,5,1,-,2,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
7,DP Conway,AAP Atkinson,FH Allen,2,0,2,6,2,3,2,-,2,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
8,DP Conway,AAP Atkinson,FH Allen,0,0,0,6,2,4,3,-,2,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
9,DP Conway,AAP Atkinson,FH Allen,0,0,0,6,2,5,4,-,2,caught,DP Conway,LS Livingstone,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
10,TL Seifert,AAP Atkinson,FH Allen,0,0,0,6,0,1,5,-,2,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
11,TL Seifert,AAP Atkinson,FH Allen,2,0,2,8,2,2,6,-,2,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
12,FH Allen,SM Curran,TL Seifert,0,0,0,8,3,6,1,-,3,caught,FH Allen,WG Jacks,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
13,GD Phillips,SM Curran,TL Seifert,1,0,1,9,1,1,2,-,3,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
14,TL Seifert,SM Curran,GD Phillips,1,0,1,10,3,3,3,-,3,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
15,GD Phillips,SM Curran,TL Seifert,1,0,1,11,2,2,4,-,3,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
16,TL Seifert,SM Curran,GD Phillips,1,0,1,12,4,4,5,-,3,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
17,GD Phillips,SM Curran,TL Seifert,1,0,1,13,3,3,6,-,3,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
18,GD Phillips,AAP Atkinson,TL Seifert,0,0,0,13,3,4,1,-,4,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
19,GD Phillips,AAP Atkinson,TL Seifert,4,0,4,17,7,5,2,-,4,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
20,GD Phillips,AAP Atkinson,TL Seifert,1,0,1,18,8,6,3,-,4,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
21,TL Seifert,AAP Atkinson,GD Phillips,0,0,0,18,4,5,4,-,4,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
22,TL Seifert,AAP Atkinson,GD Phillips,1,0,1,19,5,6,5,-,4,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
23,GD Phillips,AAP Atkinson,TL Seifert,1,0,1,20,9,7,6,-,4,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
24,GD Phillips,SM Curran,TL Seifert,0,0,0,20,9,8,1,-,5,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
25,GD Phillips,SM Curran,TL Seifert,1,0,1,21,10,9,2,-,5,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
26,TL Seifert,SM Curran,GD Phillips,0,0,0,21,5,7,3,-,5,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
27,TL Seifert,SM Curran,GD Phillips,0,1,1,22,5,8,4,wides,5,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
28,TL Seifert,SM Curran,GD Phillips,0,1,1,23,5,9,5,noballs,5,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
29,TL Seifert,SM Curran,GD Phillips,0,0,0,23,5,10,6,-,5,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
30,TL Seifert,SM Curran,GD Phillips,4,0,4,27,9,11,7,-,5,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
31,TL Seifert,SM Curran,GD Phillips,4,0,4,31,13,12,8,-,5,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
32,GD Phillips,BA Carse,TL Seifert,4,0,4,35,14,10,1,-,6,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
33,GD Phillips,BA Carse,TL Seifert,1,0,1,36,15,11,2,-,6,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
34,TL Seifert,BA Carse,GD Phillips,1,0,1,37,14,13,3,-,6,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
35,GD Phillips,BA Carse,TL Seifert,4,0,4,41,19,12,4,-,6,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
36,GD Phillips,BA Carse,TL Seifert,0,0,0,41,19,13,5,-,6,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
37,GD Phillips,BA Carse,TL Seifert,1,0,1,42,20,14,6,-,6,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
38,GD Phillips,AU Rashid,TL Seifert,2,0,2,44,22,15,1,-,7,0,,,,bat,England,2,"Old Trafford, Manchester",2023-09-01,New Zealand,England
