,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Mohammad Rizwan,MJ Santner,Abdullah Shafique,0,0,0,0,238,0,1,0,1,1,0,,,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
1,Mohammad Rizwan,MJ Santner,Abdullah Shafique,4,0,4,4,234,4,2,0,2,1,0,,,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
2,Mohammad Rizwan,MJ Santner,Abdullah Shafique,2,0,2,6,232,6,3,0,3,1,0,,,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
3,Mohammad Rizwan,MJ Santner,Abdullah Shafique,0,0,0,6,232,6,4,0,4,1,0,,,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
4,Mohammad Rizwan,MJ Santner,Abdullah Shafique,0,0,0,6,232,6,5,0,5,1,0,,,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
5,Mohammad Rizwan,MJ Santner,Abdullah Shafique,1,0,1,7,231,7,6,0,6,1,0,,,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
6,Mohammad Rizwan,JA Duffy,Abdullah Shafique,0,0,0,7,231,7,7,0,1,2,0,,,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
7,Mohammad Rizwan,JA Duffy,Abdullah Shafique,1,0,1,8,230,8,8,0,2,2,0,,,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
8,Abdullah Shafique,JA Duffy,Mohammad Rizwan,0,0,0,8,230,0,1,0,3,2,0,,,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
9,Abdullah Shafique,JA Duffy,Mohammad Rizwan,0,0,0,8,230,0,2,1,4,2,caught,Abdullah Shafique,MS Chapman,-,,bat,Pakistan,1,Eden Park,2020,12,Pakistan_New Zealand_2020-12-18,New Zealand,Pakistan,New Zealand,153
