,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,ADS Fletcher,MA Starc,LMP Simmons,0,0,0,0,141,0,1,0,1,0,,,0,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
1,ADS Fletcher,MA Starc,LMP Simmons,4,0,4,4,137,4,2,0,2,0,,,0,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
2,ADS Fletcher,MA Starc,LMP Simmons,0,0,0,4,137,4,3,1,3,caught,ADS Fletcher,MR Marsh,0,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
3,CH Gayle,MA Starc,LMP Simmons,0,0,0,4,137,0,1,1,4,0,,,0,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
4,CH Gayle,MA Starc,LMP Simmons,0,0,0,4,137,0,2,1,5,0,,,0,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
5,CH Gayle,MA Starc,LMP Simmons,0,0,0,4,137,0,3,1,6,0,,,0,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
6,LMP Simmons,JR Hazlewood,CH Gayle,0,0,0,4,137,0,1,1,1,0,,,1,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
7,LMP Simmons,JR Hazlewood,CH Gayle,1,0,1,5,136,1,2,1,2,0,,,1,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
8,CH Gayle,JR Hazlewood,LMP Simmons,6,0,6,11,130,6,4,1,3,0,,,1,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
9,CH Gayle,JR Hazlewood,LMP Simmons,4,0,4,15,126,10,5,1,4,0,,,1,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
10,CH Gayle,JR Hazlewood,LMP Simmons,4,0,4,19,122,14,6,1,5,0,,,1,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
11,CH Gayle,JR Hazlewood,LMP Simmons,4,0,4,23,118,18,7,1,6,0,,,1,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
12,LMP Simmons,MA Starc,CH Gayle,0,1,1,24,117,1,3,1,1,0,,,2,"{'by': 'Australia', 'umpire': 'LS Reifer', 'batter': 'LMP Simmons', 'decision': 'struck down'}",legbyes,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
13,CH Gayle,MA Starc,LMP Simmons,1,0,1,25,116,19,8,1,2,0,,,2,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
14,LMP Simmons,MA Starc,CH Gayle,0,0,0,25,116,1,4,1,3,0,,,2,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
15,LMP Simmons,MA Starc,CH Gayle,0,0,0,25,116,1,5,1,4,0,,,2,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
16,LMP Simmons,MA Starc,CH Gayle,0,0,0,25,116,1,6,1,5,0,,,2,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
17,LMP Simmons,MA Starc,CH Gayle,0,0,0,25,116,1,7,1,6,0,,,2,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
18,CH Gayle,RP Meredith,LMP Simmons,0,0,0,25,116,19,9,1,1,0,,,3,,-,bat,Australia,2,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,Australia_West Indies_2021-07-12,West Indies,West Indies,Australia,True,142
