,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,0,0,0,0,,0,1,0,1,0,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
1,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,0,0,0,0,,0,2,0,2,0,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
2,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,0,0,0,0,,0,3,0,3,0,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
3,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,0,0,0,0,,0,4,0,4,0,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
4,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,0,0,0,0,,0,5,0,5,0,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
5,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,1,0,1,1,,1,6,0,6,0,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
6,Rahmanullah Gurbaz,PM Liyanagamage,Usman Ghani,0,0,0,1,,1,7,0,1,1,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
7,Rahmanullah Gurbaz,PM Liyanagamage,Usman Ghani,0,0,0,1,,1,8,0,2,1,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
8,Rahmanullah Gurbaz,PM Liyanagamage,Usman Ghani,4,0,4,5,,5,9,0,3,1,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
9,Rahmanullah Gurbaz,PM Liyanagamage,Usman Ghani,0,0,0,5,,5,10,0,4,1,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
10,Rahmanullah Gurbaz,PM Liyanagamage,Usman Ghani,2,0,2,7,,7,11,0,5,1,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
11,Rahmanullah Gurbaz,PM Liyanagamage,Usman Ghani,0,0,0,7,,7,12,0,6,1,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
12,Usman Ghani,CAK Rajitha,Rahmanullah Gurbaz,0,0,0,7,,0,1,0,1,2,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
13,Usman Ghani,CAK Rajitha,Rahmanullah Gurbaz,1,0,1,8,,1,2,0,2,2,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
14,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,0,0,0,8,,7,13,0,3,2,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
15,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,6,0,6,14,,13,14,0,4,2,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
16,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,2,0,2,16,,15,15,0,5,2,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
17,Rahmanullah Gurbaz,CAK Rajitha,Usman Ghani,0,0,0,16,,15,16,0,6,2,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
18,Usman Ghani,CBRLS Kumara,Rahmanullah Gurbaz,0,0,0,16,,1,3,0,1,3,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
19,Usman Ghani,CBRLS Kumara,Rahmanullah Gurbaz,4,0,4,20,,5,4,0,2,3,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
20,Usman Ghani,CBRLS Kumara,Rahmanullah Gurbaz,0,0,0,20,,5,5,0,3,3,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
21,Usman Ghani,CBRLS Kumara,Rahmanullah Gurbaz,1,0,1,21,,6,6,0,4,3,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
22,Rahmanullah Gurbaz,CBRLS Kumara,Usman Ghani,0,0,0,21,,15,17,0,5,3,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
23,Rahmanullah Gurbaz,CBRLS Kumara,Usman Ghani,4,0,4,25,,19,18,0,6,3,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
24,Usman Ghani,PM Liyanagamage,Rahmanullah Gurbaz,4,0,4,29,,10,7,0,1,4,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
25,Usman Ghani,PM Liyanagamage,Rahmanullah Gurbaz,1,0,1,30,,11,8,0,2,4,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
26,Rahmanullah Gurbaz,PM Liyanagamage,Usman Ghani,6,0,6,36,,25,19,0,3,4,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
27,Rahmanullah Gurbaz,PM Liyanagamage,Usman Ghani,1,0,1,37,,26,20,0,4,4,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
28,Usman Ghani,PM Liyanagamage,Rahmanullah Gurbaz,1,0,1,38,,12,9,0,5,4,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
29,Rahmanullah Gurbaz,PM Liyanagamage,Usman Ghani,0,0,0,38,,26,21,0,6,4,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
30,Usman Ghani,M Theekshana,Rahmanullah Gurbaz,0,0,0,38,,12,10,0,1,5,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
31,Usman Ghani,M Theekshana,Rahmanullah Gurbaz,1,0,1,39,,13,11,0,2,5,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
32,Rahmanullah Gurbaz,M Theekshana,Usman Ghani,1,0,1,40,,27,22,0,3,5,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
33,Usman Ghani,M Theekshana,Rahmanullah Gurbaz,1,0,1,41,,14,12,0,4,5,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
34,Rahmanullah Gurbaz,M Theekshana,Usman Ghani,1,0,1,42,,28,23,0,5,5,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
35,Usman Ghani,M Theekshana,Rahmanullah Gurbaz,0,0,0,42,,14,13,0,6,5,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
36,Rahmanullah Gurbaz,CBRLS Kumara,Usman Ghani,0,0,0,42,,28,24,1,1,6,-,bowled,Rahmanullah Gurbaz,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
37,Ibrahim Zadran,CBRLS Kumara,Usman Ghani,0,1,1,43,,0,1,1,2,6,wides,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
38,Ibrahim Zadran,CBRLS Kumara,Usman Ghani,1,0,1,44,,1,2,1,3,6,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
39,Usman Ghani,CBRLS Kumara,Ibrahim Zadran,0,1,1,45,,14,14,1,4,6,wides,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
40,Usman Ghani,CBRLS Kumara,Ibrahim Zadran,2,0,2,47,,16,15,1,5,6,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
41,Usman Ghani,CBRLS Kumara,Ibrahim Zadran,0,0,0,47,,16,16,1,6,6,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
42,Usman Ghani,CBRLS Kumara,Ibrahim Zadran,0,0,0,47,,16,17,1,7,6,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
43,Usman Ghani,CBRLS Kumara,Ibrahim Zadran,0,0,0,47,,16,18,1,8,6,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
44,Ibrahim Zadran,PWH de Silva,Usman Ghani,0,0,0,47,,1,3,1,1,7,-,0,,,,bat,Afghanistan,1,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2022,11,Afghanistan_Sri Lanka_2022-11-01,Sri Lanka,Afghanistan,Sri Lanka,False,144
