,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,BKG Mendis,MA Starc,N Dickwella,2,0,2,2,,2,1,0,1,0,,,0,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
1,BKG Mendis,MA Starc,N Dickwella,0,0,0,2,,2,2,0,2,0,,,0,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
2,BKG Mendis,MA Starc,N Dickwella,0,0,0,2,,2,3,0,3,0,,,0,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
3,BKG Mendis,MA Starc,N Dickwella,0,0,0,2,,2,4,0,4,0,,,0,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
4,BKG Mendis,MA Starc,N Dickwella,1,0,1,3,,3,5,0,5,0,,,0,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
5,N Dickwella,MA Starc,BKG Mendis,0,0,0,3,,0,1,1,6,caught,N Dickwella,BR McDermott,0,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
6,BKG Mendis,KW Richardson,MDKJ Perera,0,0,0,3,,3,6,1,1,0,,,1,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
7,BKG Mendis,KW Richardson,MDKJ Perera,0,0,0,3,,3,7,1,2,0,,,1,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
8,BKG Mendis,KW Richardson,MDKJ Perera,0,0,0,3,,3,8,1,3,0,,,1,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
9,BKG Mendis,KW Richardson,MDKJ Perera,6,0,6,9,,9,9,1,4,0,,,1,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
10,BKG Mendis,KW Richardson,MDKJ Perera,0,0,0,9,,9,10,1,5,0,,,1,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
11,BKG Mendis,KW Richardson,MDKJ Perera,1,0,1,10,,10,11,1,6,0,,,1,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
12,BKG Mendis,MA Starc,MDKJ Perera,0,1,1,11,,10,12,1,1,0,,,2,"{'by': 'Australia', 'umpire': 'P Wilson', 'batter': 'BKG Mendis', 'decision': 'technical failure'}",legbyes,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
13,MDKJ Perera,MA Starc,BKG Mendis,4,0,4,15,,4,1,1,2,0,,,2,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
14,MDKJ Perera,MA Starc,BKG Mendis,0,1,1,16,,4,2,1,3,0,,,2,,wides,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
15,MDKJ Perera,MA Starc,BKG Mendis,0,0,0,16,,4,3,1,4,0,,,2,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
16,MDKJ Perera,MA Starc,BKG Mendis,0,0,0,16,,4,4,1,5,0,,,2,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
17,MDKJ Perera,MA Starc,BKG Mendis,0,4,4,20,,4,5,1,6,0,,,2,,legbyes,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
18,MDKJ Perera,MA Starc,BKG Mendis,1,0,1,21,,5,6,1,7,0,,,2,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
19,MDKJ Perera,PJ Cummins,BKG Mendis,1,0,1,22,,6,7,1,1,0,,,3,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
20,BKG Mendis,PJ Cummins,MDKJ Perera,1,0,1,23,,11,13,1,2,0,,,3,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
21,MDKJ Perera,PJ Cummins,BKG Mendis,1,0,1,24,,7,8,1,3,0,,,3,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
22,BKG Mendis,PJ Cummins,MDKJ Perera,0,0,0,24,,11,14,1,4,0,,,3,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
23,BKG Mendis,PJ Cummins,MDKJ Perera,1,0,1,25,,12,15,1,5,0,,,3,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
24,MDKJ Perera,PJ Cummins,BKG Mendis,6,0,6,31,,13,9,1,6,0,,,3,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
25,BKG Mendis,KW Richardson,MDKJ Perera,1,0,1,32,,13,16,1,1,0,,,4,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
26,MDKJ Perera,KW Richardson,BKG Mendis,1,0,1,33,,14,10,1,2,0,,,4,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
27,BKG Mendis,KW Richardson,MDKJ Perera,0,0,0,33,,13,17,1,3,0,,,4,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
28,BKG Mendis,KW Richardson,MDKJ Perera,0,0,0,33,,13,18,2,4,caught,BKG Mendis,BR McDermott,4,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
29,WIA Fernando,KW Richardson,MDKJ Perera,1,0,1,34,,1,1,2,5,0,,,4,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
30,MDKJ Perera,KW Richardson,WIA Fernando,0,0,0,34,,14,11,2,6,0,,,4,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
31,WIA Fernando,PJ Cummins,MDKJ Perera,0,0,0,34,,1,2,2,1,0,,,5,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
32,WIA Fernando,PJ Cummins,MDKJ Perera,2,0,2,36,,3,3,2,2,0,,,5,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
33,WIA Fernando,PJ Cummins,MDKJ Perera,0,0,0,36,,3,4,2,3,0,,,5,,-,field,Australia,1,Melbourne Cricket Ground,2019,11,Australia_Sri Lanka_2019-11-01,Australia,Sri Lanka,Australia,False,142
