,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Tamim Iqbal,SS Cottrell,Liton Das,0,0,0,0,190,0,1,0,1,-,1,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
1,Tamim Iqbal,SS Cottrell,Liton Das,1,0,1,1,189,1,2,0,2,-,1,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
2,Liton Das,SS Cottrell,Tamim Iqbal,0,0,0,1,189,0,1,0,3,-,1,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
3,Liton Das,SS Cottrell,Tamim Iqbal,0,1,1,2,188,0,2,0,4,wides,1,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
4,Liton Das,SS Cottrell,Tamim Iqbal,1,0,1,3,187,1,3,0,5,-,1,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
5,Tamim Iqbal,SS Cottrell,Liton Das,6,0,6,9,181,7,3,0,6,-,1,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
6,Tamim Iqbal,SS Cottrell,Liton Das,0,1,1,10,180,7,4,0,7,byes,1,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
7,Tamim Iqbal,O Thomas,Liton Das,0,1,1,11,179,7,5,0,1,noballs,2,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
8,Tamim Iqbal,O Thomas,Liton Das,1,0,1,12,178,8,6,0,2,-,2,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
9,Liton Das,O Thomas,Tamim Iqbal,0,0,0,12,178,1,4,0,3,-,2,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
10,Liton Das,O Thomas,Tamim Iqbal,0,1,1,13,177,1,5,0,4,noballs,2,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
11,Liton Das,O Thomas,Tamim Iqbal,6,0,6,19,171,7,6,0,5,-,2,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
12,Liton Das,O Thomas,Tamim Iqbal,0,1,1,20,170,7,7,0,6,wides,2,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
13,Liton Das,O Thomas,Tamim Iqbal,2,0,2,22,168,9,8,1,7,-,2,run out,Tamim Iqbal,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
14,Soumya Sarkar,O Thomas,Liton Das,1,0,1,23,167,1,1,1,8,-,2,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
15,Liton Das,O Thomas,Soumya Sarkar,4,0,4,27,163,13,9,1,9,-,2,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
16,Soumya Sarkar,SS Cottrell,Liton Das,0,0,0,27,163,1,2,1,1,-,3,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
17,Soumya Sarkar,SS Cottrell,Liton Das,0,1,1,28,162,1,3,1,2,wides,3,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
18,Soumya Sarkar,SS Cottrell,Liton Das,0,0,0,28,162,1,4,1,3,-,3,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
19,Soumya Sarkar,SS Cottrell,Liton Das,0,0,0,28,162,1,5,1,4,-,3,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
20,Soumya Sarkar,SS Cottrell,Liton Das,0,1,1,29,161,1,6,1,5,wides,3,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
21,Soumya Sarkar,SS Cottrell,Liton Das,0,0,0,29,161,1,7,1,6,-,3,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
22,Soumya Sarkar,SS Cottrell,Liton Das,0,0,0,29,161,1,8,1,7,-,3,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
23,Soumya Sarkar,SS Cottrell,Liton Das,0,1,1,30,160,1,9,1,8,noballs,3,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
24,Soumya Sarkar,SS Cottrell,Liton Das,2,0,2,32,158,3,10,1,9,-,3,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
25,Liton Das,O Thomas,Soumya Sarkar,6,0,6,38,152,19,10,1,1,-,4,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
26,Liton Das,O Thomas,Soumya Sarkar,0,0,0,38,152,19,11,1,2,-,4,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
27,Liton Das,O Thomas,Soumya Sarkar,4,0,4,42,148,23,12,1,3,-,4,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
28,Liton Das,O Thomas,Soumya Sarkar,0,0,0,42,148,23,13,1,4,-,4,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
29,Liton Das,O Thomas,Soumya Sarkar,4,1,5,47,143,27,14,1,5,noballs,4,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
30,Liton Das,O Thomas,Soumya Sarkar,6,0,6,53,137,33,15,1,6,-,4,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
31,Liton Das,O Thomas,Soumya Sarkar,0,1,1,54,136,33,16,1,7,wides,4,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
32,Liton Das,O Thomas,Soumya Sarkar,1,1,2,56,134,34,17,1,8,noballs,4,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
33,Soumya Sarkar,O Thomas,Liton Das,6,0,6,62,128,9,11,1,9,-,4,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
34,Liton Das,FA Allen,Soumya Sarkar,3,0,3,65,125,37,18,1,1,-,5,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
35,Soumya Sarkar,FA Allen,Liton Das,0,0,0,65,125,9,12,2,2,-,5,caught,Soumya Sarkar,SS Cottrell,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
36,Shakib Al Hasan,FA Allen,Liton Das,0,0,0,65,125,0,1,3,3,-,5,caught,Shakib Al Hasan,SS Cottrell,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
37,Mushfiqur Rahim,FA Allen,Liton Das,0,0,0,65,125,0,1,3,4,-,5,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
38,Mushfiqur Rahim,FA Allen,Liton Das,1,0,1,66,124,1,2,3,5,-,5,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
39,Liton Das,FA Allen,Mushfiqur Rahim,0,0,0,66,124,37,19,3,6,-,5,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
40,Mushfiqur Rahim,KMA Paul,Liton Das,0,0,0,66,124,1,3,3,1,-,6,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
41,Mushfiqur Rahim,KMA Paul,Liton Das,0,0,0,66,124,1,4,3,2,-,6,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
42,Mushfiqur Rahim,KMA Paul,Liton Das,0,0,0,66,124,1,5,4,3,-,6,caught,Mushfiqur Rahim,FA Allen,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
43,Mahmudullah,KMA Paul,Liton Das,0,0,0,66,124,0,1,4,4,-,6,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
44,Mahmudullah,KMA Paul,Liton Das,4,0,4,70,120,4,2,4,5,-,6,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
45,Mahmudullah,KMA Paul,Liton Das,0,0,0,70,120,4,3,4,6,-,6,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
46,Liton Das,FA Allen,Mahmudullah,1,0,1,71,119,38,20,4,1,-,7,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
47,Mahmudullah,FA Allen,Liton Das,4,0,4,75,115,8,4,4,2,-,7,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
48,Mahmudullah,FA Allen,Liton Das,0,0,0,75,115,8,5,4,3,-,7,0,,,,field,Bangladesh,2,"Shere Bangla National Stadium, Mirpur",2018,12,Bangladesh_West Indies_2018-12-22,West Indies,Bangladesh,West Indies,140
