,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,BA King,RJW Topley,SD Hope,,0,2,2,2,169,0,1,0,wides,0.0,0,,,0,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
1,SD Hope,RJW Topley,BA King,,0,1,1,3,168,0,1,0,legbyes,1.0,0,,,0,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
2,BA King,RJW Topley,SD Hope,"{'by': 'West Indies', 'umpire': 'N Duguid', 'batter': 'BA King', 'decision': 'struck down', 'umpires_call': True}",0,0,0,3,168,0,2,1,-,2.0,lbw,BA King,,0,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
3,N Pooran,RJW Topley,SD Hope,,0,0,0,3,168,0,1,1,-,3.0,0,,,0,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
4,N Pooran,RJW Topley,SD Hope,,0,0,0,3,168,0,2,1,-,4.0,0,,,0,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
5,N Pooran,RJW Topley,SD Hope,,0,0,0,3,168,0,3,1,-,5.0,0,,,0,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
6,N Pooran,RJW Topley,SD Hope,,0,0,0,3,168,0,4,1,-,6.0,0,,,0,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
7,SD Hope,S Mahmood,N Pooran,,0,0,0,3,168,0,2,1,-,1.0,0,,,1,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
8,SD Hope,S Mahmood,N Pooran,,0,0,0,3,168,0,3,1,-,2.0,0,,,1,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
9,SD Hope,S Mahmood,N Pooran,,2,0,2,5,166,2,4,1,-,3.0,0,,,1,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
10,SD Hope,S Mahmood,N Pooran,,0,0,0,5,166,2,5,1,-,4.0,0,,,1,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
11,SD Hope,S Mahmood,N Pooran,,0,0,0,5,166,2,6,1,-,5.0,0,,,1,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
12,SD Hope,S Mahmood,N Pooran,,0,0,0,5,166,2,7,1,-,6.0,0,,,1,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
13,N Pooran,RJW Topley,SD Hope,,1,0,1,6,165,1,5,1,-,1.0,0,,,2,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
14,SD Hope,RJW Topley,N Pooran,,0,0,0,6,165,2,8,1,-,2.0,0,,,2,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
15,SD Hope,RJW Topley,N Pooran,,0,0,0,6,165,2,9,2,-,3.0,run out,SD Hope,RJW Topley,2,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
16,N Pooran,RJW Topley,DM Bravo,,0,0,0,6,165,1,6,2,-,4.0,0,,,2,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
17,N Pooran,RJW Topley,DM Bravo,,0,0,0,6,165,1,7,2,-,5.0,0,,,2,field,West Indies,2,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-23,England,West Indies,England,False,170
