,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,TM Dilshan,SE Bond,ST Jayasuriya,0,0,0,0,170,0,1,0,1,0,,,0,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
1,TM Dilshan,SE Bond,ST Jayasuriya,1,0,1,1,169,1,2,0,2,0,,,0,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
2,ST Jayasuriya,SE Bond,TM Dilshan,0,0,0,1,169,0,1,0,3,0,,,0,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
3,ST Jayasuriya,SE Bond,TM Dilshan,1,0,1,2,168,1,2,0,4,0,,,0,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
4,TM Dilshan,SE Bond,ST Jayasuriya,0,0,0,2,168,1,3,1,5,caught,TM Dilshan,MJ Guptill,0,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
5,ST Jayasuriya,SE Bond,ML Udawatte,0,0,0,2,168,1,3,1,6,0,,,0,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
6,ML Udawatte,KD Mills,ST Jayasuriya,0,0,0,2,168,0,1,2,1,caught,ML Udawatte,NT Broom,1,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
7,DPMD Jayawardene,KD Mills,ST Jayasuriya,0,0,0,2,168,0,1,2,2,0,,,1,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
8,DPMD Jayawardene,KD Mills,ST Jayasuriya,0,0,0,2,168,0,2,2,3,0,,,1,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
9,DPMD Jayawardene,KD Mills,ST Jayasuriya,1,0,1,3,167,1,3,2,4,0,,,1,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
10,ST Jayasuriya,KD Mills,DPMD Jayawardene,0,0,0,3,167,1,4,2,5,0,,,1,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
11,ST Jayasuriya,KD Mills,DPMD Jayawardene,0,0,0,3,167,1,5,2,6,0,,,1,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
12,DPMD Jayawardene,SE Bond,ST Jayasuriya,0,0,0,3,167,1,4,2,1,0,,,2,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
13,DPMD Jayawardene,SE Bond,ST Jayasuriya,0,0,0,3,167,1,5,2,2,0,,,2,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
14,DPMD Jayawardene,SE Bond,ST Jayasuriya,0,0,0,3,167,1,6,2,3,0,,,2,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
15,DPMD Jayawardene,SE Bond,ST Jayasuriya,1,0,1,4,166,2,7,2,4,0,,,2,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
16,ST Jayasuriya,SE Bond,DPMD Jayawardene,2,0,2,6,164,3,6,2,5,0,,,2,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
17,ST Jayasuriya,SE Bond,DPMD Jayawardene,4,0,4,10,160,7,7,2,6,0,,,2,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
18,DPMD Jayawardene,KD Mills,ST Jayasuriya,1,0,1,11,159,3,8,2,1,0,,,3,-,bat,New Zealand,2,R Premadasa Stadium,2009,09,Sri Lanka_New Zealand_2009-09-04,New Zealand,Sri Lanka,New Zealand,148
