,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,over,extras,review,extra_type,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
54,CR Ervine,AD Mathews,BJ Bennett,0,1,1,57,34,32,4,9,{'wides': 1},,wides,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
55,CR Ervine,AD Mathews,BJ Bennett,1,0,1,58,35,33,5,9,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
56,BJ Bennett,AD Mathews,CR Ervine,1,0,1,59,8,9,6,9,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
57,CR Ervine,AD Mathews,BJ Bennett,0,0,0,59,35,34,7,9,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
58,BJ Bennett,PWH de Silva,CR Ervine,0,1,1,60,8,10,1,10,{'legbyes': 1},,legbyes,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
59,CR Ervine,PWH de Silva,BJ Bennett,2,0,2,62,37,35,2,10,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
60,CR Ervine,PWH de Silva,BJ Bennett,1,0,1,63,38,36,3,10,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
61,BJ Bennett,PWH de Silva,CR Ervine,4,0,4,67,12,11,4,10,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
62,BJ Bennett,PWH de Silva,CR Ervine,0,0,0,67,12,12,5,10,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
63,BJ Bennett,PWH de Silva,CR Ervine,2,0,2,69,14,13,6,10,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
64,CR Ervine,MD Shanaka,BJ Bennett,6,0,6,75,44,37,1,11,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
65,CR Ervine,MD Shanaka,BJ Bennett,1,0,1,76,45,38,2,11,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
66,BJ Bennett,MD Shanaka,CR Ervine,4,0,4,80,18,14,3,11,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
67,BJ Bennett,MD Shanaka,CR Ervine,0,0,0,80,18,15,4,11,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
68,BJ Bennett,MD Shanaka,CR Ervine,1,0,1,81,19,16,5,11,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
69,CR Ervine,MD Shanaka,BJ Bennett,1,0,1,82,46,39,6,11,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
70,CR Ervine,PWH de Silva,BJ Bennett,4,0,4,86,50,40,1,12,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
71,CR Ervine,PWH de Silva,BJ Bennett,2,0,2,88,52,41,2,12,,,-,0,,,field,Zimbabwe,2,"R Premadasa Stadium, Colombo",2024-01-16,Zimbabwe,Sri Lanka
