,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
16,BKG Mendis,Fazalhaq Farooqi,DM de Silva,0,1,1,23,,2,3,1,legbyes,4.0,0,,,2,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
17,DM de Silva,Fazalhaq Farooqi,BKG Mendis,0,0,0,23,,13,10,1,-,5.0,0,,,2,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
18,DM de Silva,Fazalhaq Farooqi,BKG Mendis,4,0,4,27,,17,11,1,-,6.0,0,,,2,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
19,BKG Mendis,Azmatullah Omarzai,DM de Silva,0,0,0,27,,2,4,1,-,1.0,0,,,3,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
20,BKG Mendis,Azmatullah Omarzai,DM de Silva,6,0,6,33,,8,5,1,-,2.0,0,,,3,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
21,BKG Mendis,Azmatullah Omarzai,DM de Silva,1,0,1,34,,9,6,1,-,3.0,0,,,3,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
22,DM de Silva,Azmatullah Omarzai,BKG Mendis,1,0,1,35,,18,12,1,-,4.0,0,,,3,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
23,BKG Mendis,Azmatullah Omarzai,DM de Silva,1,0,1,36,,10,7,1,-,5.0,0,,,3,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
24,DM de Silva,Azmatullah Omarzai,BKG Mendis,0,0,0,36,,18,13,1,-,6.0,0,,,3,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Right arm Medium
25,BKG Mendis,Fazalhaq Farooqi,DM de Silva,0,0,0,36,,10,8,2,-,1.0,caught,BKG Mendis,Azmatullah Omarzai,4,,field,Afghanistan,1,Rangiri Dambulla International Stadium,2024,02,Sri Lanka_Afghanistan_2024-02-17,Sri Lanka,Sri Lanka,Afghanistan,True,160,Right hand Bat,Right hand Bat,Left arm Fast
