,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_total
0,JN Malan,Shaheen Shah Afridi,RR Hendricks,2,0,2,2,142,2,1,0,1,0,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
1,JN Malan,Shaheen Shah Afridi,RR Hendricks,0,0,0,2,142,2,2,0,2,0,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
2,JN Malan,Shaheen Shah Afridi,RR Hendricks,4,0,4,6,138,6,3,0,3,0,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
3,JN Malan,Shaheen Shah Afridi,RR Hendricks,1,0,1,7,137,7,4,0,4,0,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
4,RR Hendricks,Shaheen Shah Afridi,JN Malan,0,0,0,7,137,0,1,0,5,0,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
5,RR Hendricks,Shaheen Shah Afridi,JN Malan,1,0,1,8,136,1,2,0,6,0,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
6,RR Hendricks,Mohammad Nawaz (3),JN Malan,0,0,0,8,136,1,3,0,1,1,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
7,RR Hendricks,Mohammad Nawaz (3),JN Malan,1,0,1,9,135,2,4,0,2,1,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
8,JN Malan,Mohammad Nawaz (3),RR Hendricks,0,0,0,9,135,7,5,0,3,1,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
9,JN Malan,Mohammad Nawaz (3),RR Hendricks,1,0,1,10,134,8,6,0,4,1,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
10,RR Hendricks,Mohammad Nawaz (3),JN Malan,0,0,0,10,134,2,5,1,5,1,bowled,RR Hendricks,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
11,JT Smuts,Mohammad Nawaz (3),JN Malan,0,0,0,10,134,0,1,1,6,1,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
12,JN Malan,Shaheen Shah Afridi,JT Smuts,1,0,1,11,133,9,7,1,1,2,0,,,,-,field,Pakistan,1,Gaddafi Stadium,2021,02,South Africa_Pakistan_2021-02-14,Pakistan,South Africa,Pakistan,164
