,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,Babar Azam,CAK Rajitha,Ahmed Shehzad,0,0,0,0,165,0,1,0,1,1,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
1,Babar Azam,CAK Rajitha,Ahmed Shehzad,0,0,0,0,165,0,2,0,2,1,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
2,Babar Azam,CAK Rajitha,Ahmed Shehzad,4,0,4,4,161,4,3,0,3,1,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
3,Babar Azam,CAK Rajitha,Ahmed Shehzad,0,0,0,4,161,4,4,0,4,1,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
4,Babar Azam,CAK Rajitha,Ahmed Shehzad,3,0,3,7,158,7,5,0,5,1,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
5,Ahmed Shehzad,CAK Rajitha,Babar Azam,0,0,0,7,158,0,1,0,6,1,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
6,Babar Azam,N Pradeep,Ahmed Shehzad,0,0,0,7,158,7,6,0,1,2,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
7,Babar Azam,N Pradeep,Ahmed Shehzad,2,0,2,9,156,9,7,0,2,2,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
8,Babar Azam,N Pradeep,Ahmed Shehzad,0,0,0,9,156,9,8,0,3,2,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
9,Babar Azam,N Pradeep,Ahmed Shehzad,4,0,4,13,152,13,9,0,4,2,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
10,Babar Azam,N Pradeep,Ahmed Shehzad,0,0,0,13,152,13,10,1,5,2,caught,Babar Azam,M Bhanuka,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
11,Umar Akmal,N Pradeep,Ahmed Shehzad,0,0,0,13,152,0,1,2,6,2,lbw,Umar Akmal,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
12,Ahmed Shehzad,CAK Rajitha,Sarfraz Ahmed,0,0,0,13,152,0,2,2,1,3,0,,,"{'by': 'Sri Lanka', 'umpire': 'Aleem Dar', 'batter': 'Ahmed Shehzad', 'decision': 'struck down', 'umpires_call': True}",-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
13,Ahmed Shehzad,CAK Rajitha,Sarfraz Ahmed,0,1,1,14,151,0,3,2,2,3,0,,,,legbyes,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
14,Sarfraz Ahmed,CAK Rajitha,Ahmed Shehzad,0,0,0,14,151,0,1,2,3,3,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
15,Sarfraz Ahmed,CAK Rajitha,Ahmed Shehzad,1,0,1,15,150,1,2,2,4,3,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
16,Ahmed Shehzad,CAK Rajitha,Sarfraz Ahmed,0,0,0,15,150,0,4,2,5,3,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
17,Ahmed Shehzad,CAK Rajitha,Sarfraz Ahmed,0,0,0,15,150,0,5,2,6,3,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
18,Sarfraz Ahmed,N Pradeep,Ahmed Shehzad,0,0,0,15,150,1,3,2,1,4,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
19,Sarfraz Ahmed,N Pradeep,Ahmed Shehzad,1,0,1,16,149,2,4,2,2,4,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
20,Ahmed Shehzad,N Pradeep,Sarfraz Ahmed,1,0,1,17,148,1,6,2,3,4,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
21,Sarfraz Ahmed,N Pradeep,Ahmed Shehzad,1,0,1,18,147,3,5,2,4,4,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
22,Ahmed Shehzad,N Pradeep,Sarfraz Ahmed,0,1,1,19,146,1,7,2,5,4,0,,,,wides,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
23,Ahmed Shehzad,N Pradeep,Sarfraz Ahmed,1,0,1,20,145,2,8,2,6,4,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
24,Sarfraz Ahmed,N Pradeep,Ahmed Shehzad,0,0,0,20,145,3,6,2,7,4,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
25,Ahmed Shehzad,I Udana,Sarfraz Ahmed,2,0,2,22,143,4,9,2,1,5,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
26,Ahmed Shehzad,I Udana,Sarfraz Ahmed,0,0,0,22,143,4,10,3,2,5,bowled,Ahmed Shehzad,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
27,Iftikhar Ahmed,I Udana,Sarfraz Ahmed,0,0,0,22,143,0,1,3,3,5,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
28,Iftikhar Ahmed,I Udana,Sarfraz Ahmed,0,0,0,22,143,0,2,3,4,5,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
29,Iftikhar Ahmed,I Udana,Sarfraz Ahmed,0,0,0,22,143,0,3,3,5,5,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
30,Iftikhar Ahmed,I Udana,Sarfraz Ahmed,4,0,4,26,139,4,4,3,6,5,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
31,Sarfraz Ahmed,PWH de Silva,Iftikhar Ahmed,1,0,1,27,138,4,7,3,1,6,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
32,Iftikhar Ahmed,PWH de Silva,Sarfraz Ahmed,1,0,1,28,137,5,5,3,2,6,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
33,Sarfraz Ahmed,PWH de Silva,Iftikhar Ahmed,0,0,0,28,137,4,8,3,3,6,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
34,Sarfraz Ahmed,PWH de Silva,Iftikhar Ahmed,0,0,0,28,137,4,9,3,4,6,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
35,Sarfraz Ahmed,PWH de Silva,Iftikhar Ahmed,1,0,1,29,136,5,10,3,5,6,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
36,Iftikhar Ahmed,PWH de Silva,Sarfraz Ahmed,1,0,1,30,135,6,6,3,6,6,0,,,,-,field,Pakistan,2,Gaddafi Stadium,2019,10,Pakistan_Sri Lanka_2019-10-05,Sri Lanka,Pakistan,Sri Lanka,101
