,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,wicket_type,player_out,fielder,over,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Liton Das,DL Chahar,Mohammad Naim,2,0,2,2,146,2,1,0,1,-,0,,,1,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
1,Liton Das,DL Chahar,Mohammad Naim,4,0,4,6,142,6,2,0,2,-,0,,,1,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
2,Liton Das,DL Chahar,Mohammad Naim,1,0,1,7,141,7,3,0,3,-,0,,,1,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
3,Mohammad Naim,DL Chahar,Liton Das,1,0,1,8,140,1,1,0,4,-,0,,,1,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
4,Liton Das,DL Chahar,Mohammad Naim,0,0,0,8,140,7,4,1,5,-,caught,Liton Das,KL Rahul,1,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
5,Soumya Sarkar,DL Chahar,Mohammad Naim,0,1,1,9,139,0,1,1,6,wides,0,,,1,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
6,Soumya Sarkar,DL Chahar,Mohammad Naim,0,0,0,9,139,0,2,1,7,-,0,,,1,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
7,Mohammad Naim,Washington Sundar,Soumya Sarkar,0,0,0,9,139,1,2,1,1,-,0,,,2,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
8,Mohammad Naim,Washington Sundar,Soumya Sarkar,1,0,1,10,138,2,3,1,2,-,0,,,2,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
9,Soumya Sarkar,Washington Sundar,Mohammad Naim,1,0,1,11,137,1,3,1,3,-,0,,,2,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
10,Mohammad Naim,Washington Sundar,Soumya Sarkar,0,0,0,11,137,2,4,1,4,-,0,,,2,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
11,Mohammad Naim,Washington Sundar,Soumya Sarkar,2,0,2,13,135,4,5,1,5,-,0,,,2,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
12,Mohammad Naim,Washington Sundar,Soumya Sarkar,0,0,0,13,135,4,6,1,6,-,0,,,2,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
13,Soumya Sarkar,DL Chahar,Mohammad Naim,1,0,1,14,134,2,4,1,1,-,0,,,3,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
14,Mohammad Naim,DL Chahar,Soumya Sarkar,1,0,1,15,133,5,7,1,2,-,0,,,3,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
15,Soumya Sarkar,DL Chahar,Mohammad Naim,1,0,1,16,132,3,5,1,3,-,0,,,3,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
16,Mohammad Naim,DL Chahar,Soumya Sarkar,0,0,0,16,132,5,8,1,4,-,0,,,3,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
17,Mohammad Naim,DL Chahar,Soumya Sarkar,0,0,0,16,132,5,9,1,5,-,0,,,3,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
18,Mohammad Naim,DL Chahar,Soumya Sarkar,0,0,0,16,132,5,10,1,6,-,0,,,3,,field,Bangladesh,2,Arun Jaitley Stadium,2019,11,India_Bangladesh_2019-11-03,Bangladesh,Bangladesh,India
