,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,MDKJ Perera,LL Tsotsobe,DPMD Jayawardene,1,0,1,1,144,1,1,0,-,1.0,0,,,0,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
1,DPMD Jayawardene,LL Tsotsobe,MDKJ Perera,0,0,0,1,144,0,1,0,-,2.0,0,,,0,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
2,DPMD Jayawardene,LL Tsotsobe,MDKJ Perera,2,0,2,3,142,2,2,0,-,3.0,0,,,0,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
3,DPMD Jayawardene,LL Tsotsobe,MDKJ Perera,0,1,1,4,141,2,3,0,wides,3.0,0,,,0,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
4,DPMD Jayawardene,LL Tsotsobe,MDKJ Perera,0,0,0,4,141,2,4,0,-,4.0,0,,,0,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
5,DPMD Jayawardene,LL Tsotsobe,MDKJ Perera,4,0,4,8,137,6,5,0,-,5.0,0,,,0,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
6,DPMD Jayawardene,LL Tsotsobe,MDKJ Perera,0,0,0,8,137,6,6,1,-,6.0,caught,DPMD Jayawardene,Q de Kock,0,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
7,MDKJ Perera,M Morkel,LD Chandimal,0,1,1,9,136,1,2,1,wides,0.0,0,,,1,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
8,MDKJ Perera,M Morkel,LD Chandimal,0,0,0,9,136,1,3,1,-,1.0,0,,,1,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
9,MDKJ Perera,M Morkel,LD Chandimal,0,0,0,9,136,1,4,1,-,2.0,0,,,1,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
10,MDKJ Perera,M Morkel,LD Chandimal,4,0,4,13,132,5,5,1,-,3.0,0,,,1,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
11,MDKJ Perera,M Morkel,LD Chandimal,1,0,1,14,131,6,6,1,-,4.0,0,,,1,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
12,LD Chandimal,M Morkel,MDKJ Perera,1,0,1,15,130,1,1,1,-,5.0,0,,,1,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
13,MDKJ Perera,M Morkel,LD Chandimal,0,0,0,15,130,6,7,1,-,6.0,0,,,1,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
14,LD Chandimal,LL Tsotsobe,MDKJ Perera,0,0,0,15,130,1,2,1,-,1.0,0,,,2,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
15,LD Chandimal,LL Tsotsobe,MDKJ Perera,1,0,1,16,129,2,3,1,-,2.0,0,,,2,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
16,MDKJ Perera,LL Tsotsobe,LD Chandimal,2,0,2,18,127,8,8,1,-,3.0,0,,,2,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
17,MDKJ Perera,LL Tsotsobe,LD Chandimal,1,0,1,19,126,9,9,1,-,4.0,0,,,2,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
18,LD Chandimal,LL Tsotsobe,MDKJ Perera,0,0,0,19,126,2,4,1,-,5.0,0,,,2,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
19,LD Chandimal,LL Tsotsobe,MDKJ Perera,0,0,0,19,126,2,5,1,-,6.0,0,,,2,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
20,MDKJ Perera,M Morkel,LD Chandimal,4,0,4,23,122,13,10,1,-,1.0,0,,,3,bat,South Africa,2,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,08,Sri Lanka_South Africa_2013-08-04,South Africa,Sri Lanka,South Africa,False,123
