,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,Tamim Iqbal,DR Tuffey,Mohammad Ashraful,1,0,1,1,146,1,1,0,1,1,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
1,Mohammad Ashraful,DR Tuffey,Tamim Iqbal,0,0,0,1,146,0,1,0,2,1,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
2,Mohammad Ashraful,DR Tuffey,Tamim Iqbal,1,0,1,2,145,1,2,0,3,1,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
3,Tamim Iqbal,DR Tuffey,Mohammad Ashraful,1,0,1,3,144,2,2,0,4,1,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
4,Mohammad Ashraful,DR Tuffey,Tamim Iqbal,0,0,0,3,144,1,3,0,5,1,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
5,Mohammad Ashraful,DR Tuffey,Tamim Iqbal,1,0,1,4,143,2,4,0,6,1,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
6,Mohammad Ashraful,TG Southee,Tamim Iqbal,1,0,1,5,142,3,5,0,1,2,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
7,Tamim Iqbal,TG Southee,Mohammad Ashraful,4,0,4,9,138,6,3,0,2,2,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
8,Tamim Iqbal,TG Southee,Mohammad Ashraful,4,0,4,13,134,10,4,0,3,2,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
9,Tamim Iqbal,TG Southee,Mohammad Ashraful,0,0,0,13,134,10,5,0,4,2,0,,,-,bat,Bangladesh,1,Seddon Park,2010,02,New Zealand_Bangladesh_2010-02-03,New Zealand,Bangladesh,New Zealand
