,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,review,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,DA Warner,AU Rashid,AJ Finch,1,0,1,1,141,1,1,0,1,1,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
1,AJ Finch,AU Rashid,DA Warner,0,0,0,1,141,0,1,0,2,1,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
2,AJ Finch,AU Rashid,DA Warner,0,0,0,1,141,0,2,0,3,1,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
3,AJ Finch,AU Rashid,DA Warner,0,0,0,1,141,0,3,0,4,1,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
4,AJ Finch,AU Rashid,DA Warner,4,0,4,5,137,4,4,0,5,1,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
5,AJ Finch,AU Rashid,DA Warner,1,0,1,6,136,5,5,0,6,1,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
6,AJ Finch,CR Woakes,DA Warner,1,0,1,7,135,6,6,0,1,2,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
7,DA Warner,CR Woakes,AJ Finch,0,0,0,7,135,1,2,1,2,2,caught,DA Warner,JC Buttler,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
8,SPD Smith,CR Woakes,AJ Finch,0,0,0,7,135,0,1,1,3,2,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
9,SPD Smith,CR Woakes,AJ Finch,0,0,0,7,135,0,2,1,4,2,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
10,SPD Smith,CR Woakes,AJ Finch,0,0,0,7,135,0,3,1,5,2,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
11,SPD Smith,CR Woakes,AJ Finch,1,0,1,8,134,1,4,1,6,2,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
12,SPD Smith,CJ Jordan,AJ Finch,0,0,0,8,134,1,5,2,1,3,caught,SPD Smith,CR Woakes,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
13,GJ Maxwell,CJ Jordan,AJ Finch,0,0,0,8,134,0,1,2,2,3,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
14,GJ Maxwell,CJ Jordan,AJ Finch,1,0,1,9,133,1,2,2,3,3,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
15,AJ Finch,CJ Jordan,GJ Maxwell,1,0,1,10,132,7,7,2,4,3,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
16,GJ Maxwell,CJ Jordan,AJ Finch,0,0,0,10,132,1,3,2,5,3,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
17,GJ Maxwell,CJ Jordan,AJ Finch,1,0,1,11,131,2,4,2,6,3,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
18,GJ Maxwell,CR Woakes,AJ Finch,2,0,2,13,129,4,5,2,1,4,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
19,GJ Maxwell,CR Woakes,AJ Finch,0,0,0,13,129,4,6,2,2,4,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
20,GJ Maxwell,CR Woakes,AJ Finch,0,0,0,13,129,4,7,2,3,4,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
21,GJ Maxwell,CR Woakes,AJ Finch,2,0,2,15,127,6,8,2,4,4,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
22,GJ Maxwell,CR Woakes,AJ Finch,0,0,0,15,127,6,9,3,5,4,lbw,GJ Maxwell,,"{'by': 'Australia', 'umpire': 'M Erasmus', 'batter': 'GJ Maxwell', 'decision': 'struck down'}",-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
23,MP Stoinis,CR Woakes,AJ Finch,0,0,0,15,127,0,1,3,6,4,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
24,AJ Finch,CJ Jordan,MP Stoinis,0,0,0,15,127,7,8,3,1,5,0,,,"{'by': 'England', 'umpire': 'Nitin Menon', 'batter': 'AJ Finch', 'decision': 'struck down', 'umpires_call': True}",-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
25,AJ Finch,CJ Jordan,MP Stoinis,2,0,2,17,125,9,9,3,2,5,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
26,AJ Finch,CJ Jordan,MP Stoinis,0,0,0,17,125,9,10,3,3,5,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
27,AJ Finch,CJ Jordan,MP Stoinis,0,0,0,17,125,9,11,3,4,5,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
28,AJ Finch,CJ Jordan,MP Stoinis,0,0,0,17,125,9,12,3,5,5,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
29,AJ Finch,CJ Jordan,MP Stoinis,2,0,2,19,123,11,13,3,6,5,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
30,MP Stoinis,CR Woakes,AJ Finch,0,0,0,19,123,0,2,3,1,6,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
31,MP Stoinis,CR Woakes,AJ Finch,0,1,1,20,122,0,3,3,2,6,0,,,,wides,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
32,MP Stoinis,CR Woakes,AJ Finch,0,1,1,21,121,0,4,3,3,6,0,,,,legbyes,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
33,AJ Finch,CR Woakes,MP Stoinis,0,0,0,21,121,11,14,3,4,6,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
34,AJ Finch,CR Woakes,MP Stoinis,0,0,0,21,121,11,15,3,5,6,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
35,AJ Finch,CR Woakes,MP Stoinis,0,0,0,21,121,11,16,3,6,6,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
36,AJ Finch,CR Woakes,MP Stoinis,0,0,0,21,121,11,17,3,7,6,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
37,MP Stoinis,AU Rashid,AJ Finch,0,0,0,21,121,0,5,4,1,7,lbw,MP Stoinis,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
38,MS Wade,AU Rashid,AJ Finch,0,0,0,21,121,0,1,4,2,7,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
39,MS Wade,AU Rashid,AJ Finch,1,0,1,22,120,1,2,4,3,7,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
40,AJ Finch,AU Rashid,MS Wade,1,0,1,23,119,12,18,4,4,7,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
41,MS Wade,AU Rashid,AJ Finch,4,0,4,27,115,5,3,4,5,7,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
42,MS Wade,AU Rashid,AJ Finch,0,0,0,27,115,5,4,4,6,7,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
43,AJ Finch,LS Livingstone,MS Wade,1,0,1,28,114,13,19,4,1,8,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
44,MS Wade,LS Livingstone,AJ Finch,1,0,1,29,113,6,5,4,2,8,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
45,AJ Finch,LS Livingstone,MS Wade,2,0,2,31,111,15,20,4,3,8,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
46,AJ Finch,LS Livingstone,MS Wade,0,0,0,31,111,15,21,4,4,8,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
47,AJ Finch,LS Livingstone,MS Wade,1,0,1,32,110,16,22,4,5,8,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
48,MS Wade,LS Livingstone,AJ Finch,0,0,0,32,110,6,6,4,6,8,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
49,AJ Finch,AU Rashid,MS Wade,1,0,1,33,109,17,23,4,1,9,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
50,MS Wade,AU Rashid,AJ Finch,0,0,0,33,109,6,7,4,2,9,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
51,MS Wade,AU Rashid,AJ Finch,2,0,2,35,107,8,8,4,3,9,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
52,MS Wade,AU Rashid,AJ Finch,1,0,1,36,106,9,9,4,4,9,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
53,AJ Finch,AU Rashid,MS Wade,0,0,0,36,106,17,24,4,5,9,0,,,,-,field,England,1,Dubai International Cricket Stadium,2021,10,Australia_England_2021-10-30,England,Australia,England,125
