,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Munim Shahriar,Fazalhaq Farooqi,Mohammad Naim,0,1,1,1,,0,1,0,1,wides,0,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
1,Munim Shahriar,Fazalhaq Farooqi,Mohammad Naim,0,0,0,1,,0,2,0,2,-,0,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
2,Munim Shahriar,Fazalhaq Farooqi,Mohammad Naim,4,0,4,5,,4,3,0,3,-,0,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
3,Munim Shahriar,Fazalhaq Farooqi,Mohammad Naim,0,0,0,5,,4,4,0,4,-,0,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
4,Munim Shahriar,Fazalhaq Farooqi,Mohammad Naim,1,0,1,6,,5,5,0,5,-,0,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
5,Mohammad Naim,Fazalhaq Farooqi,Munim Shahriar,0,0,0,6,,0,1,0,6,-,0,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
6,Mohammad Naim,Fazalhaq Farooqi,Munim Shahriar,0,0,0,6,,0,2,0,7,-,0,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
7,Munim Shahriar,Mujeeb Ur Rahman,Mohammad Naim,0,0,0,6,,5,6,0,1,-,1,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
8,Munim Shahriar,Mujeeb Ur Rahman,Mohammad Naim,1,0,1,7,,6,7,0,2,-,1,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
9,Mohammad Naim,Mujeeb Ur Rahman,Munim Shahriar,1,0,1,8,,1,3,0,3,-,1,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
10,Munim Shahriar,Mujeeb Ur Rahman,Mohammad Naim,1,0,1,9,,7,8,0,4,-,1,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
11,Mohammad Naim,Mujeeb Ur Rahman,Munim Shahriar,1,0,1,10,,2,4,0,5,-,1,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
12,Munim Shahriar,Mujeeb Ur Rahman,Mohammad Naim,0,0,0,10,,7,9,0,6,-,1,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
13,Mohammad Naim,Fazalhaq Farooqi,Munim Shahriar,0,0,0,10,,2,5,1,1,-,2,"{'by': 'Afghanistan', 'umpire': 'Masudur Rahman', 'batter': 'Mohammad Naim', 'decision': 'upheld'}",lbw,Mohammad Naim,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
14,Liton Das,Fazalhaq Farooqi,Munim Shahriar,1,0,1,11,,1,1,1,2,-,2,,0,,,bat,Bangladesh,1,"Shere Bangla National Stadium, Mirpur",2022,03,Bangladesh_Afghanistan_2022-03-03,Bangladesh,Bangladesh,Afghanistan,True,155
