,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,LMP Simmons,MA Starc,ADS Fletcher,,0,0,0,0,,0,1,0,-,1.0,0,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Fast
1,LMP Simmons,MA Starc,ADS Fletcher,,1,0,1,1,,1,2,0,-,2.0,0,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Fast
2,ADS Fletcher,MA Starc,LMP Simmons,,2,0,2,3,,2,1,0,-,3.0,0,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Fast
3,ADS Fletcher,MA Starc,LMP Simmons,"{'by': 'West Indies', 'umpire': 'GO Brathwaite', 'batter': 'ADS Fletcher', 'decision': 'upheld'}",0,0,0,3,,2,2,0,-,4.0,0,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Fast
4,ADS Fletcher,MA Starc,LMP Simmons,,0,0,0,3,,2,3,0,-,5.0,0,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Fast
5,ADS Fletcher,MA Starc,LMP Simmons,,6,0,6,9,,8,4,0,-,6.0,0,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Fast
6,LMP Simmons,JR Hazlewood,ADS Fletcher,,0,0,0,9,,1,3,0,-,1.0,1,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Right arm Fast
7,LMP Simmons,JR Hazlewood,ADS Fletcher,,0,0,0,9,,1,4,0,-,2.0,1,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Right arm Fast
8,LMP Simmons,JR Hazlewood,ADS Fletcher,,1,0,1,10,,2,5,0,-,3.0,1,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Right arm Fast
9,ADS Fletcher,JR Hazlewood,LMP Simmons,,1,0,1,11,,9,5,0,-,4.0,1,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Right arm Fast
10,LMP Simmons,JR Hazlewood,ADS Fletcher,,0,1,1,12,,2,6,0,legbyes,5.0,1,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Right arm Fast
11,ADS Fletcher,JR Hazlewood,LMP Simmons,,0,0,0,12,,9,6,0,-,6.0,1,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Right arm Fast
12,LMP Simmons,AC Agar,ADS Fletcher,,0,0,0,12,,2,7,0,-,1.0,2,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Orthodox
13,LMP Simmons,AC Agar,ADS Fletcher,,0,0,0,12,,2,8,0,-,2.0,2,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Orthodox
14,LMP Simmons,AC Agar,ADS Fletcher,,1,0,1,13,,3,9,0,-,3.0,2,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Orthodox
15,ADS Fletcher,AC Agar,LMP Simmons,,0,0,0,13,,9,7,1,-,4.0,2,bowled,ADS Fletcher,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Right hand Bat,Left arm Orthodox
16,CH Gayle,AC Agar,LMP Simmons,,0,0,0,13,,0,1,1,-,5.0,2,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Left hand Bat,Right hand Bat,Left arm Orthodox
17,CH Gayle,AC Agar,LMP Simmons,,0,0,0,13,,0,2,1,-,6.0,2,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Left hand Bat,Right hand Bat,Left arm Orthodox
18,LMP Simmons,JR Hazlewood,CH Gayle,,0,0,0,13,,3,10,1,-,1.0,3,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Left hand Bat,Right arm Fast
19,LMP Simmons,JR Hazlewood,CH Gayle,,4,0,4,17,,7,11,1,-,2.0,3,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Left hand Bat,Right arm Fast
20,LMP Simmons,JR Hazlewood,CH Gayle,,6,0,6,23,,13,12,1,-,3.0,3,0,,,field,Australia,1,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",2021,07,West Indies_Australia_2021-07-10,West Indies,West Indies,Australia,True,196,Right hand Bat,Left hand Bat,Right arm Fast
