,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,batter_runs,balls_faced,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,date,batting_team,bowling_team
28,GD Phillips,J Little,MJ Guptill,0,0,0,43,1,3,5,-,5,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
29,GD Phillips,J Little,MJ Guptill,1,0,1,44,2,4,6,-,5,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
30,GD Phillips,BJ McCarthy,MJ Guptill,2,0,2,46,4,5,1,-,6,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
31,GD Phillips,BJ McCarthy,MJ Guptill,1,0,1,47,5,6,2,-,6,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
32,MJ Guptill,BJ McCarthy,GD Phillips,0,0,0,47,22,14,3,-,6,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
33,MJ Guptill,BJ McCarthy,GD Phillips,1,0,1,48,23,15,4,-,6,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
34,GD Phillips,BJ McCarthy,MJ Guptill,1,0,1,49,6,7,5,-,6,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
35,MJ Guptill,BJ McCarthy,GD Phillips,0,4,4,53,23,16,6,legbyes,6,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
36,GD Phillips,C Campher,MJ Guptill,4,0,4,57,10,8,1,-,7,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
37,GD Phillips,C Campher,MJ Guptill,0,0,0,57,10,9,2,-,7,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
38,GD Phillips,C Campher,MJ Guptill,0,0,0,57,10,10,3,-,7,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
39,GD Phillips,C Campher,MJ Guptill,1,0,1,58,11,11,4,-,7,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
40,MJ Guptill,C Campher,GD Phillips,1,0,1,59,24,17,5,-,7,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
41,GD Phillips,C Campher,MJ Guptill,1,0,1,60,12,12,6,-,7,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
42,GD Phillips,GH Dockrell,MJ Guptill,1,0,1,61,13,13,1,-,8,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
43,MJ Guptill,GH Dockrell,GD Phillips,1,0,1,62,25,18,2,-,8,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
44,GD Phillips,GH Dockrell,MJ Guptill,2,0,2,64,15,14,3,-,8,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
45,GD Phillips,GH Dockrell,MJ Guptill,1,0,1,65,16,15,4,-,8,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
46,MJ Guptill,GH Dockrell,GD Phillips,0,0,0,65,25,19,5,-,8,caught,MJ Guptill,J Little,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
47,DJ Mitchell,GH Dockrell,GD Phillips,1,0,1,66,1,1,6,-,8,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
48,DJ Mitchell,C Campher,GD Phillips,1,0,1,67,2,2,1,-,9,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
49,GD Phillips,C Campher,DJ Mitchell,1,0,1,68,17,16,2,-,9,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
50,DJ Mitchell,C Campher,GD Phillips,0,0,0,68,2,3,3,-,9,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
51,DJ Mitchell,C Campher,GD Phillips,2,0,2,70,4,4,4,-,9,0,,,bat,Ireland,2,"Civil Service Cricket Club, Stormont, Belfast",2022-07-22,New Zealand,Ireland
