,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,wicket_type,player_out,fielder,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,Tamim Iqbal,DJG Sammy,Anamul Haque,0,0,0,0,197,0,1,0,1,0,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
1,Tamim Iqbal,DJG Sammy,Anamul Haque,4,0,4,4,193,4,2,0,2,0,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
2,Tamim Iqbal,DJG Sammy,Anamul Haque,1,0,1,5,192,5,3,0,3,0,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
3,Anamul Haque,DJG Sammy,Tamim Iqbal,2,0,2,7,190,2,1,0,4,0,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
4,Anamul Haque,DJG Sammy,Tamim Iqbal,4,0,4,11,186,6,2,0,5,0,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
5,Anamul Haque,DJG Sammy,Tamim Iqbal,6,0,6,17,180,12,3,0,6,0,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
6,Tamim Iqbal,KAJ Roach,Anamul Haque,4,0,4,21,176,9,4,0,1,1,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
7,Tamim Iqbal,KAJ Roach,Anamul Haque,0,0,0,21,176,9,5,0,2,1,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
8,Tamim Iqbal,KAJ Roach,Anamul Haque,0,0,0,21,176,9,6,0,3,1,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
9,Tamim Iqbal,KAJ Roach,Anamul Haque,1,0,1,22,175,10,7,0,4,1,0,,,-,bat,West Indies,2,Shere Bangla National Stadium,2012,12,Bangladesh_West Indies_2012-12-10,West Indies,Bangladesh,West Indies,False,179
