,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team
0,JJ Roy,B Kumar,JC Buttler,0,0,0,0,124,0,1,0,1,0,,,1,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
1,JJ Roy,B Kumar,JC Buttler,1,0,1,1,123,1,2,0,2,0,,,1,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
2,JC Buttler,B Kumar,JJ Roy,0,0,0,1,123,0,1,1,3,lbw,JC Buttler,,1,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
3,DJ Malan,B Kumar,JJ Roy,0,0,0,1,123,0,1,1,4,0,,,1,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
4,DJ Malan,B Kumar,JJ Roy,0,0,0,1,123,0,2,1,5,0,,,1,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
5,DJ Malan,B Kumar,JJ Roy,4,0,4,5,119,4,3,1,6,0,,,1,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
6,JJ Roy,Washington Sundar,DJ Malan,6,0,6,11,113,7,3,1,1,0,,,2,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
7,JJ Roy,Washington Sundar,DJ Malan,0,0,0,11,113,7,4,1,2,0,,,2,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
8,JJ Roy,Washington Sundar,DJ Malan,1,0,1,12,112,8,5,1,3,0,,,2,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
9,DJ Malan,Washington Sundar,JJ Roy,0,0,0,12,112,4,4,1,4,0,,,2,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
10,DJ Malan,Washington Sundar,JJ Roy,0,0,0,12,112,4,5,1,5,0,,,2,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
11,DJ Malan,Washington Sundar,JJ Roy,0,0,0,12,112,4,6,1,6,0,,,2,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
12,JJ Roy,B Kumar,DJ Malan,0,0,0,12,112,8,6,1,1,0,,,3,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
13,JJ Roy,B Kumar,DJ Malan,0,4,4,16,108,8,7,1,2,0,,,3,legbyes,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
14,JJ Roy,B Kumar,DJ Malan,4,0,4,20,104,12,8,1,3,0,,,3,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
15,JJ Roy,B Kumar,DJ Malan,1,0,1,21,103,13,9,1,4,0,,,3,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
16,DJ Malan,B Kumar,JJ Roy,0,0,0,21,103,4,7,1,5,0,,,3,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
17,DJ Malan,B Kumar,JJ Roy,2,0,2,23,101,6,8,1,6,0,,,3,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
18,JJ Roy,Washington Sundar,DJ Malan,1,0,1,24,100,14,10,1,1,0,,,4,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
19,DJ Malan,Washington Sundar,JJ Roy,0,0,0,24,100,6,9,1,2,0,,,4,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
20,DJ Malan,Washington Sundar,JJ Roy,1,0,1,25,99,7,10,1,3,0,,,4,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
21,JJ Roy,Washington Sundar,DJ Malan,1,0,1,26,98,15,11,1,4,0,,,4,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
22,DJ Malan,Washington Sundar,JJ Roy,0,0,0,26,98,7,11,1,5,0,,,4,-,,field,India,1,Narendra Modi Stadium,2021,03,England_India_2021-03-14,India,England,India
