,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,T Banton,MA Starc,JM Bairstow,,0,0,0,0,157,0,1,0,1,-,1,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
1,T Banton,MA Starc,JM Bairstow,,0,0,0,0,157,0,2,0,2,-,1,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
2,T Banton,MA Starc,JM Bairstow,"{'by': 'Australia', 'umpire': 'MJ Saggers', 'batter': 'T Banton', 'decision': 'struck down'}",0,0,0,0,157,0,3,0,3,-,1,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
3,T Banton,MA Starc,JM Bairstow,,1,0,1,1,156,1,4,0,4,-,1,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
4,JM Bairstow,MA Starc,T Banton,,0,1,1,2,155,0,1,0,5,wides,1,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
5,JM Bairstow,MA Starc,T Banton,,0,0,0,2,155,0,2,0,6,-,1,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
6,JM Bairstow,MA Starc,T Banton,,0,0,0,2,155,0,3,0,7,-,1,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
7,T Banton,JR Hazlewood,JM Bairstow,,1,0,1,3,154,2,5,0,1,-,2,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
8,JM Bairstow,JR Hazlewood,T Banton,,0,0,0,3,154,0,4,0,2,-,2,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
9,JM Bairstow,JR Hazlewood,T Banton,,0,0,0,3,154,0,5,0,3,-,2,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
10,JM Bairstow,JR Hazlewood,T Banton,,1,0,1,4,153,1,6,0,4,-,2,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
11,T Banton,JR Hazlewood,JM Bairstow,,0,0,0,4,153,2,6,1,5,-,2,caught,T Banton,MS Wade,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
12,DJ Malan,JR Hazlewood,JM Bairstow,,0,0,0,4,153,0,1,1,6,-,2,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
13,JM Bairstow,MA Starc,DJ Malan,,0,0,0,4,153,1,7,1,1,-,3,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
14,JM Bairstow,MA Starc,DJ Malan,,3,0,3,7,150,4,8,1,2,-,3,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
15,DJ Malan,MA Starc,JM Bairstow,,0,0,0,7,150,0,2,1,3,-,3,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
16,DJ Malan,MA Starc,JM Bairstow,,4,0,4,11,146,4,3,1,4,-,3,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
17,DJ Malan,MA Starc,JM Bairstow,,0,0,0,11,146,4,4,1,5,-,3,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
18,DJ Malan,MA Starc,JM Bairstow,,0,1,1,12,145,4,5,1,6,wides,3,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
19,DJ Malan,MA Starc,JM Bairstow,,1,0,1,13,144,5,6,1,7,-,3,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
20,DJ Malan,JR Hazlewood,JM Bairstow,,0,0,0,13,144,5,7,1,1,-,4,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
21,DJ Malan,JR Hazlewood,JM Bairstow,,0,0,0,13,144,5,8,1,2,-,4,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
22,DJ Malan,JR Hazlewood,JM Bairstow,,4,0,4,17,140,9,9,1,3,-,4,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
23,DJ Malan,JR Hazlewood,JM Bairstow,,0,0,0,17,140,9,10,1,4,-,4,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
24,DJ Malan,JR Hazlewood,JM Bairstow,,1,0,1,18,139,10,11,1,5,-,4,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
25,JM Bairstow,JR Hazlewood,DJ Malan,,1,0,1,19,138,5,9,1,6,-,4,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
26,JM Bairstow,KW Richardson,DJ Malan,,2,0,2,21,136,7,10,1,1,-,5,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
27,JM Bairstow,KW Richardson,DJ Malan,,0,0,0,21,136,7,11,1,2,-,5,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
28,JM Bairstow,KW Richardson,DJ Malan,,0,0,0,21,136,7,12,1,3,-,5,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
29,JM Bairstow,KW Richardson,DJ Malan,"{'by': 'Australia', 'umpire': 'MJ Saggers', 'batter': 'JM Bairstow', 'decision': 'struck down'}",0,0,0,21,136,7,13,1,4,-,5,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
30,JM Bairstow,KW Richardson,DJ Malan,,0,0,0,21,136,7,14,1,5,-,5,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
31,JM Bairstow,KW Richardson,DJ Malan,,2,0,2,23,134,9,15,1,6,-,5,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
32,DJ Malan,JR Hazlewood,JM Bairstow,,1,0,1,24,133,11,12,1,1,-,6,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
33,JM Bairstow,JR Hazlewood,DJ Malan,,0,0,0,24,133,9,16,1,2,-,6,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
34,JM Bairstow,JR Hazlewood,DJ Malan,,0,1,1,25,132,9,17,1,3,noballs,6,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
35,JM Bairstow,JR Hazlewood,DJ Malan,,4,0,4,29,128,13,18,1,4,-,6,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
36,JM Bairstow,JR Hazlewood,DJ Malan,,4,0,4,33,124,17,19,1,5,-,6,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
37,JM Bairstow,JR Hazlewood,DJ Malan,,0,0,0,33,124,17,20,1,6,-,6,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
38,JM Bairstow,JR Hazlewood,DJ Malan,,0,0,0,33,124,17,21,1,7,-,6,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
39,DJ Malan,KW Richardson,JM Bairstow,,1,0,1,34,123,12,13,1,1,-,7,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
40,JM Bairstow,KW Richardson,DJ Malan,,2,0,2,36,121,19,22,1,2,-,7,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
41,JM Bairstow,KW Richardson,DJ Malan,,1,0,1,37,120,20,23,1,3,-,7,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
42,DJ Malan,KW Richardson,JM Bairstow,,1,0,1,38,119,13,14,1,4,-,7,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
43,JM Bairstow,KW Richardson,DJ Malan,,1,0,1,39,118,21,24,1,5,-,7,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
44,DJ Malan,KW Richardson,JM Bairstow,,1,0,1,40,117,14,15,1,6,-,7,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
45,DJ Malan,AC Agar,JM Bairstow,,2,0,2,42,115,16,16,1,1,-,8,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
46,DJ Malan,AC Agar,JM Bairstow,,4,0,4,46,111,20,17,1,2,-,8,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
47,DJ Malan,AC Agar,JM Bairstow,,1,0,1,47,110,21,18,1,3,-,8,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
48,JM Bairstow,AC Agar,DJ Malan,,0,0,0,47,110,21,25,1,4,-,8,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
49,JM Bairstow,AC Agar,DJ Malan,,4,0,4,51,106,25,26,1,5,-,8,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
50,JM Bairstow,AC Agar,DJ Malan,,2,0,2,53,104,27,27,1,6,-,8,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
51,DJ Malan,A Zampa,JM Bairstow,,0,0,0,53,104,21,19,2,1,-,9,caught,DJ Malan,MP Stoinis,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
52,JM Bairstow,A Zampa,SW Billings,,1,0,1,54,103,28,28,2,2,-,9,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
53,SW Billings,A Zampa,JM Bairstow,,1,0,1,55,102,1,1,2,3,-,9,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
54,JM Bairstow,A Zampa,SW Billings,,1,0,1,56,101,29,29,2,4,-,9,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
55,SW Billings,A Zampa,JM Bairstow,,1,0,1,57,100,2,2,2,5,-,9,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
56,JM Bairstow,A Zampa,SW Billings,,1,0,1,58,99,30,30,2,6,-,9,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
57,JM Bairstow,AC Agar,SW Billings,,0,0,0,58,99,30,31,2,1,-,10,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
58,JM Bairstow,AC Agar,SW Billings,,2,0,2,60,97,32,32,2,2,-,10,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
59,JM Bairstow,AC Agar,SW Billings,,6,0,6,66,91,38,33,2,3,-,10,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
60,JM Bairstow,AC Agar,SW Billings,,0,0,0,66,91,38,34,2,4,-,10,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
61,JM Bairstow,AC Agar,SW Billings,,1,0,1,67,90,39,35,2,5,-,10,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
62,SW Billings,AC Agar,JM Bairstow,,2,0,2,69,88,4,3,2,6,-,10,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
63,JM Bairstow,A Zampa,SW Billings,,6,0,6,75,82,45,36,2,1,-,11,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
64,JM Bairstow,A Zampa,SW Billings,,1,0,1,76,81,46,37,2,2,-,11,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
65,SW Billings,A Zampa,JM Bairstow,,0,0,0,76,81,4,4,3,3,-,11,caught,SW Billings,AJ Finch,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
66,MM Ali,A Zampa,JM Bairstow,,0,0,0,76,81,0,1,3,4,-,11,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
67,MM Ali,A Zampa,JM Bairstow,,1,0,1,77,80,1,2,3,5,-,11,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
68,JM Bairstow,A Zampa,MM Ali,,0,0,0,77,80,46,38,3,6,-,11,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
69,MM Ali,JR Hazlewood,JM Bairstow,,0,0,0,77,80,1,3,3,1,-,12,0,,,field,Australia,1,The Rose Bowl,2020,09,England_Australia_2020-09-08,Australia,England,Australia,145
