,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
24,C Munro,Mohammed Shami,MJ Guptill,3,0,3,32,,7,10,0,-,6.0,3,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Fast
25,C Munro,YS Chahal,MJ Guptill,4,0,4,36,,11,11,0,-,1.0,4,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Legbreak
26,C Munro,YS Chahal,MJ Guptill,0,0,0,36,,11,12,0,-,2.0,4,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Legbreak
27,C Munro,YS Chahal,MJ Guptill,1,0,1,37,,12,13,0,-,3.0,4,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Legbreak
28,MJ Guptill,YS Chahal,C Munro,1,0,1,38,,25,15,0,-,4.0,4,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Legbreak
29,C Munro,YS Chahal,MJ Guptill,1,0,1,39,,13,14,0,-,5.0,4,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Legbreak
30,MJ Guptill,YS Chahal,C Munro,0,0,0,39,,25,16,0,-,6.0,4,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Legbreak
31,C Munro,SN Thakur,MJ Guptill,0,0,0,39,,13,15,0,-,1.0,5,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Medium
32,C Munro,SN Thakur,MJ Guptill,0,1,1,40,,13,16,0,legbyes,2.0,5,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Medium
33,MJ Guptill,SN Thakur,C Munro,4,0,4,44,,29,17,0,-,3.0,5,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
34,MJ Guptill,SN Thakur,C Munro,4,0,4,48,,33,18,0,-,4.0,5,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
35,MJ Guptill,SN Thakur,C Munro,0,0,0,48,,33,19,0,-,5.0,5,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
36,MJ Guptill,SN Thakur,C Munro,0,0,0,48,,33,20,1,-,6.0,5,caught,MJ Guptill,V Kohli,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
37,C Munro,S Dube,KS Williamson,1,0,1,49,,14,17,1,-,1.0,6,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Medium
38,KS Williamson,S Dube,C Munro,1,0,1,50,,1,1,1,-,2.0,6,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
39,C Munro,S Dube,KS Williamson,6,0,6,56,,20,18,1,-,3.0,6,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Medium
40,C Munro,S Dube,KS Williamson,0,0,0,56,,20,19,1,-,4.0,6,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Medium
41,C Munro,S Dube,KS Williamson,1,0,1,57,,21,20,1,-,5.0,6,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Medium
42,KS Williamson,S Dube,C Munro,1,0,1,58,,2,2,1,-,6.0,6,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Medium
43,KS Williamson,YS Chahal,C Munro,0,0,0,58,,2,3,1,-,1.0,7,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Legbreak
44,KS Williamson,YS Chahal,C Munro,2,0,2,60,,4,4,1,-,2.0,7,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Legbreak
45,KS Williamson,YS Chahal,C Munro,1,0,1,61,,5,5,1,-,3.0,7,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Legbreak
46,C Munro,YS Chahal,KS Williamson,1,0,1,62,,22,21,1,-,4.0,7,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Left hand Bat,Right hand Bat,Right arm Legbreak
47,KS Williamson,YS Chahal,C Munro,1,0,1,63,,6,6,1,-,5.0,7,0,,,bat,New Zealand,1,Eden Park,2020,01,New Zealand_India_2020-01-26,India,New Zealand,India,False,132,Right hand Bat,Left hand Bat,Right arm Legbreak
