,batter,bowler,non_striker,review,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
0,JJ Roy,SS Cottrell,T Banton,,0,0,0,0,,0,1,0,-,1.0,0,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
1,JJ Roy,SS Cottrell,T Banton,,0,0,0,0,,0,2,0,-,2.0,0,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
2,JJ Roy,SS Cottrell,T Banton,"{'by': 'West Indies', 'umpire': 'PA Gustard', 'batter': 'JJ Roy', 'decision': 'struck down'}",0,0,0,0,,0,3,0,-,3.0,0,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
3,JJ Roy,SS Cottrell,T Banton,,3,0,3,3,,3,4,0,-,4.0,0,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
4,T Banton,SS Cottrell,JJ Roy,,0,0,0,3,,0,1,0,-,5.0,0,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
5,T Banton,SS Cottrell,JJ Roy,,4,0,4,7,,4,2,0,-,6.0,0,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
6,JJ Roy,JO Holder,T Banton,,0,0,0,7,,3,5,0,-,1.0,1,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
7,JJ Roy,JO Holder,T Banton,,0,0,0,7,,3,6,0,-,2.0,1,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
8,JJ Roy,JO Holder,T Banton,,0,0,0,7,,3,7,0,-,3.0,1,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
9,JJ Roy,JO Holder,T Banton,,1,0,1,8,,4,8,0,-,4.0,1,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
10,T Banton,JO Holder,JJ Roy,,0,0,0,8,,4,3,0,-,5.0,1,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
11,T Banton,JO Holder,JJ Roy,,0,0,0,8,,4,4,1,-,6.0,1,caught,T Banton,KR Mayers,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
12,JJ Roy,SS Cottrell,JM Vince,,4,0,4,12,,8,9,1,-,1.0,2,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
13,JJ Roy,SS Cottrell,JM Vince,,0,0,0,12,,8,10,1,-,2.0,2,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
14,JJ Roy,SS Cottrell,JM Vince,,0,0,0,12,,8,11,1,-,3.0,2,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
15,JJ Roy,SS Cottrell,JM Vince,,1,0,1,13,,9,12,1,-,4.0,2,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
16,JM Vince,SS Cottrell,JJ Roy,,0,0,0,13,,0,1,1,-,5.0,2,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
17,JM Vince,SS Cottrell,JJ Roy,,0,0,0,13,,0,2,1,-,6.0,2,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Left arm Fast
18,JJ Roy,JO Holder,JM Vince,,0,0,0,13,,9,13,1,-,1.0,3,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
19,JJ Roy,JO Holder,JM Vince,,2,0,2,15,,11,14,1,-,2.0,3,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
20,JJ Roy,JO Holder,JM Vince,,0,0,0,15,,11,15,1,-,3.0,3,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
21,JJ Roy,JO Holder,JM Vince,,0,0,0,15,,11,16,1,-,4.0,3,0,,,field,West Indies,1,"Kensington Oval, Bridgetown, Barbados",2022,01,England_West Indies_2022-01-29,England,England,West Indies,True,193,Right hand Bat,Right hand Bat,Right arm Medium
