,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,FH Allen,L Wood,DP Conway,0,0,0,0,227,0,1,0,1,1,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
1,FH Allen,L Wood,DP Conway,0,0,0,0,227,0,2,0,2,1,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
2,FH Allen,L Wood,DP Conway,6,0,6,6,221,6,3,0,3,1,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
3,FH Allen,L Wood,DP Conway,6,0,6,12,215,12,4,0,4,1,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
4,FH Allen,L Wood,DP Conway,6,0,6,18,209,18,5,0,5,1,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
5,FH Allen,L Wood,DP Conway,0,0,0,18,209,18,6,0,6,1,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
6,DP Conway,SM Curran,FH Allen,2,0,2,20,207,2,1,0,1,2,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
7,DP Conway,SM Curran,FH Allen,0,1,1,21,206,2,2,0,2,2,wides,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
8,DP Conway,SM Curran,FH Allen,0,0,0,21,206,2,3,0,3,2,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
9,DP Conway,SM Curran,FH Allen,1,0,1,22,205,3,4,0,4,2,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
10,FH Allen,SM Curran,DP Conway,0,0,0,22,205,18,7,0,5,2,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
11,FH Allen,SM Curran,DP Conway,1,0,1,23,204,19,8,0,6,2,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
12,DP Conway,SM Curran,FH Allen,0,0,0,23,204,3,5,0,7,2,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
13,FH Allen,BA Carse,DP Conway,0,0,0,23,204,19,9,0,1,3,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
14,FH Allen,BA Carse,DP Conway,0,0,0,23,204,19,10,0,2,3,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
15,FH Allen,BA Carse,DP Conway,0,0,0,23,204,19,11,0,3,3,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
16,FH Allen,BA Carse,DP Conway,1,0,1,24,203,20,12,0,4,3,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
17,DP Conway,BA Carse,FH Allen,0,1,1,25,202,3,6,0,5,3,legbyes,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
18,FH Allen,BA Carse,DP Conway,0,0,0,25,202,20,13,0,6,3,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
19,DP Conway,L Wood,FH Allen,0,0,0,25,202,3,7,0,1,4,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
20,DP Conway,L Wood,FH Allen,0,0,0,25,202,3,8,0,2,4,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
21,DP Conway,L Wood,FH Allen,0,0,0,25,202,3,9,1,3,4,-,caught,DP Conway,JC Buttler,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
22,TL Seifert,L Wood,FH Allen,0,0,0,25,202,0,1,1,4,4,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
23,TL Seifert,L Wood,FH Allen,0,0,0,25,202,0,2,1,5,4,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
24,TL Seifert,L Wood,FH Allen,4,0,4,29,198,4,3,1,6,4,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
25,FH Allen,BA Carse,TL Seifert,1,0,1,30,197,21,14,1,1,5,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
26,TL Seifert,BA Carse,FH Allen,1,0,1,31,196,5,4,1,2,5,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
27,FH Allen,BA Carse,TL Seifert,0,0,0,31,196,21,15,2,3,5,-,bowled,FH Allen,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
28,GD Phillips,BA Carse,TL Seifert,0,0,0,31,196,0,1,2,4,5,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
29,GD Phillips,BA Carse,TL Seifert,0,0,0,31,196,0,2,2,5,5,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
30,GD Phillips,BA Carse,TL Seifert,0,0,0,31,196,0,3,2,6,5,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
31,TL Seifert,L Wood,GD Phillips,4,0,4,35,192,9,5,2,1,6,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
32,TL Seifert,L Wood,GD Phillips,0,0,0,35,192,9,6,3,2,6,-,bowled,TL Seifert,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
33,MS Chapman,L Wood,GD Phillips,0,0,0,35,192,0,1,3,3,6,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
34,MS Chapman,L Wood,GD Phillips,0,0,0,35,192,0,2,3,4,6,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
35,MS Chapman,L Wood,GD Phillips,3,0,3,38,189,3,3,3,5,6,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
36,GD Phillips,L Wood,MS Chapman,0,0,0,38,189,0,4,3,6,6,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
37,MS Chapman,AU Rashid,GD Phillips,6,0,6,44,183,9,4,3,1,7,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
38,MS Chapman,AU Rashid,GD Phillips,0,0,0,44,183,9,5,3,2,7,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
39,MS Chapman,AU Rashid,GD Phillips,0,0,0,44,183,9,6,3,3,7,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
40,MS Chapman,AU Rashid,GD Phillips,1,0,1,45,182,10,7,3,4,7,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
41,GD Phillips,AU Rashid,MS Chapman,0,0,0,45,182,0,5,3,5,7,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
42,GD Phillips,AU Rashid,MS Chapman,1,0,1,46,181,1,6,3,6,7,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
43,GD Phillips,MM Ali,MS Chapman,1,0,1,47,180,2,7,3,1,8,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
44,MS Chapman,MM Ali,GD Phillips,1,0,1,48,179,11,8,3,2,8,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
45,GD Phillips,MM Ali,MS Chapman,1,0,1,49,178,3,8,3,3,8,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
46,MS Chapman,MM Ali,GD Phillips,0,0,0,49,178,11,9,4,4,8,-,bowled,MS Chapman,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
47,DJ Mitchell,MM Ali,GD Phillips,0,0,0,49,178,0,1,4,5,8,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
48,DJ Mitchell,MM Ali,GD Phillips,1,0,1,50,177,1,2,4,6,8,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
49,DJ Mitchell,AU Rashid,GD Phillips,0,0,0,50,177,1,3,4,1,9,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
50,DJ Mitchell,AU Rashid,GD Phillips,1,0,1,51,176,2,4,4,2,9,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
51,GD Phillips,AU Rashid,DJ Mitchell,4,0,4,55,172,7,9,4,3,9,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
52,GD Phillips,AU Rashid,DJ Mitchell,1,0,1,56,171,8,10,4,4,9,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
53,DJ Mitchell,AU Rashid,GD Phillips,1,0,1,57,170,3,5,4,5,9,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
54,GD Phillips,AU Rashid,DJ Mitchell,0,0,0,57,170,8,11,4,6,9,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
55,DJ Mitchell,MM Ali,GD Phillips,1,0,1,58,169,4,6,4,1,10,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
56,GD Phillips,MM Ali,DJ Mitchell,1,0,1,59,168,9,12,4,2,10,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
57,DJ Mitchell,MM Ali,GD Phillips,0,0,0,59,168,4,7,4,3,10,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
58,DJ Mitchell,MM Ali,GD Phillips,1,0,1,60,167,5,8,4,4,10,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
59,GD Phillips,MM Ali,DJ Mitchell,2,0,2,62,165,11,13,4,5,10,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
60,GD Phillips,MM Ali,DJ Mitchell,2,0,2,64,163,13,14,4,6,10,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
61,DJ Mitchell,BA Carse,GD Phillips,1,0,1,65,162,6,9,4,1,11,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
62,GD Phillips,BA Carse,DJ Mitchell,2,0,2,67,160,15,15,4,2,11,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
63,GD Phillips,BA Carse,DJ Mitchell,1,0,1,68,159,16,16,4,3,11,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
64,DJ Mitchell,BA Carse,GD Phillips,1,0,1,69,158,7,10,4,4,11,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
65,GD Phillips,BA Carse,DJ Mitchell,4,0,4,73,154,20,17,4,5,11,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
66,GD Phillips,BA Carse,DJ Mitchell,1,0,1,74,153,21,18,4,6,11,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
67,GD Phillips,LS Livingstone,DJ Mitchell,1,0,1,75,152,22,19,4,1,12,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
68,DJ Mitchell,LS Livingstone,GD Phillips,0,0,0,75,152,7,11,4,2,12,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
69,DJ Mitchell,LS Livingstone,GD Phillips,0,0,0,75,152,7,12,5,3,12,-,caught,DJ Mitchell,HC Brook,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
70,MJ Santner,LS Livingstone,GD Phillips,4,0,4,79,148,4,1,5,4,12,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
71,MJ Santner,LS Livingstone,GD Phillips,1,0,1,80,147,5,2,5,5,12,-,0,,,,field,England,1,"Riverside Ground, Chester-le-Street",2023,08,New Zealand_England_2023-08-30,England,New Zealand,England,139
