,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,review,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,0,128,0,1,0,1,-,1,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
1,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,0,128,0,2,0,2,-,1,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
2,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,0,128,0,3,0,3,-,1,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
3,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,0,128,0,4,0,4,-,1,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
4,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,0,128,0,5,0,5,-,1,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
5,Mohammad Rizwan,B Kumar,Babar Azam,0,1,1,1,127,0,6,0,6,wides,1,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
6,Mohammad Rizwan,B Kumar,Babar Azam,0,0,0,1,127,0,7,0,7,-,1,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
7,Babar Azam,Arshdeep Singh,Mohammad Rizwan,0,0,0,1,127,0,1,1,1,-,2,"{'by': 'Pakistan', 'umpire': 'M Erasmus', 'batter': 'Babar Azam', 'decision': 'struck down'}",lbw,Babar Azam,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
8,Shan Masood,Arshdeep Singh,Mohammad Rizwan,0,0,0,1,127,0,1,1,2,-,2,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
9,Shan Masood,Arshdeep Singh,Mohammad Rizwan,0,0,0,1,127,0,2,1,3,-,2,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
10,Shan Masood,Arshdeep Singh,Mohammad Rizwan,0,0,0,1,127,0,3,1,4,-,2,,0,,,field,India,1,Melbourne Cricket Ground,2022,10,Pakistan_India_2022-10-23,India,Pakistan,India,159
