,batter,bowler,non_striker,runs_by_bat,extra_runs,total,team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,extra_type,over,wicket_type,player_out,fielder,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,team_final
0,Fakhar Zaman,DJ Willey,Babar Azam,1,0,1,1,159,1,1,0,1,-,1,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
1,Babar Azam,DJ Willey,Fakhar Zaman,0,1,1,2,158,0,1,0,2,wides,1,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
2,Babar Azam,DJ Willey,Fakhar Zaman,1,0,1,3,157,1,2,0,3,-,1,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
3,Fakhar Zaman,DJ Willey,Babar Azam,1,0,1,4,156,2,2,0,4,-,1,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
4,Babar Azam,DJ Willey,Fakhar Zaman,0,0,0,4,156,1,3,0,5,-,1,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
5,Babar Azam,DJ Willey,Fakhar Zaman,2,0,2,6,154,3,4,0,6,-,1,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
6,Babar Azam,DJ Willey,Fakhar Zaman,0,0,0,6,154,3,5,0,7,-,1,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
7,Fakhar Zaman,TK Curran,Babar Azam,4,0,4,10,150,6,3,0,1,-,2,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
8,Fakhar Zaman,TK Curran,Babar Azam,0,0,0,10,150,6,4,0,2,-,2,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
9,Fakhar Zaman,TK Curran,Babar Azam,1,0,1,11,149,7,5,0,3,-,2,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
10,Babar Azam,TK Curran,Fakhar Zaman,4,0,4,15,145,7,6,0,4,-,2,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
11,Babar Azam,TK Curran,Fakhar Zaman,1,0,1,16,144,8,7,0,5,-,2,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
12,Fakhar Zaman,TK Curran,Babar Azam,0,0,0,16,144,7,6,1,6,-,2,caught,Fakhar Zaman,EJG Morgan,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
13,Babar Azam,DJ Willey,Imam-ul-Haq,0,0,0,16,144,8,8,1,1,-,3,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
14,Babar Azam,DJ Willey,Imam-ul-Haq,1,0,1,17,143,9,9,1,2,-,3,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
15,Imam-ul-Haq,DJ Willey,Babar Azam,1,0,1,18,142,1,1,1,3,-,3,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
16,Babar Azam,DJ Willey,Imam-ul-Haq,2,0,2,20,140,11,10,1,4,-,3,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
17,Babar Azam,DJ Willey,Imam-ul-Haq,0,0,0,20,140,11,11,1,5,-,3,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
18,Babar Azam,DJ Willey,Imam-ul-Haq,4,0,4,24,136,15,12,1,6,-,3,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
19,Imam-ul-Haq,TK Curran,Babar Azam,0,0,0,24,136,1,2,1,1,-,4,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
20,Imam-ul-Haq,TK Curran,Babar Azam,0,0,0,24,136,1,3,1,2,-,4,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
21,Imam-ul-Haq,TK Curran,Babar Azam,0,0,0,24,136,1,4,1,3,-,4,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
22,Imam-ul-Haq,TK Curran,Babar Azam,0,0,0,24,136,1,5,1,4,-,4,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
23,Imam-ul-Haq,TK Curran,Babar Azam,1,0,1,25,135,2,6,1,5,-,4,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
24,Babar Azam,TK Curran,Imam-ul-Haq,0,0,0,25,135,15,13,1,6,-,4,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
25,Imam-ul-Haq,JC Archer,Babar Azam,2,0,2,27,133,4,7,1,1,-,5,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
26,Imam-ul-Haq,JC Archer,Babar Azam,2,0,2,29,131,6,8,1,2,-,5,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
27,Imam-ul-Haq,JC Archer,Babar Azam,1,0,1,30,130,7,9,1,3,-,5,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
28,Babar Azam,JC Archer,Imam-ul-Haq,1,0,1,31,129,16,14,1,4,-,5,0,,,bat,Pakistan,1,Sophia Gardens,2019,05,England_Pakistan_2019-05-05,England,Pakistan,England,173
