,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,wicket_type,player_out,fielder,over,extra_type,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total
0,SR Watson,AD Mathews,DA Warner,0,0,0,0,,0,1,0,1,0,,,0,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
1,SR Watson,AD Mathews,DA Warner,1,0,1,1,,1,2,0,2,0,,,0,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
2,DA Warner,AD Mathews,SR Watson,1,0,1,2,,1,1,0,3,0,,,0,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
3,SR Watson,AD Mathews,DA Warner,0,0,0,2,,1,3,0,4,0,,,0,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
4,SR Watson,AD Mathews,DA Warner,0,0,0,2,,1,4,1,5,bowled,SR Watson,,0,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
5,BJ Haddin,AD Mathews,DA Warner,0,0,0,2,,0,1,1,6,0,,,0,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
6,DA Warner,UWMBCA Welegedara,BJ Haddin,0,1,1,3,,1,2,1,1,0,,,1,wides,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
7,DA Warner,UWMBCA Welegedara,BJ Haddin,1,0,1,4,,2,3,1,2,0,,,1,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
8,BJ Haddin,UWMBCA Welegedara,DA Warner,0,0,0,4,,0,2,1,3,0,,,1,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
9,BJ Haddin,UWMBCA Welegedara,DA Warner,2,1,3,7,,2,3,1,4,0,,,1,noballs,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
10,BJ Haddin,UWMBCA Welegedara,DA Warner,4,0,4,11,,6,4,1,5,0,,,1,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
11,BJ Haddin,UWMBCA Welegedara,DA Warner,4,0,4,15,,10,5,1,6,0,,,1,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
12,BJ Haddin,UWMBCA Welegedara,DA Warner,0,0,0,15,,10,6,1,7,0,,,1,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
13,BJ Haddin,UWMBCA Welegedara,DA Warner,1,0,1,16,,11,7,1,8,0,,,1,-,bat,Australia,1,"Kensington Oval, Bridgetown",2010,05,Australia_Sri Lanka_2010-05-09,Australia,Australia,Sri Lanka,True,168
