,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,delivery,over,extra_type,wicket_type,player_out,fielder,review,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,final_team_final
0,RG Sharma,AJ Hosein,SA Yadav,0,0,0,0,164,0,1,0,1,1,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
1,RG Sharma,AJ Hosein,SA Yadav,1,0,1,1,163,1,2,0,2,1,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
2,SA Yadav,AJ Hosein,RG Sharma,1,0,1,2,162,1,1,0,3,1,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
3,RG Sharma,AJ Hosein,SA Yadav,2,0,2,4,160,3,3,0,4,1,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
4,RG Sharma,AJ Hosein,SA Yadav,4,0,4,8,156,7,4,0,5,1,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
5,RG Sharma,AJ Hosein,SA Yadav,0,0,0,8,156,7,5,0,6,1,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
6,SA Yadav,DC Drakes,RG Sharma,0,0,0,8,156,1,2,0,1,2,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
7,SA Yadav,DC Drakes,RG Sharma,1,0,1,9,155,2,3,0,2,2,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
8,RG Sharma,DC Drakes,SA Yadav,0,0,0,9,155,7,6,0,3,2,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
9,RG Sharma,DC Drakes,SA Yadav,4,0,4,13,151,11,7,0,4,2,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
10,RG Sharma,DC Drakes,SA Yadav,1,0,1,14,150,12,8,0,5,2,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
11,SA Yadav,DC Drakes,RG Sharma,0,0,0,14,150,2,4,0,6,2,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
12,RG Sharma,OC McCoy,SA Yadav,0,1,1,15,149,12,9,0,1,3,wides,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
13,RG Sharma,OC McCoy,SA Yadav,6,0,6,21,143,18,10,0,2,3,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
14,RG Sharma,OC McCoy,SA Yadav,1,0,1,22,142,19,11,0,3,3,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
15,SA Yadav,OC McCoy,RG Sharma,6,0,6,28,136,8,5,0,4,3,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
16,SA Yadav,OC McCoy,RG Sharma,4,0,4,32,132,12,6,0,5,3,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
17,SA Yadav,OC McCoy,RG Sharma,1,0,1,33,131,13,7,0,6,3,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
18,RG Sharma,OC McCoy,SA Yadav,6,0,6,39,125,25,12,0,7,3,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
19,SA Yadav,AS Joseph,RG Sharma,0,1,1,40,124,13,8,0,1,4,legbyes,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
20,RG Sharma,AS Joseph,SA Yadav,1,0,1,41,123,26,13,0,2,4,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
21,SA Yadav,AS Joseph,RG Sharma,1,0,1,42,122,14,9,0,3,4,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
22,RG Sharma,AS Joseph,SA Yadav,1,0,1,43,121,27,14,0,4,4,-,0,,,,field,West Indies,1,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",2022,08,India_West Indies_2022-08-06,India,India,West Indies,191
